# Grammatical Features
#Locale	ID	Feature	Usage	Values
Latvian	lv	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative
Latvian	lv	grammaticalCase	units	nominative, accusative, genitive, locative, dative
Latvian	lv	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	zero	{0} diennakšu	<div class='cldr_example'><span class='cldr_substituted'>10</span> diennakšu</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakšu</div>
Plural	one	{0} diennakts	<div class='cldr_example'><span class='cldr_substituted'>1</span> diennakts</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakts</div>
Plural	other	{0} diennaktis	<div class='cldr_example'><span class='cldr_substituted'>2</span> diennaktis</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> diennaktis</div>
Case (for measurement units)	nominative	pagājusi {0}	<div class='cldr_example'>pagājusi <span class='cldr_substituted'>1 megapikselis</span></div><div class='cldr_example'>❌  pagājusi <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	accusative	palikt {0}	<div class='cldr_example'>palikt <span class='cldr_substituted'>1 megapikseli</span></div><div class='cldr_example'>❌  palikt <span class='cldr_substituted'>1 megapikselim</span></div>
Case (for measurement units)	genitive	{0} brauciens	<div class='cldr_example'><span class='cldr_substituted'>10 MP</span> brauciens</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 megapikseli</span> brauciens</div>
Case (for measurement units)	locative	izdarīts {0}	<div class='cldr_example'>izdarīts <span class='cldr_substituted'>1 megapikselī</span></div><div class='cldr_example'>❌  izdarīts <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	dative	pietiks {0}	<div class='cldr_example'>pietiks <span class='cldr_substituted'>1 megapikselim</span></div><div class='cldr_example'>❌  pietiks <span class='cldr_substituted'>1 megapikseli</span></div>
Gender (for measurement units)	masculine	viens {0}	<div class='cldr_example'>viens <span class='cldr_substituted'>centimetrs</span></div><div class='cldr_example'>❌  viens <span class='cldr_substituted'>diena</span></div>
Gender (for measurement units)	feminine	gara {0}	<div class='cldr_example'>gara <span class='cldr_substituted'>diena</span></div><div class='cldr_example'>❌  gara <span class='cldr_substituted'>centimetrs</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for zero	Case MP + pattern with 10.0	Pattern for one	Case MP + pattern with 21.0	Pattern for other	Case MP + pattern with 3.0
digital	gigabyte • ( = 8 Gb)	masculine	viens gigabaits	accusative	{0} gigabaitu	palikt 10 gigabaitu	{0} gigabaitu	palikt 21 gigabaitu	{0} gigabaitus	palikt 3 gigabaitus
digital	gigabyte • ( = 8 Gb)	masculine	viens gigabaits	genitive	{0} gigabaitu	10 gigabaitu brauciens	{0} gigabaita	21 gigabaita brauciens	{0} gigabaitu	3 gigabaitu brauciens
digital	gigabyte • ( = 8 Gb)	masculine	viens gigabaits	locative	{0} gigabaitu	izdarīts 10 gigabaitu	{0} gigabaitā	izdarīts 21 gigabaitā	{0} gigabaitos	izdarīts 3 gigabaitos
digital	gigabyte • ( = 8 Gb)	masculine	viens gigabaits	dative	{0} gigabaitu	pietiks 10 gigabaitu	{0} gigabaitam	pietiks 21 gigabaitam	{0} gigabaitiem	pietiks 3 gigabaitiem
digital	terabits	masculine	viens terabits	nominative	{0} terabitu	pagājusi 10 terabitu	{0} terabits	pagājusi 21 terabits	{0} terabiti	pagājusi 3 terabiti
digital	terabits	masculine	viens terabits	accusative	{0} terabitu	palikt 10 terabitu	{0} terabitu	palikt 21 terabitu	{0} terabitus	palikt 3 terabitus
digital	terabits	masculine	viens terabits	genitive	{0} terabitu	10 terabitu brauciens	{0} terabita	21 terabita brauciens	{0} terabitu	3 terabitu brauciens
digital	terabits	masculine	viens terabits	locative	{0} terabitu	izdarīts 10 terabitu	{0} terabitā	izdarīts 21 terabitā	{0} terabitos	izdarīts 3 terabitos
digital	terabits	masculine	viens terabits	dative	{0} terabitu	pietiks 10 terabitu	{0} terabitam	pietiks 21 terabitam	{0} terabitiem	pietiks 3 terabitiem
digital	terabyte • ( = 8 Tb)	masculine	viens terabaits	nominative	{0} terabaitu	pagājusi 10 terabaitu	{0} terabaits	pagājusi 21 terabaits	{0} terabaiti	pagājusi 3 terabaiti
digital	terabyte • ( = 8 Tb)	masculine	viens terabaits	accusative	{0} terabaitu	palikt 10 terabaitu	{0} terabaitu	palikt 21 terabaitu	{0} terabaitus	palikt 3 terabaitus
digital	terabyte • ( = 8 Tb)	masculine	viens terabaits	genitive	{0} terabaitu	10 terabaitu brauciens	{0} terabaita	21 terabaita brauciens	{0} terabaitu	3 terabaitu brauciens
digital	terabyte • ( = 8 Tb)	masculine	viens terabaits	locative	{0} terabaitu	izdarīts 10 terabaitu	{0} terabaitam	izdarīts 21 terabaitam	{0} terabaitos	izdarīts 3 terabaitos
digital	terabyte • ( = 8 Tb)	masculine	viens terabaits	dative	{0} terabaitu	pietiks 10 terabaitu	{0} terabaitam	pietiks 21 terabaitam	{0} terabaitiem	pietiks 3 terabaitiem
digital	petabyte • ( = 8,000 Tb)	masculine	viens petabaits	nominative	{0} petabaitu	pagājusi 10 petabaitu	{0} petabaits	pagājusi 21 petabaits	{0} petabaiti	pagājusi 3 petabaiti
digital	petabyte • ( = 8,000 Tb)	masculine	viens petabaits	accusative	{0} petabaitu	palikt 10 petabaitu	{0} petabaitu	palikt 21 petabaitu	{0} petabaitus	palikt 3 petabaitus
digital	petabyte • ( = 8,000 Tb)	masculine	viens petabaits	genitive	{0} petabaitu	10 petabaitu brauciens	{0} petabaita	21 petabaita brauciens	{0} petabaitu	3 petabaitu brauciens
digital	petabyte • ( = 8,000 Tb)	masculine	viens petabaits	locative	{0} petabaitu	izdarīts 10 petabaitu	{0} petabaitā	izdarīts 21 petabaitā	{0} petabaitos	izdarīts 3 petabaitos
digital	petabyte • ( = 8,000 Tb)	masculine	viens petabaits	dative	{0} petabaitu	pietiks 10 petabaitu	{0} petabaitam	pietiks 21 petabaitam	{0} petabaitiem	pietiks 3 petabaitiem
duration	nanoseconds	feminine	gara nanosekunde	nominative	{0} nanosekunžu	pagājusi 10 nanosekunžu	{0} nanosekunde	pagājusi 21 nanosekunde	{0} nanosekundes	pagājusi 3 nanosekundes
duration	nanoseconds	feminine	gara nanosekunde	accusative	{0} nanosekunžu	palikt 10 nanosekunžu	{0} nanosekundi	palikt 21 nanosekundi	{0} nanosekundes	palikt 3 nanosekundes
duration	nanoseconds	feminine	gara nanosekunde	genitive	{0} nanosekunžu	10 nanosekunžu brauciens	{0} nanosekundes	21 nanosekundes brauciens	{0} nanosekunžu	3 nanosekunžu brauciens
duration	nanoseconds	feminine	gara nanosekunde	locative	{0} nanosekunžu	izdarīts 10 nanosekunžu	{0} nanosekundē	izdarīts 21 nanosekundē	{0} nanosekundēs	izdarīts 3 nanosekundēs
duration	nanoseconds	feminine	gara nanosekunde	dative	{0} nanosekunžu	pietiks 10 nanosekunžu	{0} nanosekundei	pietiks 21 nanosekundei	{0} nanosekundēm	pietiks 3 nanosekundēm
duration	microseconds	feminine	gara mikrosekunde	nominative	{0} mikrosekunžu	pagājusi 10 mikrosekunžu	{0} mikrosekunde	pagājusi 21 mikrosekunde	{0} mikrosekundes	pagājusi 3 mikrosekundes
duration	microseconds	feminine	gara mikrosekunde	accusative	{0} mikrosekunžu	palikt 10 mikrosekunžu	{0} mikrosekundi	palikt 21 mikrosekundi	{0} mikrosekundes	palikt 3 mikrosekundes
duration	microseconds	feminine	gara mikrosekunde	genitive	{0} mikrosekunžu	10 mikrosekunžu brauciens	{0} mikrosekundes	21 mikrosekundes brauciens	{0} mikrosekunžu	3 mikrosekunžu brauciens
duration	microseconds	feminine	gara mikrosekunde	locative	{0} mikrosekunžu	izdarīts 10 mikrosekunžu	{0} mikrosekundē	izdarīts 21 mikrosekundē	{0} mikrosekundēs	izdarīts 3 mikrosekundēs
duration	microseconds	feminine	gara mikrosekunde	dative	{0} mikrosekunžu	pietiks 10 mikrosekunžu	{0} mikrosekundei	pietiks 21 mikrosekundei	{0} mikrosekundēm	pietiks 3 mikrosekundēm
duration	milliseconds	feminine	gara milisekunde	nominative	{0} milisekunžu	pagājusi 10 milisekunžu	{0} milisekunde	pagājusi 21 milisekunde	{0} milisekundes	pagājusi 3 milisekundes
duration	milliseconds	feminine	gara milisekunde	accusative	{0} milisekunžu	palikt 10 milisekunžu	{0} milisekundi	palikt 21 milisekundi	{0} milisekundes	palikt 3 milisekundes
duration	milliseconds	feminine	gara milisekunde	genitive	{0} milisekunžu	10 milisekunžu brauciens	{0} milisekundes	21 milisekundes brauciens	{0} milisekunžu	3 milisekunžu brauciens
duration	milliseconds	feminine	gara milisekunde	locative	{0} milisekunžu	izdarīts 10 milisekunžu	{0} milisekundē	izdarīts 21 milisekundē	{0} milisekundēs	izdarīts 3 milisekundēs
duration	milliseconds	feminine	gara milisekunde	dative	{0} milisekunžu	pietiks 10 milisekunžu	{0} milisekundei	pietiks 21 milisekundei	{0} milisekundēm	pietiks 3 milisekundēm
duration	seconds	feminine	gara sekunde	nominative	{0} sekunžu	pagājusi 10 sekunžu	{0} sekunde	pagājusi 21 sekunde	{0} sekundes	pagājusi 3 sekundes
duration	seconds	feminine	gara sekunde	accusative	{0} sekunžu	palikt 10 sekunžu	{0} sekundi	palikt 21 sekundi	{0} sekundes	palikt 3 sekundes
duration	seconds	feminine	gara sekunde	genitive	{0} sekunžu	10 sekunžu brauciens	{0} sekundes	21 sekundes brauciens	{0} sekunžu	3 sekunžu brauciens
duration	seconds	feminine	gara sekunde	locative	{0} sekunžu	izdarīts 10 sekunžu	{0} sekundē	izdarīts 21 sekundē	{0} sekundēs	izdarīts 3 sekundēs
duration	seconds	feminine	gara sekunde	dative	{0} sekunžu	pietiks 10 sekunžu	{0} sekundei	pietiks 21 sekundei	{0} sekundēm	pietiks 3 sekundēm
duration	minute • ( = 60 sec)	feminine	gara minūte	nominative	{0} minūšu	pagājusi 10 minūšu	{0} minūte	pagājusi 21 minūte	{0} minūtes	pagājusi 3 minūtes
duration	minute • ( = 60 sec)	feminine	gara minūte	accusative	{0} minūšu	palikt 10 minūšu	{0} minūti	palikt 21 minūti	{0} minūtes	palikt 3 minūtes
duration	minute • ( = 60 sec)	feminine	gara minūte	genitive	{0} minūšu	10 minūšu brauciens	{0} minūtes	21 minūtes brauciens	{0} minūšu	3 minūšu brauciens
duration	minute • ( = 60 sec)	feminine	gara minūte	locative	{0} minūšu	izdarīts 10 minūšu	{0} minūtē	izdarīts 21 minūtē	{0} minūtēs	izdarīts 3 minūtēs
duration	minute • ( = 60 sec)	feminine	gara minūte	dative	{0} minūšu	pietiks 10 minūšu	{0} minūtei	pietiks 21 minūtei	{0} minūtēm	pietiks 3 minūtēm
duration	hour • ( = 3,600 sec)	feminine	gara stunda	nominative	{0} stundu	pagājusi 10 stundu	{0} stunda	pagājusi 21 stunda	{0} stundas	pagājusi 3 stundas
duration	hour • ( = 3,600 sec)	feminine	gara stunda	accusative	{0} stundu	palikt 10 stundu	{0} stundu	palikt 21 stundu	{0} stundas	palikt 3 stundas
duration	hour • ( = 3,600 sec)	feminine	gara stunda	genitive	{0} stundu	10 stundu brauciens	{0} stundas	21 stundas brauciens	{0} stundu	3 stundu brauciens
duration	hour • ( = 3,600 sec)	feminine	gara stunda	locative	{0} stundu	izdarīts 10 stundu	{0} stundā	izdarīts 21 stundā	{0} stundās	izdarīts 3 stundās
duration	hour • ( = 3,600 sec)	feminine	gara stunda	dative	{0} stundu	pietiks 10 stundu	{0} stundai	pietiks 21 stundai	{0} stundām	pietiks 3 stundām
duration	day • ( = 86,400 sec)	feminine	gara diena	nominative	{0} dienu	pagājusi 10 dienu	{0} diena	pagājusi 21 diena	{0} dienas	pagājusi 3 dienas
duration	day • ( = 86,400 sec)	feminine	gara diena	accusative	{0} dienu	palikt 10 dienu	{0} dienu	palikt 21 dienu	{0} dienas	palikt 3 dienas
duration	day • ( = 86,400 sec)	feminine	gara diena	genitive	{0} dienu	10 dienu brauciens	{0} dienas	21 dienas brauciens	{0} dienu	3 dienu brauciens
duration	day • ( = 86,400 sec)	feminine	gara diena	locative	{0} dienu	izdarīts 10 dienu	{0} dienā	izdarīts 21 dienā	{0} dienās	izdarīts 3 dienās
duration	day • ( = 86,400 sec)	feminine	gara diena	dative	{0} dienu	pietiks 10 dienu	{0} dienai	pietiks 21 dienai	{0} dienām	pietiks 3 dienām
duration	week • ( = 604,800 sec)	feminine	gara nedēļa	nominative	{0} nedēļu	pagājusi 10 nedēļu	{0} nedēļa	pagājusi 21 nedēļa	{0} nedēļas	pagājusi 3 nedēļas
duration	week • ( = 604,800 sec)	feminine	gara nedēļa	accusative	{0} nedēļu	palikt 10 nedēļu	{0} nedēļu	palikt 21 nedēļu	{0} nedēļas	palikt 3 nedēļas
duration	week • ( = 604,800 sec)	feminine	gara nedēļa	genitive	{0} nedēļu	10 nedēļu brauciens	{0} nedēļas	21 nedēļas brauciens	{0} nedēļu	3 nedēļu brauciens
duration	week • ( = 604,800 sec)	feminine	gara nedēļa	locative	{0} nedēļu	izdarīts 10 nedēļu	{0} nedēļā	izdarīts 21 nedēļā	{0} nedēļās	izdarīts 3 nedēļās
duration	week • ( = 604,800 sec)	feminine	gara nedēļa	dative	{0} nedēļu	pietiks 10 nedēļu	{0} nedēļai	pietiks 21 nedēļai	{0} nedēļām	pietiks 3 nedēļām
electric-current	milliamperes	masculine	viens miliampērs	nominative	{0} miliampēru	pagājusi 10 miliampēru	{0} miliampērs	pagājusi 21 miliampērs	{0} miliampēri	pagājusi 3 miliampēri
electric-current	milliamperes	masculine	viens miliampērs	accusative	{0} miliampēru	palikt 10 miliampēru	{0} miliampēru	palikt 21 miliampēru	{0} miliampērus	palikt 3 miliampērus
electric-current	milliamperes	masculine	viens miliampērs	genitive	{0} miliampēru	10 miliampēru brauciens	{0} miliampēra	21 miliampēra brauciens	{0} miliampēru	3 miliampēru brauciens
electric-current	milliamperes	masculine	viens miliampērs	locative	{0} miliampēru	izdarīts 10 miliampēru	{0} miliampērā	izdarīts 21 miliampērā	{0} miliampēros	izdarīts 3 miliampēros
electric-current	milliamperes	masculine	viens miliampērs	dative	{0} miliampēru	pietiks 10 miliampēru	{0} miliampēram	pietiks 21 miliampēram	{0} miliampēriem	pietiks 3 miliampēriem
electric-current	amperes	masculine	viens ampērs	nominative	{0} ampēru	pagājusi 10 ampēru	{0} ampērs	pagājusi 21 ampērs	{0} ampēri	pagājusi 3 ampēri
electric-current	amperes	masculine	viens ampērs	accusative	{0} ampēru	palikt 10 ampēru	{0} ampēru	palikt 21 ampēru	{0} ampērus	palikt 3 ampērus
electric-current	amperes	masculine	viens ampērs	genitive	{0} ampēru	10 ampēru brauciens	{0} ampēra	21 ampēra brauciens	{0} ampēru	3 ampēru brauciens
electric-current	amperes	masculine	viens ampērs	locative	{0} ampēru	izdarīts 10 ampēru	{0} ampērā	izdarīts 21 ampērā	{0} ampēros	izdarīts 3 ampēros
electric-current	amperes	masculine	viens ampērs	dative	{0} ampēru	pietiks 10 ampēru	{0} ampēram	pietiks 21 ampēram	{0} ampēriem	pietiks 3 ampēriem
electric-resistance	ohms	masculine	viens oms	nominative	{0} omu	pagājusi 10 omu	{0} oms	pagājusi 21 oms	{0} omi	pagājusi 3 omi
electric-resistance	ohms	masculine	viens oms	accusative	{0} omu	palikt 10 omu	{0} omu	palikt 21 omu	{0} omus	palikt 3 omus
electric-resistance	ohms	masculine	viens oms	genitive	{0} omu	10 omu brauciens	{0} oma	21 oma brauciens	{0} omu	3 omu brauciens
electric-resistance	ohms	masculine	viens oms	locative	{0} omu	izdarīts 10 omu	{0} omā	izdarīts 21 omā	{0} omos	izdarīts 3 omos
electric-resistance	ohms	masculine	viens oms	dative	{0} omu	pietiks 10 omu	{0} omam	pietiks 21 omam	{0} omiem	pietiks 3 omiem
energy	joules	masculine	viens džouls	nominative	{0} džoulu	pagājusi 10 džoulu	{0} džouls	pagājusi 21 džouls	{0} džouli	pagājusi 3 džouli
energy	joules	masculine	viens džouls	accusative	{0} džoulu	palikt 10 džoulu	{0} džoulu	palikt 21 džoulu	{0} džoulus	palikt 3 džoulus
energy	joules	masculine	viens džouls	genitive	{0} džoulu	10 džoulu brauciens	{0} džoula	21 džoula brauciens	{0} džoulus	3 džoulus brauciens
energy	joules	masculine	viens džouls	locative	{0} džoulu	izdarīts 10 džoulu	{0} džoulā	izdarīts 21 džoulā	{0} džoulos	izdarīts 3 džoulos
energy	joules	masculine	viens džouls	dative	{0} džoulu	pietiks 10 džoulu	{0} džoulam	pietiks 21 džoulam	{0} džouliem	pietiks 3 džouliem
energy	newton-meter • ( = 1 J)	masculine	viens ņūtonmetrs	nominative	{0} ņūtonmetru	pagājusi 10 ņūtonmetru	{0} ņūtonmetrs	pagājusi 21 ņūtonmetrs	{0} ņūtonmetri	pagājusi 3 ņūtonmetri
energy	newton-meter • ( = 1 J)	masculine	viens ņūtonmetrs	accusative	{0} ņūtonmetru	palikt 10 ņūtonmetru	{0} ņūtonmetru	palikt 21 ņūtonmetru	{0} ņūtonmetus	palikt 3 ņūtonmetus
energy	newton-meter • ( = 1 J)	masculine	viens ņūtonmetrs	genitive	{0} ņūtonmetru	10 ņūtonmetru brauciens	{0} ņūtonmetra	21 ņūtonmetra brauciens	{0} ņūtonmetru	3 ņūtonmetru brauciens
energy	newton-meter • ( = 1 J)	masculine	viens ņūtonmetrs	locative	{0} ņūtonmetru	izdarīts 10 ņūtonmetru	{0} ņūtonmetrā	izdarīts 21 ņūtonmetrā	{0} ņūtonmetros	izdarīts 3 ņūtonmetros
energy	newton-meter • ( = 1 J)	masculine	viens ņūtonmetrs	dative	{0} ņūtonmetru	pietiks 10 ņūtonmetru	{0} ņūtonmetram	pietiks 21 ņūtonmetram	{0} ņūtonmetriem	pietiks 3 ņūtonmetriem
energy	calorie • ( = 4.184 J)	feminine	gara kalorija	nominative	{0} kaloriju	pagājusi 10 kaloriju	{0} kalorija	pagājusi 21 kalorija	{0} kalorijas	pagājusi 3 kalorijas
energy	calorie • ( = 4.184 J)	feminine	gara kalorija	accusative	{0} kaloriju	palikt 10 kaloriju	{0} kaloriju	palikt 21 kaloriju	{0} kalorijas	palikt 3 kalorijas
energy	calorie • ( = 4.184 J)	feminine	gara kalorija	genitive	{0} kaloriju	10 kaloriju brauciens	{0} kalorijas	21 kalorijas brauciens	{0} kalorijas	3 kalorijas brauciens
energy	calorie • ( = 4.184 J)	feminine	gara kalorija	locative	{0} kaloriju	izdarīts 10 kaloriju	{0} kalorijā	izdarīts 21 kalorijā	{0} kalorijās	izdarīts 3 kalorijās
energy	calorie • ( = 4.184 J)	feminine	gara kalorija	dative	{0} kaloriju	pietiks 10 kaloriju	{0} kalorijai	pietiks 21 kalorijai	{0} kalorijām	pietiks 3 kalorijām
energy	kilojoules	masculine	viens kilodžouls	nominative	{0} kilodžoulu	pagājusi 10 kilodžoulu	{0} kilodžouls	pagājusi 21 kilodžouls	{0} kilodžouli	pagājusi 3 kilodžouli
energy	kilojoules	masculine	viens kilodžouls	accusative	{0} kilodžoulu	palikt 10 kilodžoulu	{0} kilodžoulu	palikt 21 kilodžoulu	{0} kilodžoulus	palikt 3 kilodžoulus
energy	kilojoules	masculine	viens kilodžouls	genitive	{0} kilodžoulu	10 kilodžoulu brauciens	{0} kilodžoula	21 kilodžoula brauciens	{0} kilodžoulu	3 kilodžoulu brauciens
energy	kilojoules	masculine	viens kilodžouls	locative	{0} kilodžoulu	izdarīts 10 kilodžoulu	{0} kilodžoulā	izdarīts 21 kilodžoulā	{0} kilodžoulos	izdarīts 3 kilodžoulos
energy	kilojoules	masculine	viens kilodžouls	dative	{0} kilodžoulu	pietiks 10 kilodžoulu	{0} kilodžoulam	pietiks 21 kilodžoulam	{0} kilodžouliem	pietiks 3 kilodžouliem
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	gara kilovatstunda	nominative	{0} kilovatstundu	pagājusi 10 kilovatstundu	{0} kilovatstunda	pagājusi 21 kilovatstunda	{0} kilovatstundas	pagājusi 3 kilovatstundas
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	gara kilovatstunda	accusative	{0} kilovatstundu	palikt 10 kilovatstundu	{0} kilovatstundu	palikt 21 kilovatstundu	{0} kilovatstundas	palikt 3 kilovatstundas
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	gara kilovatstunda	genitive	{0} kilovatstundu	10 kilovatstundu brauciens	{0} kilovatstundas	21 kilovatstundas brauciens	{0} kilovatstundu	3 kilovatstundu brauciens
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	gara kilovatstunda	locative	{0} kilovatstundu	izdarīts 10 kilovatstundu	{0} kilovatstundā	izdarīts 21 kilovatstundā	{0} kilovatstundās	izdarīts 3 kilovatstundās
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	gara kilovatstunda	dative	{0} kilovatstundu	pietiks 10 kilovatstundu	{0} kilovatstundai	pietiks 21 kilovatstundai	{0} kilovatstundām	pietiks 3 kilovatstundām
force	newtons	masculine	viens ņūtons	nominative	{0} N	pagājusi 10 N	{0} ņūtons	pagājusi 21 ņūtons	{0} ņūtoni	pagājusi 3 ņūtoni
force	newtons	masculine	viens ņūtons	accusative	{0} N	palikt 10 N	{0} ņūtonu	palikt 21 ņūtonu	{0} ņūtonus	palikt 3 ņūtonus
force	newtons	masculine	viens ņūtons	genitive	{0} N	10 N brauciens	{0} ņūtona	21 ņūtona brauciens	{0} ņūtonu	3 ņūtonu brauciens
force	newtons	masculine	viens ņūtons	locative	{0} N	izdarīts 10 N	{0} ņūtonā	izdarīts 21 ņūtonā	{0} ņūtonos	izdarīts 3 ņūtonos
force	newtons	masculine	viens ņūtons	dative	{0} N	pietiks 10 N	{0} ņūtonam	pietiks 21 ņūtonam	{0} ņūtoniem	pietiks 3 ņūtoniem
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	gara kilovatstunda uz 100 kilometriem	nominative	{0} kilovatstundu uz 100 kilometriem	pagājusi 10 kilovatstundu uz 100 kilometriem	{0} kilovatstunda uz 100 kilometriem	pagājusi 21 kilovatstunda uz 100 kilometriem	{0} kilovatstundas uz 100 kilometriem	pagājusi 3 kilovatstundas uz 100 kilometriem
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	gara kilovatstunda uz 100 kilometriem	accusative	{0} kilovatstundu uz 100 kilometriem	palikt 10 kilovatstundu uz 100 kilometriem	{0} kilovatstundu uz 100 kilometriem	palikt 21 kilovatstundu uz 100 kilometriem	{0} kilovatstundas uz 100 kilometriem	palikt 3 kilovatstundas uz 100 kilometriem
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	gara kilovatstunda uz 100 kilometriem	genitive	{0} kilovatstundu uz 100 kilometriem	10 kilovatstundu uz 100 kilometriem brauciens	{0} kilovatstundas uz 100 kilometriem	21 kilovatstundas uz 100 kilometriem brauciens	{0} kilovatstundu uz 100 kilometriem	3 kilovatstundu uz 100 kilometriem brauciens
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	gara kilovatstunda uz 100 kilometriem	locative	{0} kilovatstundu uz 100 kilometriem	izdarīts 10 kilovatstundu uz 100 kilometriem	{0} kilovatstundā uz 100 kilometriem	izdarīts 21 kilovatstundā uz 100 kilometriem	{0} kilovatstundās uz 100 kilometriem	izdarīts 3 kilovatstundās uz 100 kilometriem
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	gara kilovatstunda uz 100 kilometriem	dative	{0} kilovatstundu uz 100 kilometriem	pietiks 10 kilovatstundu uz 100 kilometriem	{0} kilovatstundai uz 100 kilometriem	pietiks 21 kilovatstundai uz 100 kilometriem	{0} kilovatstundām uz 100 kilometriem	pietiks 3 kilovatstundām uz 100 kilometriem
frequency	hertz	masculine	viens hercs	nominative	{0} hercu	pagājusi 10 hercu	{0} hercs	pagājusi 21 hercs	{0} herci	pagājusi 3 herci
frequency	hertz	masculine	viens hercs	accusative	{0} hercu	palikt 10 hercu	{0} hercu	palikt 21 hercu	{0} hercus	palikt 3 hercus
frequency	hertz	masculine	viens hercs	genitive	{0} hercu	10 hercu brauciens	{0} herca	21 herca brauciens	{0} hercu	3 hercu brauciens
frequency	hertz	masculine	viens hercs	locative	{0} hercu	izdarīts 10 hercu	{0} hercā	izdarīts 21 hercā	{0} hercos	izdarīts 3 hercos
frequency	hertz	masculine	viens hercs	dative	{0} hercu	pietiks 10 hercu	{0} hercam	pietiks 21 hercam	{0} herciem	pietiks 3 herciem
frequency	kilohertz	masculine	viens kilohercs	nominative	{0} kilohercu	pagājusi 10 kilohercu	{0} kilohercs	pagājusi 21 kilohercs	{0} kiloherci	pagājusi 3 kiloherci
frequency	kilohertz	masculine	viens kilohercs	accusative	{0} kilohercu	palikt 10 kilohercu	{0} kilohercu	palikt 21 kilohercu	{0} kilohercus	palikt 3 kilohercus
frequency	kilohertz	masculine	viens kilohercs	genitive	{0} kilohercu	10 kilohercu brauciens	{0} kiloherca	21 kiloherca brauciens	{0} kilohercu	3 kilohercu brauciens
frequency	kilohertz	masculine	viens kilohercs	locative	{0} kilohercu	izdarīts 10 kilohercu	{0} kilohercā	izdarīts 21 kilohercā	{0} kilohercos	izdarīts 3 kilohercos
frequency	kilohertz	masculine	viens kilohercs	dative	{0} kilohercu	pietiks 10 kilohercu	{0} kilohercam	pietiks 21 kilohercam	{0} kiloherciem	pietiks 3 kiloherciem
frequency	megahertz	masculine	viens megahercs	nominative	{0} megahercu	pagājusi 10 megahercu	{0} megahercs	pagājusi 21 megahercs	{0} megaherci	pagājusi 3 megaherci
frequency	megahertz	masculine	viens megahercs	accusative	{0} megahercu	palikt 10 megahercu	{0} megahercu	palikt 21 megahercu	{0} megahercus	palikt 3 megahercus
frequency	megahertz	masculine	viens megahercs	genitive	{0} megahercu	10 megahercu brauciens	{0} megaherca	21 megaherca brauciens	{0} megahercu	3 megahercu brauciens
frequency	megahertz	masculine	viens megahercs	locative	{0} megahercu	izdarīts 10 megahercu	{0} megahercā	izdarīts 21 megahercā	{0} megahercos	izdarīts 3 megahercos
frequency	megahertz	masculine	viens megahercs	dative	{0} megahercu	pietiks 10 megahercu	{0} megahercam	pietiks 21 megahercam	{0} megaherciem	pietiks 3 megaherciem
frequency	gigahertz	masculine	viens gigahercs	nominative	{0} gigahercu	pagājusi 10 gigahercu	{0} gigahercs	pagājusi 21 gigahercs	{0} gigaherci	pagājusi 3 gigaherci
frequency	gigahertz	masculine	viens gigahercs	accusative	{0} gigahercu	palikt 10 gigahercu	{0} gigaherca	palikt 21 gigaherca	{0} gigahercus	palikt 3 gigahercus
frequency	gigahertz	masculine	viens gigahercs	genitive	{0} gigahercu	10 gigahercu brauciens	{0} gigaherca	21 gigaherca brauciens	{0} gigahercu	3 gigahercu brauciens
frequency	gigahertz	masculine	viens gigahercs	locative	{0} gigahercu	izdarīts 10 gigahercu	{0} gigahercā	izdarīts 21 gigahercā	{0} gigahercos	izdarīts 3 gigahercos
frequency	gigahertz	masculine	viens gigahercs	dative	{0} gigahercu	pietiks 10 gigahercu	{0} gigahercam	pietiks 21 gigahercam	{0} gigaherciem	pietiks 3 gigaherciem
