# Grammatical Features
#Locale	ID	Feature	Usage	Values
Ukrainian	uk	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} день	<div class='cldr_example'><span class='cldr_substituted'>1</span> день</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> день</div>
Plural	few	{0} дні	<div class='cldr_example'><span class='cldr_substituted'>2</span> дні</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> дні</div>
Plural	many	{0} днів	<div class='cldr_example'><span class='cldr_substituted'>5</span> днів</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> днів</div>
Plural	other	{0} дня	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> дня</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> дня</div>
Case (for measurement units)	nominative	Є {0}	<div class='cldr_example'>Є <span class='cldr_substituted'>1 сантиметр</span></div><div class='cldr_example'>❌  Є <span class='cldr_substituted'>1 сантиметру</span></div>
Case (for measurement units)	accusative	Знайшли {0}	<div class='cldr_example'>Знайшли <span class='cldr_substituted'>1 сантиметр</span></div><div class='cldr_example'>❌  Знайшли <span class='cldr_substituted'>1 сантиметру</span></div>
Case (for measurement units)	genitive	Немає {0}	<div class='cldr_example'>Немає <span class='cldr_substituted'>1 сантиметра</span></div><div class='cldr_example'>❌  Немає <span class='cldr_substituted'>1 сантиметр</span></div>
Case (for measurement units)	locative	Міститься в {0}	<div class='cldr_example'>Міститься в <span class='cldr_substituted'>1 сантиметрі</span></div><div class='cldr_example'>❌  Міститься в <span class='cldr_substituted'>1 сантиметр</span></div>
Case (for measurement units)	dative	Це відповідає {0}	<div class='cldr_example'>Це відповідає <span class='cldr_substituted'>1 сантиметру</span></div><div class='cldr_example'>❌  Це відповідає <span class='cldr_substituted'>1 сантиметр</span></div>
Case (for measurement units)	instrumental	Вимірюється не {0}	<div class='cldr_example'>Вимірюється не <span class='cldr_substituted'>1 сантиметром</span></div><div class='cldr_example'>❌  Вимірюється не <span class='cldr_substituted'>1 сантиметр</span></div>
Gender (for measurement units)	masculine	Цей {0}	<div class='cldr_example'>Цей <span class='cldr_substituted'>сантиметр</span></div><div class='cldr_example'>❌  Цей <span class='cldr_substituted'>година</span></div>
Gender (for measurement units)	feminine	Ця {0}	<div class='cldr_example'>Ця <span class='cldr_substituted'>година</span></div><div class='cldr_example'>❌  Ця <span class='cldr_substituted'>сантиметр</span></div>
Gender (for measurement units)	neuter	Це {0}	<div class='cldr_example'>Це <span class='cldr_substituted'>століття</span></div><div class='cldr_example'>❌  Це <span class='cldr_substituted'>година</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 5.0	Pattern for other	Case MP + pattern with 0.1
digital	terabyte • ( = 8 Tb)	masculine	Цей терабайт	locative	{0} терабайті	Міститься в 21 терабайті	{0} терабайтах	Міститься в 3 терабайтах	{0} терабайтах	Міститься в 5 терабайтах	{0} терабайта	Міститься в 0,1 терабайта
digital	terabyte • ( = 8 Tb)	masculine	Цей терабайт	dative	{0} терабайту	Це відповідає 21 терабайту	{0} терабайтам	Це відповідає 3 терабайтам	{0} терабайтам	Це відповідає 5 терабайтам	{0} терабайта	Це відповідає 0,1 терабайта
digital	terabyte • ( = 8 Tb)	masculine	Цей терабайт	instrumental	{0} терабайтом	Вимірюється не 21 терабайтом	{0} терабайтами	Вимірюється не 3 терабайтами	{0} терабайтами	Вимірюється не 5 терабайтами	{0} терабайта	Вимірюється не 0,1 терабайта
digital	petabyte • ( = 8,000 Tb)	masculine	Цей петабайт	nominative	{0} петабайт	Є 21 петабайт	{0} петабайти	Є 3 петабайти	{0} петабайтів	Є 5 петабайтів	{0} петабайта	Є 0,1 петабайта
digital	petabyte • ( = 8,000 Tb)	masculine	Цей петабайт	accusative	{0} петабайт	Знайшли 21 петабайт	{0} петабайти	Знайшли 3 петабайти	{0} петабайтів	Знайшли 5 петабайтів	{0} петабайта	Знайшли 0,1 петабайта
digital	petabyte • ( = 8,000 Tb)	masculine	Цей петабайт	genitive	{0} петабайта	Немає 21 петабайта	{0} петабайтів	Немає 3 петабайтів	{0} петабайтів	Немає 5 петабайтів	{0} петабайта	Немає 0,1 петабайта
digital	petabyte • ( = 8,000 Tb)	masculine	Цей петабайт	locative	{0} петабайті	Міститься в 21 петабайті	{0} петабайтах	Міститься в 3 петабайтах	{0} петабайтах	Міститься в 5 петабайтах	{0} петабайта	Міститься в 0,1 петабайта
digital	petabyte • ( = 8,000 Tb)	masculine	Цей петабайт	dative	{0} петабайту	Це відповідає 21 петабайту	{0} петабайтам	Це відповідає 3 петабайтам	{0} петабайтам	Це відповідає 5 петабайтам	{0} петабайта	Це відповідає 0,1 петабайта
digital	petabyte • ( = 8,000 Tb)	masculine	Цей петабайт	instrumental	{0} петабайтом	Вимірюється не 21 петабайтом	{0} петабайтами	Вимірюється не 3 петабайтами	{0} петабайтами	Вимірюється не 5 петабайтами	{0} петабайта	Вимірюється не 0,1 петабайта
duration	nanoseconds	feminine	Ця наносекунда	nominative	{0} наносекунда	Є 21 наносекунда	{0} наносекунди	Є 3 наносекунди	{0} наносекунд	Є 5 наносекунд	{0} наносекунди	Є 0,1 наносекунди
duration	nanoseconds	feminine	Ця наносекунда	accusative	{0} наносекунду	Знайшли 21 наносекунду	{0} наносекунди	Знайшли 3 наносекунди	{0} наносекунд	Знайшли 5 наносекунд	{0} наносекунди	Знайшли 0,1 наносекунди
duration	nanoseconds	feminine	Ця наносекунда	genitive	{0} наносекунди	Немає 21 наносекунди	{0} наносекунд	Немає 3 наносекунд	{0} наносекунд	Немає 5 наносекунд	{0} наносекунди	Немає 0,1 наносекунди
duration	nanoseconds	feminine	Ця наносекунда	locative	{0} наносекунді	Міститься в 21 наносекунді	{0} наносекундах	Міститься в 3 наносекундах	{0} наносекундах	Міститься в 5 наносекундах	{0} наносекунди	Міститься в 0,1 наносекунди
duration	nanoseconds	feminine	Ця наносекунда	dative	{0} наносекунді	Це відповідає 21 наносекунді	{0} наносекундам	Це відповідає 3 наносекундам	{0} наносекундам	Це відповідає 5 наносекундам	{0} наносекунди	Це відповідає 0,1 наносекунди
duration	nanoseconds	feminine	Ця наносекунда	instrumental	{0} наносекундою	Вимірюється не 21 наносекундою	{0} наносекундами	Вимірюється не 3 наносекундами	{0} наносекундами	Вимірюється не 5 наносекундами	{0} наносекунди	Вимірюється не 0,1 наносекунди
duration	microseconds	feminine	Ця мікросекунда	nominative	{0} мікросекунда	Є 21 мікросекунда	{0} мікросекунди	Є 3 мікросекунди	{0} мікросекунд	Є 5 мікросекунд	{0} мікросекунди	Є 0,1 мікросекунди
duration	microseconds	feminine	Ця мікросекунда	accusative	{0} мікросекунду	Знайшли 21 мікросекунду	{0} мікросекунди	Знайшли 3 мікросекунди	{0} мікросекунд	Знайшли 5 мікросекунд	{0} мікросекунди	Знайшли 0,1 мікросекунди
duration	microseconds	feminine	Ця мікросекунда	genitive	{0} мікросекунди	Немає 21 мікросекунди	{0} мікросекунд	Немає 3 мікросекунд	{0} мікросекунд	Немає 5 мікросекунд	{0} мікросекунди	Немає 0,1 мікросекунди
duration	microseconds	feminine	Ця мікросекунда	locative	{0} мікросекунді	Міститься в 21 мікросекунді	{0} мікросекундах	Міститься в 3 мікросекундах	{0} мікросекундах	Міститься в 5 мікросекундах	{0} мікросекунди	Міститься в 0,1 мікросекунди
duration	microseconds	feminine	Ця мікросекунда	dative	{0} мікросекунді	Це відповідає 21 мікросекунді	{0} мікросекундам	Це відповідає 3 мікросекундам	{0} мікросекундам	Це відповідає 5 мікросекундам	{0} мікросекунди	Це відповідає 0,1 мікросекунди
duration	microseconds	feminine	Ця мікросекунда	instrumental	{0} мікросекундою	Вимірюється не 21 мікросекундою	{0} мікросекундами	Вимірюється не 3 мікросекундами	{0} мікросекундами	Вимірюється не 5 мікросекундами	{0} мікросекунди	Вимірюється не 0,1 мікросекунди
duration	milliseconds	feminine	Ця мілісекунда	nominative	{0} мілісекунда	Є 21 мілісекунда	{0} мілісекунди	Є 3 мілісекунди	{0} мілісекунд	Є 5 мілісекунд	{0} мілісекунди	Є 0,1 мілісекунди
duration	milliseconds	feminine	Ця мілісекунда	accusative	{0} мілісекунду	Знайшли 21 мілісекунду	{0} мілісекунди	Знайшли 3 мілісекунди	{0} мілісекунд	Знайшли 5 мілісекунд	{0} мілісекунди	Знайшли 0,1 мілісекунди
duration	milliseconds	feminine	Ця мілісекунда	genitive	{0} мілісекунди	Немає 21 мілісекунди	{0} мілісекунд	Немає 3 мілісекунд	{0} мілісекунд	Немає 5 мілісекунд	{0} мілісекунди	Немає 0,1 мілісекунди
duration	milliseconds	feminine	Ця мілісекунда	locative	{0} мілісекунді	Міститься в 21 мілісекунді	{0} мілісекундах	Міститься в 3 мілісекундах	{0} мілісекундах	Міститься в 5 мілісекундах	{0} мілісекунди	Міститься в 0,1 мілісекунди
duration	milliseconds	feminine	Ця мілісекунда	dative	{0} мілісекунді	Це відповідає 21 мілісекунді	{0} мілісекундам	Це відповідає 3 мілісекундам	{0} мілісекундам	Це відповідає 5 мілісекундам	{0} мілісекунди	Це відповідає 0,1 мілісекунди
duration	milliseconds	feminine	Ця мілісекунда	instrumental	{0} мілісекундою	Вимірюється не 21 мілісекундою	{0} мілісекундами	Вимірюється не 3 мілісекундами	{0} мілісекундами	Вимірюється не 5 мілісекундами	{0} мілісекунди	Вимірюється не 0,1 мілісекунди
duration	seconds	feminine	Ця секунда	nominative	{0} секунда	Є 21 секунда	{0} секунди	Є 3 секунди	{0} секунд	Є 5 секунд	{0} секунди	Є 0,1 секунди
duration	seconds	feminine	Ця секунда	accusative	{0} секунду	Знайшли 21 секунду	{0} секунди	Знайшли 3 секунди	{0} секунд	Знайшли 5 секунд	{0} секунди	Знайшли 0,1 секунди
duration	seconds	feminine	Ця секунда	genitive	{0} секунди	Немає 21 секунди	{0} секунд	Немає 3 секунд	{0} секунд	Немає 5 секунд	{0} секунди	Немає 0,1 секунди
duration	seconds	feminine	Ця секунда	locative	{0} секунді	Міститься в 21 секунді	{0} секундах	Міститься в 3 секундах	{0} секундах	Міститься в 5 секундах	{0} секунди	Міститься в 0,1 секунди
duration	seconds	feminine	Ця секунда	dative	{0} секунді	Це відповідає 21 секунді	{0} секундам	Це відповідає 3 секундам	{0} секундам	Це відповідає 5 секундам	{0} секунди	Це відповідає 0,1 секунди
duration	seconds	feminine	Ця секунда	instrumental	{0} секундою	Вимірюється не 21 секундою	{0} секундами	Вимірюється не 3 секундами	{0} секундами	Вимірюється не 5 секундами	{0} секунди	Вимірюється не 0,1 секунди
duration	minute • ( = 60 sec)	feminine	Ця хвилина	nominative	{0} хвилина	Є 21 хвилина	{0} хвилини	Є 3 хвилини	{0} хвилин	Є 5 хвилин	{0} хвилини	Є 0,1 хвилини
duration	minute • ( = 60 sec)	feminine	Ця хвилина	accusative	{0} хвилину	Знайшли 21 хвилину	{0} хвилини	Знайшли 3 хвилини	{0} хвилин	Знайшли 5 хвилин	{0} хвилини	Знайшли 0,1 хвилини
duration	minute • ( = 60 sec)	feminine	Ця хвилина	genitive	{0} хвилини	Немає 21 хвилини	{0} хвилин	Немає 3 хвилин	{0} хвилин	Немає 5 хвилин	{0} хвилини	Немає 0,1 хвилини
duration	minute • ( = 60 sec)	feminine	Ця хвилина	locative	{0} хвилині	Міститься в 21 хвилині	{0} хвилинах	Міститься в 3 хвилинах	{0} хвилинах	Міститься в 5 хвилинах	{0} хвилини	Міститься в 0,1 хвилини
duration	minute • ( = 60 sec)	feminine	Ця хвилина	dative	{0} хвилині	Це відповідає 21 хвилині	{0} хвилинам	Це відповідає 3 хвилинам	{0} хвилинам	Це відповідає 5 хвилинам	{0} хвилини	Це відповідає 0,1 хвилини
duration	minute • ( = 60 sec)	feminine	Ця хвилина	instrumental	{0} хвилиною	Вимірюється не 21 хвилиною	{0} хвилинами	Вимірюється не 3 хвилинами	{0} хвилинами	Вимірюється не 5 хвилинами	{0} хвилини	Вимірюється не 0,1 хвилини
duration	hour • ( = 3,600 sec)	feminine	Ця година	nominative	{0} година	Є 21 година	{0} години	Є 3 години	{0} годин	Є 5 годин	{0} години	Є 0,1 години
duration	hour • ( = 3,600 sec)	feminine	Ця година	accusative	{0} годину	Знайшли 21 годину	{0} години	Знайшли 3 години	{0} годин	Знайшли 5 годин	{0} години	Знайшли 0,1 години
duration	hour • ( = 3,600 sec)	feminine	Ця година	genitive	{0} години	Немає 21 години	{0} годин	Немає 3 годин	{0} годин	Немає 5 годин	{0} години	Немає 0,1 години
duration	hour • ( = 3,600 sec)	feminine	Ця година	locative	{0} годині	Міститься в 21 годині	{0} годинах	Міститься в 3 годинах	{0} годинах	Міститься в 5 годинах	{0} години	Міститься в 0,1 години
duration	hour • ( = 3,600 sec)	feminine	Ця година	dative	{0} годині	Це відповідає 21 годині	{0} годинам	Це відповідає 3 годинам	{0} годинам	Це відповідає 5 годинам	{0} години	Це відповідає 0,1 години
duration	hour • ( = 3,600 sec)	feminine	Ця година	instrumental	{0} годиною	Вимірюється не 21 годиною	{0} годинами	Вимірюється не 3 годинами	{0} годинами	Вимірюється не 5 годинами	{0} години	Вимірюється не 0,1 години
duration	day • ( = 86,400 sec)	masculine	Цей день	nominative	{0} день	Є 21 день	{0} дні	Є 3 дні	{0} днів	Є 5 днів	{0} дня	Є 0,1 дня
duration	day • ( = 86,400 sec)	masculine	Цей день	accusative	{0} день	Знайшли 21 день	{0} дні	Знайшли 3 дні	{0} днів	Знайшли 5 днів	{0} дня	Знайшли 0,1 дня
duration	day • ( = 86,400 sec)	masculine	Цей день	genitive	{0} дня	Немає 21 дня	{0} днів	Немає 3 днів	{0} днів	Немає 5 днів	{0} дня	Немає 0,1 дня
duration	day • ( = 86,400 sec)	masculine	Цей день	locative	{0} дні	Міститься в 21 дні	{0} днях	Міститься в 3 днях	{0} днях	Міститься в 5 днях	{0} дня	Міститься в 0,1 дня
duration	day • ( = 86,400 sec)	masculine	Цей день	dative	{0} дню	Це відповідає 21 дню	{0} дням	Це відповідає 3 дням	{0} дням	Це відповідає 5 дням	{0} дня	Це відповідає 0,1 дня
duration	day • ( = 86,400 sec)	masculine	Цей день	instrumental	{0} днем	Вимірюється не 21 днем	{0} днями	Вимірюється не 3 днями	{0} днями	Вимірюється не 5 днями	{0} дня	Вимірюється не 0,1 дня
duration	day-person • ( = 86,400 sec)	masculine	Цей день	nominative	{0} день	Є 21 день	{0} дні	Є 3 дні	{0} днів	Є 5 днів	{0} дня	Є 0,1 дня
duration	day-person • ( = 86,400 sec)	masculine	Цей день	accusative	{0} день	Знайшли 21 день	{0} дні	Знайшли 3 дні	{0} днів	Знайшли 5 днів	{0} дня	Знайшли 0,1 дня
duration	day-person • ( = 86,400 sec)	masculine	Цей день	genitive	{0} дня	Немає 21 дня	{0} днів	Немає 3 днів	{0} днів	Немає 5 днів	{0} дня	Немає 0,1 дня
duration	day-person • ( = 86,400 sec)	masculine	Цей день	locative	{0} день	Міститься в 21 день	{0} дні	Міститься в 3 дні	{0} днів	Міститься в 5 днів	{0} дня	Міститься в 0,1 дня
duration	day-person • ( = 86,400 sec)	masculine	Цей день	dative	{0} день	Це відповідає 21 день	{0} дні	Це відповідає 3 дні	{0} днів	Це відповідає 5 днів	{0} дня	Це відповідає 0,1 дня
duration	day-person • ( = 86,400 sec)	masculine	Цей день	instrumental	{0} день	Вимірюється не 21 день	{0} дні	Вимірюється не 3 дні	{0} днів	Вимірюється не 5 днів	{0} дня	Вимірюється не 0,1 дня
duration	week • ( = 604,800 sec)	masculine	Цей тиждень	nominative	{0} тиждень	Є 21 тиждень	{0} тижні	Є 3 тижні	{0} тижнів	Є 5 тижнів	{0} тижня	Є 0,1 тижня
duration	week • ( = 604,800 sec)	masculine	Цей тиждень	accusative	{0} тиждень	Знайшли 21 тиждень	{0} тижні	Знайшли 3 тижні	{0} тижнів	Знайшли 5 тижнів	{0} тижня	Знайшли 0,1 тижня
duration	week • ( = 604,800 sec)	masculine	Цей тиждень	genitive	{0} тижня	Немає 21 тижня	{0} тижнів	Немає 3 тижнів	{0} тижнів	Немає 5 тижнів	{0} тижня	Немає 0,1 тижня
duration	week • ( = 604,800 sec)	masculine	Цей тиждень	locative	{0} тижні	Міститься в 21 тижні	{0} тижнях	Міститься в 3 тижнях	{0} тижнях	Міститься в 5 тижнях	{0} тижня	Міститься в 0,1 тижня
duration	week • ( = 604,800 sec)	masculine	Цей тиждень	dative	{0} тижню	Це відповідає 21 тижню	{0} тижням	Це відповідає 3 тижням	{0} тижням	Це відповідає 5 тижням	{0} тижня	Це відповідає 0,1 тижня
duration	week • ( = 604,800 sec)	masculine	Цей тиждень	instrumental	{0} тижнем	Вимірюється не 21 тижнем	{0} тижнями	Вимірюється не 3 тижнями	{0} тижнями	Вимірюється не 5 тижнями	{0} тижня	Вимірюється не 0,1 тижня
electric-current	milliamperes	masculine	Цей міліампер	nominative	{0} міліампер	Є 21 міліампер	{0} міліампери	Є 3 міліампери	{0} міліамперів	Є 5 міліамперів	{0} міліампера	Є 0,1 міліампера
electric-current	milliamperes	masculine	Цей міліампер	accusative	{0} міліампер	Знайшли 21 міліампер	{0} міліампери	Знайшли 3 міліампери	{0} міліамперів	Знайшли 5 міліамперів	{0} міліампера	Знайшли 0,1 міліампера
electric-current	milliamperes	masculine	Цей міліампер	genitive	{0} міліампера	Немає 21 міліампера	{0} міліамперів	Немає 3 міліамперів	{0} міліамперів	Немає 5 міліамперів	{0} міліампера	Немає 0,1 міліампера
electric-current	milliamperes	masculine	Цей міліампер	locative	{0} міліампері	Міститься в 21 міліампері	{0} міліамперах	Міститься в 3 міліамперах	{0} міліамперах	Міститься в 5 міліамперах	{0} міліампера	Міститься в 0,1 міліампера
electric-current	milliamperes	masculine	Цей міліампер	dative	{0} міліамперу	Це відповідає 21 міліамперу	{0} міліамперам	Це відповідає 3 міліамперам	{0} міліамперам	Це відповідає 5 міліамперам	{0} міліампера	Це відповідає 0,1 міліампера
electric-current	milliamperes	masculine	Цей міліампер	instrumental	{0} міліампером	Вимірюється не 21 міліампером	{0} міліамперами	Вимірюється не 3 міліамперами	{0} міліамперами	Вимірюється не 5 міліамперами	{0} міліампера	Вимірюється не 0,1 міліампера
electric-current	amperes	masculine	Цей ампер	nominative	{0} ампер	Є 21 ампер	{0} ампери	Є 3 ампери	{0} амперів	Є 5 амперів	{0} ампера	Є 0,1 ампера
electric-current	amperes	masculine	Цей ампер	accusative	{0} ампер	Знайшли 21 ампер	{0} ампери	Знайшли 3 ампери	{0} амперів	Знайшли 5 амперів	{0} ампера	Знайшли 0,1 ампера
electric-current	amperes	masculine	Цей ампер	genitive	{0} ампера	Немає 21 ампера	{0} амперів	Немає 3 амперів	{0} амперів	Немає 5 амперів	{0} ампера	Немає 0,1 ампера
electric-current	amperes	masculine	Цей ампер	locative	{0} ампері	Міститься в 21 ампері	{0} амперах	Міститься в 3 амперах	{0} амперах	Міститься в 5 амперах	{0} ампера	Міститься в 0,1 ампера
electric-current	amperes	masculine	Цей ампер	dative	{0} амперу	Це відповідає 21 амперу	{0} амперам	Це відповідає 3 амперам	{0} амперам	Це відповідає 5 амперам	{0} ампера	Це відповідає 0,1 ампера
electric-current	amperes	masculine	Цей ампер	instrumental	{0} ампером	Вимірюється не 21 ампером	{0} амперами	Вимірюється не 3 амперами	{0} амперами	Вимірюється не 5 амперами	{0} ампера	Вимірюється не 0,1 ампера
electric-resistance	ohms	masculine	Цей ом	nominative	{0} ом	Є 21 ом	{0} оми	Є 3 оми	{0} омів	Є 5 омів	{0} ома	Є 0,1 ома
electric-resistance	ohms	masculine	Цей ом	accusative	{0} ом	Знайшли 21 ом	{0} оми	Знайшли 3 оми	{0} омів	Знайшли 5 омів	{0} ома	Знайшли 0,1 ома
electric-resistance	ohms	masculine	Цей ом	genitive	{0} ома	Немає 21 ома	{0} омів	Немає 3 омів	{0} омів	Немає 5 омів	{0} ома	Немає 0,1 ома
electric-resistance	ohms	masculine	Цей ом	locative	{0} омі	Міститься в 21 омі	{0} омах	Міститься в 3 омах	{0} омах	Міститься в 5 омах	{0} ома	Міститься в 0,1 ома
electric-resistance	ohms	masculine	Цей ом	dative	{0} ому	Це відповідає 21 ому	{0} омам	Це відповідає 3 омам	{0} омам	Це відповідає 5 омам	{0} ома	Це відповідає 0,1 ома
electric-resistance	ohms	masculine	Цей ом	instrumental	{0} омом	Вимірюється не 21 омом	{0} омами	Вимірюється не 3 омами	{0} омами	Вимірюється не 5 омами	{0} ома	Вимірюється не 0,1 ома
energy	joules	masculine	Цей джоуль	nominative	{0} джоуль	Є 21 джоуль	{0} джоулі	Є 3 джоулі	{0} джоулів	Є 5 джоулів	{0} джоуля	Є 0,1 джоуля
energy	joules	masculine	Цей джоуль	accusative	{0} джоуль	Знайшли 21 джоуль	{0} джоулі	Знайшли 3 джоулі	{0} джоулів	Знайшли 5 джоулів	{0} джоуля	Знайшли 0,1 джоуля
energy	joules	masculine	Цей джоуль	genitive	{0} джоуля	Немає 21 джоуля	{0} джоулів	Немає 3 джоулів	{0} джоулів	Немає 5 джоулів	{0} джоуля	Немає 0,1 джоуля
energy	joules	masculine	Цей джоуль	locative	{0} джоулі	Міститься в 21 джоулі	{0} джоулях	Міститься в 3 джоулях	{0} джоулях	Міститься в 5 джоулях	{0} джоуля	Міститься в 0,1 джоуля
energy	joules	masculine	Цей джоуль	dative	{0} джоулю	Це відповідає 21 джоулю	{0} джоулям	Це відповідає 3 джоулям	{0} джоулям	Це відповідає 5 джоулям	{0} джоуля	Це відповідає 0,1 джоуля
energy	joules	masculine	Цей джоуль	instrumental	{0} джоулем	Вимірюється не 21 джоулем	{0} джоулями	Вимірюється не 3 джоулями	{0} джоулями	Вимірюється не 5 джоулями	{0} джоуля	Вимірюється не 0,1 джоуля
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	nominative	{0} ньютон-метр	Є 21 ньютон-метр	{0} ньютон-метри	Є 3 ньютон-метри	{0} ньютон-метрів	Є 5 ньютон-метрів	{0} ньютон-метра	Є 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	accusative	{0} ньютон-метр	Знайшли 21 ньютон-метр	{0} ньютон-метри	Знайшли 3 ньютон-метри	{0} ньютон-метрів	Знайшли 5 ньютон-метрів	{0} ньютон-метра	Знайшли 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	genitive	{0} ньютон-метра	Немає 21 ньютон-метра	{0} ньютон-метрів	Немає 3 ньютон-метрів	{0} ньютон-метрів	Немає 5 ньютон-метрів	{0} ньютон-метра	Немає 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	locative	{0} ньютон-метрі	Міститься в 21 ньютон-метрі	{0} ньютон-метрах	Міститься в 3 ньютон-метрах	{0} ньютон-метрах	Міститься в 5 ньютон-метрах	{0} ньютон-метра	Міститься в 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	dative	{0} ньютон-метру	Це відповідає 21 ньютон-метру	{0} ньютон-метрам	Це відповідає 3 ньютон-метрам	{0} ньютон-метрам	Це відповідає 5 ньютон-метрам	{0} ньютон-метра	Це відповідає 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	instrumental	{0} ньютон-метром	Вимірюється не 21 ньютон-метром	{0} ньютон-метрами	Вимірюється не 3 ньютон-метрами	{0} ньютон-метрами	Вимірюється не 5 ньютон-метрами	{0} ньютон-метра	Вимірюється не 0,1 ньютон-метра
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	nominative	{0} калорія	Є 21 калорія	{0} калорії	Є 3 калорії	{0} калорій	Є 5 калорій	{0} калорії	Є 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	accusative	{0} калорію	Знайшли 21 калорію	{0} калорії	Знайшли 3 калорії	{0} калорій	Знайшли 5 калорій	{0} калорії	Знайшли 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	genitive	{0} калорії	Немає 21 калорії	{0} калорій	Немає 3 калорій	{0} калорій	Немає 5 калорій	{0} калорії	Немає 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	locative	{0} калорії	Міститься в 21 калорії	{0} калоріях	Міститься в 3 калоріях	{0} калоріях	Міститься в 5 калоріях	{0} калорії	Міститься в 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	dative	{0} калорії	Це відповідає 21 калорії	{0} калоріям	Це відповідає 3 калоріям	{0} калоріям	Це відповідає 5 калоріям	{0} калорії	Це відповідає 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	instrumental	{0} калорією	Вимірюється не 21 калорією	{0} калоріями	Вимірюється не 3 калоріями	{0} калоріями	Вимірюється не 5 калоріями	{0} калорії	Вимірюється не 0,1 калорії
energy	kilojoules	masculine	Цей кілоджоуль	nominative	{0} кілоджоуль	Є 21 кілоджоуль	{0} кілоджоулі	Є 3 кілоджоулі	{0} кілоджоулів	Є 5 кілоджоулів	{0} кілоджоуля	Є 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	accusative	{0} кілоджоуль	Знайшли 21 кілоджоуль	{0} кілоджоулі	Знайшли 3 кілоджоулі	{0} кілоджоулів	Знайшли 5 кілоджоулів	{0} кілоджоуля	Знайшли 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	genitive	{0} кілоджоуля	Немає 21 кілоджоуля	{0} кілоджоулі	Немає 3 кілоджоулі	{0} кілоджоулів	Немає 5 кілоджоулів	{0} кілоджоуля	Немає 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	locative	{0} кілоджоулі	Міститься в 21 кілоджоулі	{0} кілоджоулів	Міститься в 3 кілоджоулів	{0} кілоджоулях	Міститься в 5 кілоджоулях	{0} кілоджоуля	Міститься в 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	dative	{0} кілоджоулю	Це відповідає 21 кілоджоулю	{0} кілоджоулям	Це відповідає 3 кілоджоулям	{0} кілоджоулям	Це відповідає 5 кілоджоулям	{0} кілоджоуля	Це відповідає 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	instrumental	{0} кілоджоулем	Вимірюється не 21 кілоджоулем	{0} кілоджоулями	Вимірюється не 3 кілоджоулями	{0} кілоджоулями	Вимірюється не 5 кілоджоулями	{0} кілоджоуля	Вимірюється не 0,1 кілоджоуля
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	nominative	{0} кіловат-година	Є 21 кіловат-година	{0} кіловат-години	Є 3 кіловат-години	{0} кіловат-годин	Є 5 кіловат-годин	{0} кіловат-години	Є 0,1 кіловат-години
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	accusative	{0} кіловат-годину	Знайшли 21 кіловат-годину	{0} кіловат-години	Знайшли 3 кіловат-години	{0} кіловат-годин	Знайшли 5 кіловат-годин	{0} кіловат-години	Знайшли 0,1 кіловат-години
