# Grammatical Features
#Locale	ID	Feature	Usage	Values
Czech	cs	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalGender	general	animate, inanimate, feminine, neuter
Czech	cs	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} den	<div class='cldr_example'><span class='cldr_substituted'>1</span> den</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> den</div>
Plural	few	{0} dny	<div class='cldr_example'><span class='cldr_substituted'>2</span> dny</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dny</div>
Plural	many	{0} dne	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> dne</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dne</div>
Plural	other	{0} dní	<div class='cldr_example'><span class='cldr_substituted'>5</span> dní</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dní</div>
Case (for measurement units)	nominative	Chybí ještě {0}.	<div class='cldr_example'>Chybí ještě <span class='cldr_substituted'>1 centimetr čtvereční</span>.</div><div class='cldr_example'>❌  Chybí ještě <span class='cldr_substituted'>1 centimetru čtverečnímu</span>.</div>
Case (for measurement units)	accusative	Naměřili jsme {0}.	<div class='cldr_example'>Naměřili jsme <span class='cldr_substituted'>1 centimetr čtvereční</span>.</div><div class='cldr_example'>❌  Naměřili jsme <span class='cldr_substituted'>1 centimetru čtverečnímu</span>.</div>
Case (for measurement units)	genitive	Bez {0} se obejdeme.	<div class='cldr_example'>Bez <span class='cldr_substituted'>10,0 centimetru čtverečního</span> se obejdeme.</div><div class='cldr_example'>❌  Bez <span class='cldr_substituted'>1 centimetr čtvereční</span> se obejdeme.</div>
Case (for measurement units)	locative	Po {0} se zastavil.	<div class='cldr_example'>Po <span class='cldr_substituted'>1 centimetru čtverečním</span> se zastavil.</div><div class='cldr_example'>❌  Po <span class='cldr_substituted'>1 centimetr čtvereční</span> se zastavil.</div>
Case (for measurement units)	dative	Díky {0} navíc to mohl stihnout.	<div class='cldr_example'>Díky <span class='cldr_substituted'>1 centimetru čtverečnímu</span> navíc to mohl stihnout.</div><div class='cldr_example'>❌  Díky <span class='cldr_substituted'>1 centimetr čtvereční</span> navíc to mohl stihnout.</div>
Case (for measurement units)	instrumental	Spokojíme se s {0}.	<div class='cldr_example'>Spokojíme se s <span class='cldr_substituted'>1 centimetrem čtverečním</span>.</div><div class='cldr_example'>❌  Spokojíme se s <span class='cldr_substituted'>1 centimetr čtvereční</span>.</div>
Gender (for measurement units)	inanimate	Jeden {0} stál 135 Kč.	<div class='cldr_example'>Jeden <span class='cldr_substituted'>centimetr</span> stál 135 Kč.</div><div class='cldr_example'>❌  Jeden <span class='cldr_substituted'>hodina</span> stál 135 Kč.</div>
Gender (for measurement units)	feminine	Jedna {0} stála 135 Kč.	<div class='cldr_example'>Jedna <span class='cldr_substituted'>hodina</span> stála 135 Kč.</div><div class='cldr_example'>❌  Jedna <span class='cldr_substituted'>centimetr</span> stála 135 Kč.</div>
Gender (for measurement units)	neuter	Jedno {0} stálo 135 Kč.	<div class='cldr_example'>Jedno <span class='cldr_substituted'>století</span> stálo 135 Kč.</div><div class='cldr_example'>❌  Jedno <span class='cldr_substituted'>hodina</span> stálo 135 Kč.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 0.1	Pattern for other	Case MP + pattern with 5.0
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	locative	{0} milisekundě	Po 1 milisekundě se zastavil.	{0} milisekundách	Po 3 milisekundách se zastavil.	{0} milisekundy	Po 0,1 milisekundy se zastavil.	{0} milisekundách	Po 5 milisekundách se zastavil.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	dative	{0} milisekundě	Díky 1 milisekundě navíc to mohl stihnout.	{0} milisekundám	Díky 3 milisekundám navíc to mohl stihnout.	{0} milisekundy	Díky 0,1 milisekundy navíc to mohl stihnout.	{0} milisekundám	Díky 5 milisekundám navíc to mohl stihnout.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	instrumental	{0} milisekundou	Spokojíme se s 1 milisekundou.	{0} milisekundami	Spokojíme se s 3 milisekundami.	{0} milisekundy	Spokojíme se s 0,1 milisekundy.	{0} milisekundami	Spokojíme se s 5 milisekundami.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	nominative	{0} sekunda	Chybí ještě 1 sekunda.	{0} sekundy	Chybí ještě 3 sekundy.	{0} sekundy	Chybí ještě 0,1 sekundy.	{0} sekund	Chybí ještě 5 sekund.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	accusative	{0} sekundu	Naměřili jsme 1 sekundu.	{0} sekundy	Naměřili jsme 3 sekundy.	{0} sekundy	Naměřili jsme 0,1 sekundy.	{0} sekund	Naměřili jsme 5 sekund.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	genitive	{0} sekundy	Bez 1 sekundy se obejdeme.	{0} sekund	Bez 3 sekund se obejdeme.	{0} sekundy	Bez 0,1 sekundy se obejdeme.	{0} sekund	Bez 5 sekund se obejdeme.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	locative	{0} sekundě	Po 1 sekundě se zastavil.	{0} sekundách	Po 3 sekundách se zastavil.	{0} sekundy	Po 0,1 sekundy se zastavil.	{0} sekundách	Po 5 sekundách se zastavil.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	dative	{0} sekundě	Díky 1 sekundě navíc to mohl stihnout.	{0} sekundám	Díky 3 sekundám navíc to mohl stihnout.	{0} sekundy	Díky 0,1 sekundy navíc to mohl stihnout.	{0} sekundám	Díky 5 sekundám navíc to mohl stihnout.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	instrumental	{0} sekundou	Spokojíme se s 1 sekundou.	{0} sekundami	Spokojíme se s 3 sekundami.	{0} sekundy	Spokojíme se s 0,1 sekundy.	{0} sekundami	Spokojíme se s 5 sekundami.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	nominative	{0} minuta	Chybí ještě 1 minuta.	{0} minuty	Chybí ještě 3 minuty.	{0} minuty	Chybí ještě 0,1 minuty.	{0} minut	Chybí ještě 5 minut.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	accusative	{0} minutu	Naměřili jsme 1 minutu.	{0} minuty	Naměřili jsme 3 minuty.	{0} minuty	Naměřili jsme 0,1 minuty.	{0} minut	Naměřili jsme 5 minut.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	genitive	{0} minuty	Bez 1 minuty se obejdeme.	{0} minut	Bez 3 minut se obejdeme.	{0} minuty	Bez 0,1 minuty se obejdeme.	{0} minut	Bez 5 minut se obejdeme.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	locative	{0} minutě	Po 1 minutě se zastavil.	{0} minutách	Po 3 minutách se zastavil.	{0} minuty	Po 0,1 minuty se zastavil.	{0} minutách	Po 5 minutách se zastavil.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	dative	{0} minutě	Díky 1 minutě navíc to mohl stihnout.	{0} minutám	Díky 3 minutám navíc to mohl stihnout.	{0} minuty	Díky 0,1 minuty navíc to mohl stihnout.	{0} minutám	Díky 5 minutám navíc to mohl stihnout.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	instrumental	{0} minutou	Spokojíme se s 1 minutou.	{0} minutami	Spokojíme se s 3 minutami.	{0} minuty	Spokojíme se s 0,1 minuty.	{0} minutami	Spokojíme se s 5 minutami.
duration	hour • ( = 3,600 sec)	feminine	Jedna hodina stála 135 Kč.	nominative	{0} hodina	Chybí ještě 1 hodina.	{0} hodiny	Chybí ještě 3 hodiny.	{0} hodiny	Chybí ještě 0,1 hodiny.	{0} hodin	Chybí ještě 5 hodin.
duration	hour • ( = 3,600 sec)	feminine	Jedna hodina stála 135 Kč.	accusative	{0} hodinu	Naměřili jsme 1 hodinu.	{0} hodiny	Naměřili jsme 3 hodiny.	{0} hodiny	Naměřili jsme 0,1 hodiny.	{0} hodin	Naměřili jsme 5 hodin.
duration	hour • ( = 3,600 sec)	feminine	Jedna hodina stála 135 Kč.	genitive	{0} hodiny	Bez 1 hodiny se obejdeme.	{0} hodin	Bez 3 hodin se obejdeme.	{0} hodiny	Bez 0,1 hodiny se obejdeme.	{0} hodin	Bez 5 hodin se obejdeme.
duration	hour • ( = 3,600 sec)	feminine	Jedna hodina stála 135 Kč.	locative	{0} hodině	Po 1 hodině se zastavil.	{0} hodinách	Po 3 hodinách se zastavil.	{0} hodiny	Po 0,1 hodiny se zastavil.	{0} hodinách	Po 5 hodinách se zastavil.
duration	hour • ( = 3,600 sec)	feminine	Jedna hodina stála 135 Kč.	dative	{0} hodině	Díky 1 hodině navíc to mohl stihnout.	{0} hodinám	Díky 3 hodinám navíc to mohl stihnout.	{0} hodiny	Díky 0,1 hodiny navíc to mohl stihnout.	{0} hodinám	Díky 5 hodinám navíc to mohl stihnout.
duration	hour • ( = 3,600 sec)	feminine	Jedna hodina stála 135 Kč.	instrumental	{0} hodinou	Spokojíme se s 1 hodinou.	{0} hodinami	Spokojíme se s 3 hodinami.	{0} hodiny	Spokojíme se s 0,1 hodiny.	{0} hodinami	Spokojíme se s 5 hodinami.
duration	day • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	nominative	{0} den	Chybí ještě 1 den.	{0} dny	Chybí ještě 3 dny.	{0} dne	Chybí ještě 0,1 dne.	{0} dnů	Chybí ještě 5 dnů.
duration	day • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	accusative	{0} den	Naměřili jsme 1 den.	{0} dny	Naměřili jsme 3 dny.	{0} dne	Naměřili jsme 0,1 dne.	{0} dnů	Naměřili jsme 5 dnů.
duration	day • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	genitive	{0} dne	Bez 1 dne se obejdeme.	{0} dnů	Bez 3 dnů se obejdeme.	{0} dne	Bez 0,1 dne se obejdeme.	{0} dnů	Bez 5 dnů se obejdeme.
duration	day • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	locative	{0} dnu	Po 1 dnu se zastavil.	{0} dnech	Po 3 dnech se zastavil.	{0} dne	Po 0,1 dne se zastavil.	{0} dnech	Po 5 dnech se zastavil.
duration	day • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	dative	{0} dni	Díky 1 dni navíc to mohl stihnout.	{0} dnům	Díky 3 dnům navíc to mohl stihnout.	{0} dne	Díky 0,1 dne navíc to mohl stihnout.	{0} dnům	Díky 5 dnům navíc to mohl stihnout.
duration	day • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	instrumental	{0} dnem	Spokojíme se s 1 dnem.	{0} dny	Spokojíme se s 3 dny.	{0} dne	Spokojíme se s 0,1 dne.	{0} dny	Spokojíme se s 5 dny.
duration	day-person • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	nominative	{0} den	Chybí ještě 1 den.	{0} dny	Chybí ještě 3 dny.	{0} dne	Chybí ještě 0,1 dne.	{0} dnů	Chybí ještě 5 dnů.
duration	day-person • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	accusative	{0} den	Naměřili jsme 1 den.	{0} dny	Naměřili jsme 3 dny.	{0} dne	Naměřili jsme 0,1 dne.	{0} dnů	Naměřili jsme 5 dnů.
duration	day-person • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	genitive	{0} dne	Bez 1 dne se obejdeme.	{0} dnů	Bez 3 dnů se obejdeme.	{0} dne	Bez 0,1 dne se obejdeme.	{0} dnů	Bez 5 dnů se obejdeme.
duration	day-person • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	locative	{0} den	Po 1 den se zastavil.	{0} dny	Po 3 dny se zastavil.	{0} dne	Po 0,1 dne se zastavil.	{0} dnů	Po 5 dnů se zastavil.
duration	day-person • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	dative	{0} den	Díky 1 den navíc to mohl stihnout.	{0} dny	Díky 3 dny navíc to mohl stihnout.	{0} dne	Díky 0,1 dne navíc to mohl stihnout.	{0} dnů	Díky 5 dnů navíc to mohl stihnout.
duration	day-person • ( = 86,400 sec)	inanimate	Jeden den stál 135 Kč.	instrumental	{0} dnem	Spokojíme se s 1 dnem.	{0} dny	Spokojíme se s 3 dny.	{0} dne	Spokojíme se s 0,1 dne.	{0} dny	Spokojíme se s 5 dny.
duration	week • ( = 604,800 sec)	inanimate	Jeden týden stál 135 Kč.	nominative	{0} týden	Chybí ještě 1 týden.	{0} týdny	Chybí ještě 3 týdny.	{0} týdne	Chybí ještě 0,1 týdne.	{0} týdnů	Chybí ještě 5 týdnů.
duration	week • ( = 604,800 sec)	inanimate	Jeden týden stál 135 Kč.	accusative	{0} týden	Naměřili jsme 1 týden.	{0} týdny	Naměřili jsme 3 týdny.	{0} týdne	Naměřili jsme 0,1 týdne.	{0} týdnů	Naměřili jsme 5 týdnů.
duration	week • ( = 604,800 sec)	inanimate	Jeden týden stál 135 Kč.	genitive	{0} týdne	Bez 1 týdne se obejdeme.	{0} týdnů	Bez 3 týdnů se obejdeme.	{0} týdne	Bez 0,1 týdne se obejdeme.	{0} týdnů	Bez 5 týdnů se obejdeme.
duration	week • ( = 604,800 sec)	inanimate	Jeden týden stál 135 Kč.	locative	{0} týdnu	Po 1 týdnu se zastavil.	{0} týdnech	Po 3 týdnech se zastavil.	{0} týdne	Po 0,1 týdne se zastavil.	{0} týdnech	Po 5 týdnech se zastavil.
duration	week • ( = 604,800 sec)	inanimate	Jeden týden stál 135 Kč.	dative	{0} týdnu	Díky 1 týdnu navíc to mohl stihnout.	{0} týdnům	Díky 3 týdnům navíc to mohl stihnout.	{0} týdne	Díky 0,1 týdne navíc to mohl stihnout.	{0} týdnům	Díky 5 týdnům navíc to mohl stihnout.
duration	week • ( = 604,800 sec)	inanimate	Jeden týden stál 135 Kč.	instrumental	{0} týdnem	Spokojíme se s 1 týdnem.	{0} týdny	Spokojíme se s 3 týdny.	{0} týdne	Spokojíme se s 0,1 týdne.	{0} týdny	Spokojíme se s 5 týdny.
electric-current	milliamperes	inanimate	Jeden miliampér stál 135 Kč.	nominative	{0} miliampér	Chybí ještě 1 miliampér.	{0} miliampéry	Chybí ještě 3 miliampéry.	{0} miliampéru	Chybí ještě 0,1 miliampéru.	{0} miliampérů	Chybí ještě 5 miliampérů.
electric-current	milliamperes	inanimate	Jeden miliampér stál 135 Kč.	accusative	{0} miliampér	Naměřili jsme 1 miliampér.	{0} miliampéry	Naměřili jsme 3 miliampéry.	{0} miliampéru	Naměřili jsme 0,1 miliampéru.	{0} miliampérů	Naměřili jsme 5 miliampérů.
electric-current	milliamperes	inanimate	Jeden miliampér stál 135 Kč.	genitive	{0} miliampéru	Bez 1 miliampéru se obejdeme.	{0} miliampérů	Bez 3 miliampérů se obejdeme.	{0} miliampéru	Bez 0,1 miliampéru se obejdeme.	{0} miliampérů	Bez 5 miliampérů se obejdeme.
electric-current	milliamperes	inanimate	Jeden miliampér stál 135 Kč.	locative	{0} miliampéru	Po 1 miliampéru se zastavil.	{0} miliampérech	Po 3 miliampérech se zastavil.	{0} miliampéru	Po 0,1 miliampéru se zastavil.	{0} miliampérech	Po 5 miliampérech se zastavil.
electric-current	milliamperes	inanimate	Jeden miliampér stál 135 Kč.	dative	{0} miliampéru	Díky 1 miliampéru navíc to mohl stihnout.	{0} miliampérům	Díky 3 miliampérům navíc to mohl stihnout.	{0} miliampéru	Díky 0,1 miliampéru navíc to mohl stihnout.	{0} miliampérům	Díky 5 miliampérům navíc to mohl stihnout.
electric-current	milliamperes	inanimate	Jeden miliampér stál 135 Kč.	instrumental	{0} miliampérem	Spokojíme se s 1 miliampérem.	{0} miliampéry	Spokojíme se s 3 miliampéry.	{0} miliampéru	Spokojíme se s 0,1 miliampéru.	{0} miliampéry	Spokojíme se s 5 miliampéry.
electric-current	amperes	inanimate	Jeden ampér stál 135 Kč.	nominative	{0} ampér	Chybí ještě 1 ampér.	{0} ampéry	Chybí ještě 3 ampéry.	{0} ampéru	Chybí ještě 0,1 ampéru.	{0} ampérů	Chybí ještě 5 ampérů.
electric-current	amperes	inanimate	Jeden ampér stál 135 Kč.	accusative	{0} ampér	Naměřili jsme 1 ampér.	{0} ampéry	Naměřili jsme 3 ampéry.	{0} ampéru	Naměřili jsme 0,1 ampéru.	{0} ampérů	Naměřili jsme 5 ampérů.
electric-current	amperes	inanimate	Jeden ampér stál 135 Kč.	genitive	{0} ampéru	Bez 1 ampéru se obejdeme.	{0} ampérů	Bez 3 ampérů se obejdeme.	{0} ampéru	Bez 0,1 ampéru se obejdeme.	{0} ampérů	Bez 5 ampérů se obejdeme.
electric-current	amperes	inanimate	Jeden ampér stál 135 Kč.	locative	{0} ampéru	Po 1 ampéru se zastavil.	{0} ampérech	Po 3 ampérech se zastavil.	{0} ampéru	Po 0,1 ampéru se zastavil.	{0} ampérech	Po 5 ampérech se zastavil.
electric-current	amperes	inanimate	Jeden ampér stál 135 Kč.	dative	{0} ampéru	Díky 1 ampéru navíc to mohl stihnout.	{0} ampérům	Díky 3 ampérům navíc to mohl stihnout.	{0} ampéru	Díky 0,1 ampéru navíc to mohl stihnout.	{0} ampérům	Díky 5 ampérům navíc to mohl stihnout.
electric-current	amperes	inanimate	Jeden ampér stál 135 Kč.	instrumental	{0} ampérem	Spokojíme se s 1 ampérem.	{0} ampéry	Spokojíme se s 3 ampéry.	{0} ampéru	Spokojíme se s 0,1 ampéru.	{0} ampéry	Spokojíme se s 5 ampéry.
electric-resistance	ohms	inanimate	Jeden ohm stál 135 Kč.	nominative	{0} ohm	Chybí ještě 1 ohm.	{0} ohmy	Chybí ještě 3 ohmy.	{0} ohmu	Chybí ještě 0,1 ohmu.	{0} ohmů	Chybí ještě 5 ohmů.
electric-resistance	ohms	inanimate	Jeden ohm stál 135 Kč.	accusative	{0} ohm	Naměřili jsme 1 ohm.	{0} ohmy	Naměřili jsme 3 ohmy.	{0} ohmu	Naměřili jsme 0,1 ohmu.	{0} ohmů	Naměřili jsme 5 ohmů.
electric-resistance	ohms	inanimate	Jeden ohm stál 135 Kč.	genitive	{0} ohmu	Bez 1 ohmu se obejdeme.	{0} ohmů	Bez 3 ohmů se obejdeme.	{0} ohmu	Bez 0,1 ohmu se obejdeme.	{0} ohmů	Bez 5 ohmů se obejdeme.
electric-resistance	ohms	inanimate	Jeden ohm stál 135 Kč.	locative	{0} ohmu	Po 1 ohmu se zastavil.	{0} ohmech	Po 3 ohmech se zastavil.	{0} ohmu	Po 0,1 ohmu se zastavil.	{0} ohmech	Po 5 ohmech se zastavil.
electric-resistance	ohms	inanimate	Jeden ohm stál 135 Kč.	dative	{0} ohmu	Díky 1 ohmu navíc to mohl stihnout.	{0} ohmům	Díky 3 ohmům navíc to mohl stihnout.	{0} ohmu	Díky 0,1 ohmu navíc to mohl stihnout.	{0} ohmům	Díky 5 ohmům navíc to mohl stihnout.
electric-resistance	ohms	inanimate	Jeden ohm stál 135 Kč.	instrumental	{0} ohmem	Spokojíme se s 1 ohmem.	{0} ohmy	Spokojíme se s 3 ohmy.	{0} ohmu	Spokojíme se s 0,1 ohmu.	{0} ohmy	Spokojíme se s 5 ohmy.
energy	joules	inanimate	Jeden joule stál 135 Kč.	nominative	{0} joule	Chybí ještě 1 joule.	{0} jouly	Chybí ještě 3 jouly.	{0} joulu	Chybí ještě 0,1 joulu.	{0} joulů	Chybí ještě 5 joulů.
energy	joules	inanimate	Jeden joule stál 135 Kč.	accusative	{0} joule	Naměřili jsme 1 joule.	{0} jouly	Naměřili jsme 3 jouly.	{0} joulu	Naměřili jsme 0,1 joulu.	{0} joulů	Naměřili jsme 5 joulů.
energy	joules	inanimate	Jeden joule stál 135 Kč.	genitive	{0} joulu	Bez 1 joulu se obejdeme.	{0} joulů	Bez 3 joulů se obejdeme.	{0} joulu	Bez 0,1 joulu se obejdeme.	{0} joulů	Bez 5 joulů se obejdeme.
energy	joules	inanimate	Jeden joule stál 135 Kč.	locative	{0} joulu	Po 1 joulu se zastavil.	{0} joulech	Po 3 joulech se zastavil.	{0} joulu	Po 0,1 joulu se zastavil.	{0} joulech	Po 5 joulech se zastavil.
energy	joules	inanimate	Jeden joule stál 135 Kč.	dative	{0} joulu	Díky 1 joulu navíc to mohl stihnout.	{0} joulům	Díky 3 joulům navíc to mohl stihnout.	{0} joulu	Díky 0,1 joulu navíc to mohl stihnout.	{0} joulům	Díky 5 joulům navíc to mohl stihnout.
energy	joules	inanimate	Jeden joule stál 135 Kč.	instrumental	{0} joulem	Spokojíme se s 1 joulem.	{0} jouly	Spokojíme se s 3 jouly.	{0} joulu	Spokojíme se s 0,1 joulu.	{0} jouly	Spokojíme se s 5 jouly.
energy	newton-meter • ( = 1 J)	inanimate	Jeden newtonmetr stál 135 Kč.	nominative	{0} newtonmetr	Chybí ještě 1 newtonmetr.	{0} newtonmetry	Chybí ještě 3 newtonmetry.	{0} newtonmetru	Chybí ještě 0,1 newtonmetru.	{0} newtonmetrů	Chybí ještě 5 newtonmetrů.
energy	newton-meter • ( = 1 J)	inanimate	Jeden newtonmetr stál 135 Kč.	accusative	{0} newtonmetr	Naměřili jsme 1 newtonmetr.	{0} newtonmetry	Naměřili jsme 3 newtonmetry.	{0} newtonmetru	Naměřili jsme 0,1 newtonmetru.	{0} newtonmetrů	Naměřili jsme 5 newtonmetrů.
energy	newton-meter • ( = 1 J)	inanimate	Jeden newtonmetr stál 135 Kč.	genitive	{0} newtonmetru	Bez 1 newtonmetru se obejdeme.	{0} newtonmetrů	Bez 3 newtonmetrů se obejdeme.	{0} newtonmetru	Bez 0,1 newtonmetru se obejdeme.	{0} newtonmetrů	Bez 5 newtonmetrů se obejdeme.
energy	newton-meter • ( = 1 J)	inanimate	Jeden newtonmetr stál 135 Kč.	locative	{0} newtonmetru	Po 1 newtonmetru se zastavil.	{0} newtonmetrech	Po 3 newtonmetrech se zastavil.	{0} newtonmetru	Po 0,1 newtonmetru se zastavil.	{0} newtonmetrech	Po 5 newtonmetrech se zastavil.
energy	newton-meter • ( = 1 J)	inanimate	Jeden newtonmetr stál 135 Kč.	dative	{0} newtonmetru	Díky 1 newtonmetru navíc to mohl stihnout.	{0} newtonmetrům	Díky 3 newtonmetrům navíc to mohl stihnout.	{0} newtonmetru	Díky 0,1 newtonmetru navíc to mohl stihnout.	{0} newtonmetrům	Díky 5 newtonmetrům navíc to mohl stihnout.
energy	newton-meter • ( = 1 J)	inanimate	Jeden newtonmetr stál 135 Kč.	instrumental	{0} newtonmetrem	Spokojíme se s 1 newtonmetrem.	{0} newtonmetry	Spokojíme se s 3 newtonmetry.	{0} newtonmetru	Spokojíme se s 0,1 newtonmetru.	{0} newtonmetry	Spokojíme se s 5 newtonmetry.
energy	calorie • ( = 4.184 J)	feminine	Jedna kalorie stála 135 Kč.	nominative	{0} kalorie	Chybí ještě 1 kalorie.	{0} kalorie	Chybí ještě 3 kalorie.	{0} kalorie	Chybí ještě 0,1 kalorie.	{0} kalorií	Chybí ještě 5 kalorií.
energy	calorie • ( = 4.184 J)	feminine	Jedna kalorie stála 135 Kč.	accusative	{0} kalorii	Naměřili jsme 1 kalorii.	{0} kalorie	Naměřili jsme 3 kalorie.	{0} kalorie	Naměřili jsme 0,1 kalorie.	{0} kalorií	Naměřili jsme 5 kalorií.
energy	calorie • ( = 4.184 J)	feminine	Jedna kalorie stála 135 Kč.	genitive	{0} kalorie	Bez 1 kalorie se obejdeme.	{0} kalorií	Bez 3 kalorií se obejdeme.	{0} kalorie	Bez 0,1 kalorie se obejdeme.	{0} kalorií	Bez 5 kalorií se obejdeme.
energy	calorie • ( = 4.184 J)	feminine	Jedna kalorie stála 135 Kč.	locative	{0} kalorii	Po 1 kalorii se zastavil.	{0} kaloriích	Po 3 kaloriích se zastavil.	{0} kalorie	Po 0,1 kalorie se zastavil.	{0} kaloriích	Po 5 kaloriích se zastavil.
energy	calorie • ( = 4.184 J)	feminine	Jedna kalorie stála 135 Kč.	dative	{0} kalorii	Díky 1 kalorii navíc to mohl stihnout.	{0} kaloriím	Díky 3 kaloriím navíc to mohl stihnout.	{0} kalorie	Díky 0,1 kalorie navíc to mohl stihnout.	{0} kaloriím	Díky 5 kaloriím navíc to mohl stihnout.
energy	calorie • ( = 4.184 J)	feminine	Jedna kalorie stála 135 Kč.	instrumental	{0} kalorií	Spokojíme se s 1 kalorií.	{0} kaloriemi	Spokojíme se s 3 kaloriemi.	{0} kalorie	Spokojíme se s 0,1 kalorie.	{0} kaloriemi	Spokojíme se s 5 kaloriemi.
energy	kilojoules	inanimate	Jeden kilojoule stál 135 Kč.	nominative	{0} kilojoule	Chybí ještě 1 kilojoule.	{0} kilojouly	Chybí ještě 3 kilojouly.	{0} kilojoulu	Chybí ještě 0,1 kilojoulu.	{0} kilojoulů	Chybí ještě 5 kilojoulů.
energy	kilojoules	inanimate	Jeden kilojoule stál 135 Kč.	accusative	{0} kilojoule	Naměřili jsme 1 kilojoule.	{0} kilojouly	Naměřili jsme 3 kilojouly.	{0} kilojoulu	Naměřili jsme 0,1 kilojoulu.	{0} kilojoulů	Naměřili jsme 5 kilojoulů.
energy	kilojoules	inanimate	Jeden kilojoule stál 135 Kč.	genitive	{0} kilojoulu	Bez 1 kilojoulu se obejdeme.	{0} kilojoulů	Bez 3 kilojoulů se obejdeme.	{0} kilojoulu	Bez 0,1 kilojoulu se obejdeme.	{0} kilojoulů	Bez 5 kilojoulů se obejdeme.
energy	kilojoules	inanimate	Jeden kilojoule stál 135 Kč.	locative	{0} kilojoulu	Po 1 kilojoulu se zastavil.	{0} kilojoulech	Po 3 kilojoulech se zastavil.	{0} kilojoulu	Po 0,1 kilojoulu se zastavil.	{0} kilojoulech	Po 5 kilojoulech se zastavil.
energy	kilojoules	inanimate	Jeden kilojoule stál 135 Kč.	dative	{0} kilojoulu	Díky 1 kilojoulu navíc to mohl stihnout.	{0} kilojoulům	Díky 3 kilojoulům navíc to mohl stihnout.	{0} kilojoulu	Díky 0,1 kilojoulu navíc to mohl stihnout.	{0} kilojoulům	Díky 5 kilojoulům navíc to mohl stihnout.
energy	kilojoules	inanimate	Jeden kilojoule stál 135 Kč.	instrumental	{0} kilojoulem	Spokojíme se s 1 kilojoulem.	{0} kilojouly	Spokojíme se s 3 kilojouly.	{0} kilojoulu	Spokojíme se s 0,1 kilojoulu.	{0} kilojouly	Spokojíme se s 5 kilojouly.
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	Jedna kilowatthodina stála 135 Kč.	nominative	{0} kilowatthodina	Chybí ještě 1 kilowatthodina.	{0} kilowatthodiny	Chybí ještě 3 kilowatthodiny.	{0} kilowatthodiny	Chybí ještě 0,1 kilowatthodiny.	{0} kilowatthodin	Chybí ještě 5 kilowatthodin.
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	feminine	Jedna kilowatthodina stála 135 Kč.	accusative	{0} kilowatthodinu	Naměřili jsme 1 kilowatthodinu.	{0} kilowatthodiny	Naměřili jsme 3 kilowatthodiny.	{0} kilowatthodiny	Naměřili jsme 0,1 kilowatthodiny.	{0} kilowatthodin	Naměřili jsme 5 kilowatthodin.
