# Grammatical Features
#Locale	ID	Feature	Usage	Values
Punjabi	pa	grammaticalCase	general	nominative, oblique
Punjabi	pa	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} ਘੰਟਾ	<div class='cldr_example'><span class='cldr_substituted'>1</span> ਘੰਟਾ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ਘੰਟਾ</div>
Plural	other	{0} ਘੰਟੇ	<div class='cldr_example'><span class='cldr_substituted'>2</span> ਘੰਟੇ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ਘੰਟੇ</div>
Case (for measurement units)	nominative	ਅਧਿਆਪਕ ਨੇ {0} ਪੜ੍ਹਾਇਆ	<div class='cldr_example'>ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>1 ਘੰਟਾ</span> ਪੜ੍ਹਾਇਆ</div><div class='cldr_example'>❌  ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>2 ਘੰਟਿਆਂ</span> ਪੜ੍ਹਾਇਆ</div>
Case (for measurement units)	oblique	ਅਧਿਆਪਕ ਨੇ {0} ਤੱਕ ਪੜ੍ਹਾਇਆ	<div class='cldr_example'>ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>2 ਘੰਟਿਆਂ</span> ਤੱਕ ਪੜ੍ਹਾਇਆ</div><div class='cldr_example'>❌  ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>1 ਘੰਟਾ</span> ਤੱਕ ਪੜ੍ਹਾਇਆ</div>
Gender (for measurement units)	masculine	ਇਹ ਕਿੰਨੇ {0} ਦਾ ਹੈ	<div class='cldr_example'>ਇਹ ਕਿੰਨੇ <span class='cldr_substituted'>ਦਿਨ</span> ਦਾ ਹੈ</div><div class='cldr_example'>❌  ਇਹ ਕਿੰਨੇ <span class='cldr_substituted'>ਵਾਟ</span> ਦਾ ਹੈ</div>
Gender (for measurement units)	feminine	ਇਹ ਕਿੰਨੀ {0} ਦਾ ਹੈ	<div class='cldr_example'>ਇਹ ਕਿੰਨੀ <span class='cldr_substituted'>ਵਾਟ</span> ਦਾ ਹੈ</div><div class='cldr_example'>❌  ਇਹ ਕਿੰਨੀ <span class='cldr_substituted'>ਦਿਨ</span> ਦਾ ਹੈ</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
digital	bits	feminine	ਇਹ ਕਿੰਨੀ ਬਿਟ ਦਾ ਹੈ	oblique	{0} ਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	byte • ( = 8 bit)	feminine	ਇਹ ਕਿੰਨੀ ਬਾਇਟ ਦਾ ਹੈ	nominative	{0} ਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਬਾਇਟ ਪੜ੍ਹਾਇਆ	{0} ਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਬਾਇਟ ਪੜ੍ਹਾਇਆ
digital	byte • ( = 8 bit)	feminine	ਇਹ ਕਿੰਨੀ ਬਾਇਟ ਦਾ ਹੈ	oblique	{0} ਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	kilobits	feminine	ਇਹ ਕਿੰਨੀ ਕਿਲੋਬਿਟ ਦਾ ਹੈ	nominative	{0} ਕਿਲੋਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਕਿਲੋਬਿਟ ਪੜ੍ਹਾਇਆ	{0} ਕਿਲੋਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਕਿਲੋਬਿਟ ਪੜ੍ਹਾਇਆ
digital	kilobits	feminine	ਇਹ ਕਿੰਨੀ ਕਿਲੋਬਿਟ ਦਾ ਹੈ	oblique	{0} ਕਿਲੋਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਕਿਲੋਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਕਿਲੋਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਕਿਲੋਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	kilobyte • ( = 8 kb)	feminine	ਇਹ ਕਿੰਨੀ ਕਿਲੋਬਾਇਟ ਦਾ ਹੈ	nominative	{0} ਕਿਲੋਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਕਿਲੋਬਾਇਟ ਪੜ੍ਹਾਇਆ	{0} ਕਿਲੋਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਕਿਲੋਬਾਇਟ ਪੜ੍ਹਾਇਆ
digital	kilobyte • ( = 8 kb)	feminine	ਇਹ ਕਿੰਨੀ ਕਿਲੋਬਾਇਟ ਦਾ ਹੈ	oblique	{0} ਕਿਲੋਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਕਿਲੋਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਕਿਲੋਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਕਿਲੋਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	megabits	feminine	ਇਹ ਕਿੰਨੀ ਮੈਗਾਬਿਟ ਦਾ ਹੈ	nominative	{0} ਮੈਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮੈਗਾਬਿਟ ਪੜ੍ਹਾਇਆ	{0} ਮੈਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮੈਗਾਬਿਟ ਪੜ੍ਹਾਇਆ
digital	megabits	feminine	ਇਹ ਕਿੰਨੀ ਮੈਗਾਬਿਟ ਦਾ ਹੈ	oblique	{0} ਮੈਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮੈਗਾਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮੈਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮੈਗਾਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	megabyte • ( = 8 Mb)	feminine	ਇਹ ਕਿੰਨੀ ਮੈਗਾਬਾਇਟ ਦਾ ਹੈ	nominative	{0} ਮੈਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮੈਗਾਬਾਇਟ ਪੜ੍ਹਾਇਆ	{0} ਮੈਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮੈਗਾਬਾਇਟ ਪੜ੍ਹਾਇਆ
digital	megabyte • ( = 8 Mb)	feminine	ਇਹ ਕਿੰਨੀ ਮੈਗਾਬਾਇਟ ਦਾ ਹੈ	oblique	{0} ਮੈਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮੈਗਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮੈਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮੈਗਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	gigabits	feminine	ਇਹ ਕਿੰਨੀ ਗੀਗਾਬਿਟ ਦਾ ਹੈ	nominative	{0} ਗੀਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਗੀਗਾਬਿਟ ਪੜ੍ਹਾਇਆ	{0} ਗੀਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਗੀਗਾਬਿਟ ਪੜ੍ਹਾਇਆ
digital	gigabits	feminine	ਇਹ ਕਿੰਨੀ ਗੀਗਾਬਿਟ ਦਾ ਹੈ	oblique	{0} ਗੀਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਗੀਗਾਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਗੀਗਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਗੀਗਾਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	gigabyte • ( = 8 Gb)	feminine	ਇਹ ਕਿੰਨੀ ਗੀਗਾਬਾਇਟ ਦਾ ਹੈ	nominative	{0} ਗੀਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਗੀਗਾਬਾਇਟ ਪੜ੍ਹਾਇਆ	{0} ਗੀਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਗੀਗਾਬਾਇਟ ਪੜ੍ਹਾਇਆ
digital	gigabyte • ( = 8 Gb)	feminine	ਇਹ ਕਿੰਨੀ ਗੀਗਾਬਾਇਟ ਦਾ ਹੈ	oblique	{0} ਗੀਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਗੀਗਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਗੀਗਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਗੀਗਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	terabits	feminine	ਇਹ ਕਿੰਨੀ ਟੇਰਾਬਿਟ ਦਾ ਹੈ	nominative	{0} ਟੇਰਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਟੇਰਾਬਿਟ ਪੜ੍ਹਾਇਆ	{0} ਟੇਰਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਟੇਰਾਬਿਟ ਪੜ੍ਹਾਇਆ
digital	terabits	feminine	ਇਹ ਕਿੰਨੀ ਟੇਰਾਬਿਟ ਦਾ ਹੈ	oblique	{0} ਟੇਰਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਟੇਰਾਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਟੇਰਾਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਟੇਰਾਬਿਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	terabyte • ( = 8 Tb)	feminine	ਇਹ ਕਿੰਨੀ ਟੈਰਾਬਾਇਟ ਦਾ ਹੈ	nominative	{0} ਟੈਰਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਟੈਰਾਬਾਇਟ ਪੜ੍ਹਾਇਆ	{0} ਟੈਰਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਟੈਰਾਬਾਇਟ ਪੜ੍ਹਾਇਆ
digital	terabyte • ( = 8 Tb)	feminine	ਇਹ ਕਿੰਨੀ ਟੈਰਾਬਾਇਟ ਦਾ ਹੈ	oblique	{0} ਟੈਰਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਟੈਰਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਟੈਰਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਟੈਰਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	petabyte • ( = 8000 Tb)	feminine	ਇਹ ਕਿੰਨੀ ਪੈਟਾਬਾਇਟ ਦਾ ਹੈ	nominative	{0} ਪੈਟਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਪੈਟਾਬਾਇਟ ਪੜ੍ਹਾਇਆ	{0} ਪੈਟਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਪੈਟਾਬਾਇਟ ਪੜ੍ਹਾਇਆ
digital	petabyte • ( = 8000 Tb)	feminine	ਇਹ ਕਿੰਨੀ ਪੈਟਾਬਾਇਟ ਦਾ ਹੈ	oblique	{0} ਪੈਟਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 1 ਪੈਟਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਪੈਟਾਬਾਇਟ	ਅਧਿਆਪਕ ਨੇ 3 ਪੈਟਾਬਾਇਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	nanoseconds	masculine	ਇਹ ਕਿੰਨੇ ਨੈਨੋਸਕਿੰਟ ਦਾ ਹੈ	nominative	{0} ਨੈਨੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਨੈਨੋਸਕਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਨੈਨੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਨੈਨੋਸਕਿੰਟ ਪੜ੍ਹਾਇਆ
duration	nanoseconds	masculine	ਇਹ ਕਿੰਨੇ ਨੈਨੋਸਕਿੰਟ ਦਾ ਹੈ	oblique	{0} ਨੈਨੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਨੈਨੋਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਨੈਨੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਨੈਨੋਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	microseconds	masculine	ਇਹ ਕਿੰਨੇ ਮਾਈਕਰੋਸਕਿੰਟ ਦਾ ਹੈ	nominative	{0} ਮਾਈਕਰੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮਾਈਕਰੋਸਕਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਮਾਈਕਰੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮਾਈਕਰੋਸਕਿੰਟ ਪੜ੍ਹਾਇਆ
duration	microseconds	masculine	ਇਹ ਕਿੰਨੇ ਮਾਈਕਰੋਸਕਿੰਟ ਦਾ ਹੈ	oblique	{0} ਮਾਈਕਰੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮਾਈਕਰੋਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮਾਈਕਰੋਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮਾਈਕਰੋਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	milliseconds	masculine	ਇਹ ਕਿੰਨੇ ਮਿਲੀਸਕਿੰਟ ਦਾ ਹੈ	nominative	{0} ਮਿਲੀਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿਲੀਸਕਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਮਿਲੀਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿਲੀਸਕਿੰਟ ਪੜ੍ਹਾਇਆ
duration	milliseconds	masculine	ਇਹ ਕਿੰਨੇ ਮਿਲੀਸਕਿੰਟ ਦਾ ਹੈ	oblique	{0} ਮਿਲੀਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿਲੀਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮਿਲੀਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿਲੀਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	seconds	masculine	ਇਹ ਕਿੰਨੇ ਸਕਿੰਟ ਦਾ ਹੈ	nominative	{0} ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਸਕਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਸਕਿੰਟ ਪੜ੍ਹਾਇਆ
duration	seconds	masculine	ਇਹ ਕਿੰਨੇ ਸਕਿੰਟ ਦਾ ਹੈ	oblique	{0} ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਸਕਿੰਟਾਂ	ਅਧਿਆਪਕ ਨੇ 3 ਸਕਿੰਟਾਂ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	minute • ( = 60 sec)	masculine	ਇਹ ਕਿੰਨੇ ਮਿੰਟ ਦਾ ਹੈ	nominative	{0} ਮਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਮਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿੰਟ ਪੜ੍ਹਾਇਆ
duration	minute • ( = 60 sec)	masculine	ਇਹ ਕਿੰਨੇ ਮਿੰਟ ਦਾ ਹੈ	oblique	{0} ਮਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮਿੰਟਾਂ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿੰਟਾਂ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	hour • ( = 3600 sec)	masculine	ਇਹ ਕਿੰਨੇ ਘੰਟਾ ਦਾ ਹੈ	nominative	{0} ਘੰਟਾ	ਅਧਿਆਪਕ ਨੇ 1 ਘੰਟਾ ਪੜ੍ਹਾਇਆ	{0} ਘੰਟੇ	ਅਧਿਆਪਕ ਨੇ 3 ਘੰਟੇ ਪੜ੍ਹਾਇਆ
duration	hour • ( = 3600 sec)	masculine	ਇਹ ਕਿੰਨੇ ਘੰਟਾ ਦਾ ਹੈ	oblique	{0} ਘੰਟੇ	ਅਧਿਆਪਕ ਨੇ 1 ਘੰਟੇ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਘੰਟਿਆਂ	ਅਧਿਆਪਕ ਨੇ 3 ਘੰਟਿਆਂ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	day • ( = 86400 sec)	masculine	ਇਹ ਕਿੰਨੇ ਦਿਨ ਦਾ ਹੈ	nominative	{0} ਦਿਨ	ਅਧਿਆਪਕ ਨੇ 1 ਦਿਨ ਪੜ੍ਹਾਇਆ	{0} ਦਿਨ	ਅਧਿਆਪਕ ਨੇ 3 ਦਿਨ ਪੜ੍ਹਾਇਆ
duration	day • ( = 86400 sec)	masculine	ਇਹ ਕਿੰਨੇ ਦਿਨ ਦਾ ਹੈ	oblique	{0} ਦਿਨ	ਅਧਿਆਪਕ ਨੇ 1 ਦਿਨ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਦਿਨ	ਅਧਿਆਪਕ ਨੇ 3 ਦਿਨ ਤੱਕ ਪੜ੍ਹਾਇਆ
duration	week • ( = 604800 sec)	masculine	ਇਹ ਕਿੰਨੇ ਹਫ਼ਤਾ ਦਾ ਹੈ	nominative	{0} ਹਫ਼ਤਾ	ਅਧਿਆਪਕ ਨੇ 1 ਹਫ਼ਤਾ ਪੜ੍ਹਾਇਆ	{0} ਹਫ਼ਤੇ	ਅਧਿਆਪਕ ਨੇ 3 ਹਫ਼ਤੇ ਪੜ੍ਹਾਇਆ
duration	week • ( = 604800 sec)	masculine	ਇਹ ਕਿੰਨੇ ਹਫ਼ਤਾ ਦਾ ਹੈ	oblique	{0} ਹਫ਼ਤੇ	ਅਧਿਆਪਕ ਨੇ 1 ਹਫ਼ਤੇ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਹਫ਼ਤਿਆਂ	ਅਧਿਆਪਕ ਨੇ 3 ਹਫ਼ਤਿਆਂ ਤੱਕ ਪੜ੍ਹਾਇਆ
electric-current	milliamperes	masculine	ਇਹ ਕਿੰਨੇ ਮਿਲੀਐਮਪੀਅਰ ਦਾ ਹੈ	nominative	{0} ਮਿਲੀਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿਲੀਐਮਪੀਅਰ ਪੜ੍ਹਾਇਆ	{0} ਮਿਲੀਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿਲੀਐਮਪੀਅਰ ਪੜ੍ਹਾਇਆ
electric-current	milliamperes	masculine	ਇਹ ਕਿੰਨੇ ਮਿਲੀਐਮਪੀਅਰ ਦਾ ਹੈ	oblique	{0} ਮਿਲੀਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿਲੀਐਮਪੀਅਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮਿਲੀਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿਲੀਐਮਪੀਅਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
electric-current	amperes	masculine	ਇਹ ਕਿੰਨੇ ਐਮਪੀਅਰ ਦਾ ਹੈ	nominative	{0} ਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 1 ਐਮਪੀਅਰ ਪੜ੍ਹਾਇਆ	{0} ਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 3 ਐਮਪੀਅਰ ਪੜ੍ਹਾਇਆ
electric-current	amperes	masculine	ਇਹ ਕਿੰਨੇ ਐਮਪੀਅਰ ਦਾ ਹੈ	oblique	{0} ਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 1 ਐਮਪੀਅਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਐਮਪੀਅਰ	ਅਧਿਆਪਕ ਨੇ 3 ਐਮਪੀਅਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
electric-resistance	ohms	masculine	ਇਹ ਕਿੰਨੇ ਓਹਮ ਦਾ ਹੈ	nominative	{0} ਓਹਮ	ਅਧਿਆਪਕ ਨੇ 1 ਓਹਮ ਪੜ੍ਹਾਇਆ	{0} ਓਹਮ	ਅਧਿਆਪਕ ਨੇ 3 ਓਹਮ ਪੜ੍ਹਾਇਆ
electric-resistance	ohms	masculine	ਇਹ ਕਿੰਨੇ ਓਹਮ ਦਾ ਹੈ	oblique	{0} ਓਹਮ	ਅਧਿਆਪਕ ਨੇ 1 ਓਹਮ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਓਹਮ	ਅਧਿਆਪਕ ਨੇ 3 ਓਹਮ ਤੱਕ ਪੜ੍ਹਾਇਆ
energy	joules	masculine	ਇਹ ਕਿੰਨੇ ਜੂਲ ਦਾ ਹੈ	nominative	{0} ਜੂਲ	ਅਧਿਆਪਕ ਨੇ 1 ਜੂਲ ਪੜ੍ਹਾਇਆ	{0} ਜੂਲ	ਅਧਿਆਪਕ ਨੇ 3 ਜੂਲ ਪੜ੍ਹਾਇਆ
energy	joules	masculine	ਇਹ ਕਿੰਨੇ ਜੂਲ ਦਾ ਹੈ	oblique	{0} ਜੂਲ	ਅਧਿਆਪਕ ਨੇ 1 ਜੂਲ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਜੂਲ	ਅਧਿਆਪਕ ਨੇ 3 ਜੂਲ ਤੱਕ ਪੜ੍ਹਾਇਆ
energy	newton-meter • ( = 1 J)	masculine	ਇਹ ਕਿੰਨੇ ਨਿਊਟਨ-ਮੀਟਰ ਦਾ ਹੈ	nominative	{0} ਨਿਊਟਨ-ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਨਿਊਟਨ-ਮੀਟਰ ਪੜ੍ਹਾਇਆ	{0} ਨਿਊਟਨ-ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਨਿਊਟਨ-ਮੀਟਰ ਪੜ੍ਹਾਇਆ
energy	newton-meter • ( = 1 J)	masculine	ਇਹ ਕਿੰਨੇ ਨਿਊਟਨ-ਮੀਟਰ ਦਾ ਹੈ	oblique	{0} ਨਿਊਟਨ-ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਨਿਊਟਨ-ਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਨਿਊਟਨ-ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਨਿਊਟਨ-ਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	nominative	{0} ਪੌਂਡ-ਬਲ-ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 1 ਪੌਂਡ-ਬਲ-ਫੁੱਟ ਪੜ੍ਹਾਇਆ	{0} ਪੌਂਡ-ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 3 ਪੌਂਡ-ਫੁੱਟ ਪੜ੍ਹਾਇਆ
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	oblique	{0} ਪੌਂਡ-ਬਲ-ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 1 ਪੌਂਡ-ਬਲ-ਫੁੱਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਪੌਂਡ-ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 3 ਪੌਂਡ-ਫੁੱਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
energy	calorie • ( = 4.184 J)	feminine	ਇਹ ਕਿੰਨੀ ਕੈਲੋਰੀ ਦਾ ਹੈ	nominative	{0} ਕੈਲੋਰੀ	ਅਧਿਆਪਕ ਨੇ 1 ਕੈਲੋਰੀ ਪੜ੍ਹਾਇਆ	{0} ਕੈਲੋਰੀਆਂ	ਅਧਿਆਪਕ ਨੇ 3 ਕੈਲੋਰੀਆਂ ਪੜ੍ਹਾਇਆ
energy	calorie • ( = 4.184 J)	feminine	ਇਹ ਕਿੰਨੀ ਕੈਲੋਰੀ ਦਾ ਹੈ	oblique	{0} ਕੈਲੋਰੀ	ਅਧਿਆਪਕ ਨੇ 1 ਕੈਲੋਰੀ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਕੈਲੋਰੀਆਂ	ਅਧਿਆਪਕ ਨੇ 3 ਕੈਲੋਰੀਆਂ ਤੱਕ ਪੜ੍ਹਾਇਆ
energy	kilojoules	masculine	ਇਹ ਕਿੰਨੇ ਕਿਲੋਜੂਲ ਦਾ ਹੈ	nominative	{0} ਕਿਲੋਜੂਲ	ਅਧਿਆਪਕ ਨੇ 1 ਕਿਲੋਜੂਲ ਪੜ੍ਹਾਇਆ	{0} ਕਿਲੋਜੂਲ	ਅਧਿਆਪਕ ਨੇ 3 ਕਿਲੋਜੂਲ ਪੜ੍ਹਾਇਆ
energy	kilojoules	masculine	ਇਹ ਕਿੰਨੇ ਕਿਲੋਜੂਲ ਦਾ ਹੈ	oblique	{0} ਕਿਲੋਜੂਲ	ਅਧਿਆਪਕ ਨੇ 1 ਕਿਲੋਜੂਲ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਕਿਲੋਜੂਲ	ਅਧਿਆਪਕ ਨੇ 3 ਕਿਲੋਜੂਲ ਤੱਕ ਪੜ੍ਹਾਇਆ
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	nominative	{0} ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ	ਅਧਿਆਪਕ ਨੇ 1 ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ ਪੜ੍ਹਾਇਆ	{0} ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ	ਅਧਿਆਪਕ ਨੇ 3 ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ ਪੜ੍ਹਾਇਆ
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	oblique	{0} ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ	ਅਧਿਆਪਕ ਨੇ 1 ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ	ਅਧਿਆਪਕ ਨੇ 3 ਬਰਤਾਨਵੀ ਤਾਪ ਇਕਾਈ ਤੱਕ ਪੜ੍ਹਾਇਆ
