# Grammatical Features
#Locale	ID	Feature	Usage	Values
Croatian	hr	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Croatian	hr	grammaticalCase	units	nominative, accusative, genitive, instrumental
Croatian	hr	grammaticalGender	general	animate, inanimate, feminine, neuter
Croatian	hr	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} sat	<div class='cldr_example'><span class='cldr_substituted'>1</span> sat</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sat</div>
Plural	few	{0} sata	<div class='cldr_example'><span class='cldr_substituted'>2</span> sata</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sata</div>
Plural	other	{0} sati	<div class='cldr_example'><span class='cldr_substituted'>5</span> sati</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> sati</div>
Case (for measurement units)	nominative	{0} je...	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je...</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 kvadratnog metra</span> je...</div>
Case (for measurement units)	accusative	Izmjerio je {0}	<div class='cldr_example'>Izmjerio je <span class='cldr_substituted'>2 kvadratna metra</span></div><div class='cldr_example'>❌  Izmjerio je <span class='cldr_substituted'>1 kvadratnog metra</span></div>
Case (for measurement units)	genitive	Mjerenje {0}	<div class='cldr_example'>Mjerenje <span class='cldr_substituted'>1 kvadratnog metra</span></div><div class='cldr_example'>❌  Mjerenje <span class='cldr_substituted'>2 kvadratna metra</span></div>
Case (for measurement units)	instrumental	Razgovara s {0}	<div class='cldr_example'>Razgovara s <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  Razgovara s <span class='cldr_substituted'>2 kvadratna metra</span></div>
Gender (for measurement units)	inanimate	Ovaj {0}...	<div class='cldr_example'>Ovaj <span class='cldr_substituted'>dan</span>...</div><div class='cldr_example'>❌  Ovaj <span class='cldr_substituted'>minuta</span>...</div>
Gender (for measurement units)	feminine	Ova {0}...	<div class='cldr_example'>Ova <span class='cldr_substituted'>minuta</span>...</div><div class='cldr_example'>❌  Ova <span class='cldr_substituted'>dan</span>...</div>
Gender (for measurement units)	neuter	Ovo {0}...	<div class='cldr_example'>Ovo <span class='cldr_substituted'>stoljeće</span>...</div><div class='cldr_example'>❌  Ovo <span class='cldr_substituted'>minuta</span>...</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for other	Case MP + pattern with 5.0
digital	kilobyte • ( = 8 kb)	inanimate	Ovaj kilobajt...	genitive	{0} kilobajta	Mjerenje 21 kilobajta	{0} kilobajta	Mjerenje 3 kilobajta	{0} kilobajta	Mjerenje 5 kilobajta
digital	kilobyte • ( = 8 kb)	inanimate	Ovaj kilobajt...	instrumental	{0} kilobajtom	Razgovara s 21 kilobajtom	{0} kilobajta	Razgovara s 3 kilobajta	{0} kilobajta	Razgovara s 5 kilobajta
digital	megabits	inanimate	Ovaj megabit...	nominative	{0} megabit	21 megabit je...	{0} megabita	3 megabita je...	{0} megabita	5 megabita je...
digital	megabits	inanimate	Ovaj megabit...	accusative	{0} megabit	Izmjerio je 21 megabit	{0} megabita	Izmjerio je 3 megabita	{0} megabita	Izmjerio je 5 megabita
digital	megabits	inanimate	Ovaj megabit...	genitive	{0} megabita	Mjerenje 21 megabita	{0} megabita	Mjerenje 3 megabita	{0} megabita	Mjerenje 5 megabita
digital	megabits	inanimate	Ovaj megabit...	instrumental	{0} megabitom	Razgovara s 21 megabitom	{0} megabita	Razgovara s 3 megabita	{0} megabita	Razgovara s 5 megabita
digital	megabyte • ( = 8 Mb)	inanimate	Ovaj megabajt...	nominative	{0} megabajt	21 megabajt je...	{0} megabajta	3 megabajta je...	{0} megabajta	5 megabajta je...
digital	megabyte • ( = 8 Mb)	inanimate	Ovaj megabajt...	accusative	{0} megabajt	Izmjerio je 21 megabajt	{0} megabajta	Izmjerio je 3 megabajta	{0} megabajta	Izmjerio je 5 megabajta
digital	megabyte • ( = 8 Mb)	inanimate	Ovaj megabajt...	genitive	{0} megabajta	Mjerenje 21 megabajta	{0} megabajta	Mjerenje 3 megabajta	{0} megabajta	Mjerenje 5 megabajta
digital	megabyte • ( = 8 Mb)	inanimate	Ovaj megabajt...	instrumental	{0} megabajtom	Razgovara s 21 megabajtom	{0} megabajta	Razgovara s 3 megabajta	{0} megabajta	Razgovara s 5 megabajta
digital	gigabits	inanimate	Ovaj gigabit...	nominative	{0} gigabit	21 gigabit je...	{0} gigabita	3 gigabita je...	{0} gigabita	5 gigabita je...
digital	gigabits	inanimate	Ovaj gigabit...	accusative	{0} gigabit	Izmjerio je 21 gigabit	{0} gigabita	Izmjerio je 3 gigabita	{0} gigabita	Izmjerio je 5 gigabita
digital	gigabits	inanimate	Ovaj gigabit...	genitive	{0} gigabita	Mjerenje 21 gigabita	{0} gigabita	Mjerenje 3 gigabita	{0} gigabita	Mjerenje 5 gigabita
digital	gigabits	inanimate	Ovaj gigabit...	instrumental	{0} gigabitom	Razgovara s 21 gigabitom	{0} gigabita	Razgovara s 3 gigabita	{0} gigabita	Razgovara s 5 gigabita
digital	gigabyte • ( = 8 Gb)	inanimate	Ovaj gigabajt...	nominative	{0} gigabajt	21 gigabajt je...	{0} gigabajta	3 gigabajta je...	{0} gigabajta	5 gigabajta je...
digital	gigabyte • ( = 8 Gb)	inanimate	Ovaj gigabajt...	accusative	{0} gigabajt	Izmjerio je 21 gigabajt	{0} gigabajta	Izmjerio je 3 gigabajta	{0} gigabajta	Izmjerio je 5 gigabajta
digital	gigabyte • ( = 8 Gb)	inanimate	Ovaj gigabajt...	genitive	{0} gigabajta	Mjerenje 21 gigabajta	{0} gigabajta	Mjerenje 3 gigabajta	{0} gigabajta	Mjerenje 5 gigabajta
digital	gigabyte • ( = 8 Gb)	inanimate	Ovaj gigabajt...	instrumental	{0} gigabajtom	Razgovara s 21 gigabajtom	{0} gigabajta	Razgovara s 3 gigabajta	{0} gigabajta	Razgovara s 5 gigabajta
digital	terabits	inanimate	Ovaj terabit...	nominative	{0} terabit	21 terabit je...	{0} terabita	3 terabita je...	{0} terabita	5 terabita je...
digital	terabits	inanimate	Ovaj terabit...	accusative	{0} terabit	Izmjerio je 21 terabit	{0} terabita	Izmjerio je 3 terabita	{0} terabita	Izmjerio je 5 terabita
digital	terabits	inanimate	Ovaj terabit...	genitive	{0} terabita	Mjerenje 21 terabita	{0} terabita	Mjerenje 3 terabita	{0} terabita	Mjerenje 5 terabita
digital	terabits	inanimate	Ovaj terabit...	instrumental	{0} terabitom	Razgovara s 21 terabitom	{0} terabita	Razgovara s 3 terabita	{0} terabita	Razgovara s 5 terabita
digital	terabyte • ( = 8 Tb)	inanimate	Ovaj terabajt...	nominative	{0} terabajt	21 terabajt je...	{0} terabajta	3 terabajta je...	{0} terabajta	5 terabajta je...
digital	terabyte • ( = 8 Tb)	inanimate	Ovaj terabajt...	accusative	{0} terabajt	Izmjerio je 21 terabajt	{0} terabajta	Izmjerio je 3 terabajta	{0} terabajta	Izmjerio je 5 terabajta
digital	terabyte • ( = 8 Tb)	inanimate	Ovaj terabajt...	genitive	{0} terabajta	Mjerenje 21 terabajta	{0} terabajta	Mjerenje 3 terabajta	{0} terabajta	Mjerenje 5 terabajta
digital	terabyte • ( = 8 Tb)	inanimate	Ovaj terabajt...	instrumental	{0} terabajtom	Razgovara s 21 terabajtom	{0} terabajta	Razgovara s 3 terabajta	{0} terabajta	Razgovara s 5 terabajta
digital	petabyte • ( = 8000 Tb)	inanimate	Ovaj petabajt...	nominative	{0} petabajt	21 petabajt je...	{0} petabajta	3 petabajta je...	{0} petabajta	5 petabajta je...
digital	petabyte • ( = 8000 Tb)	inanimate	Ovaj petabajt...	accusative	{0} petabajt	Izmjerio je 21 petabajt	{0} petabajta	Izmjerio je 3 petabajta	{0} petabajta	Izmjerio je 5 petabajta
digital	petabyte • ( = 8000 Tb)	inanimate	Ovaj petabajt...	genitive	{0} petabajta	Mjerenje 21 petabajta	{0} petabajta	Mjerenje 3 petabajta	{0} petabajta	Mjerenje 5 petabajta
digital	petabyte • ( = 8000 Tb)	inanimate	Ovaj petabajt...	instrumental	{0} petabajtom	Razgovara s 21 petabajtom	{0} petabajta	Razgovara s 3 petabajta	{0} petabajta	Razgovara s 5 petabajta
duration	nanoseconds	feminine	Ova nanosekunda...	nominative	{0} nanosekunda	21 nanosekunda je...	{0} nanosekunde	3 nanosekunde je...	{0} nanosekundi	5 nanosekundi je...
duration	nanoseconds	feminine	Ova nanosekunda...	accusative	{0} nanosekundu	Izmjerio je 21 nanosekundu	{0} nanosekunde	Izmjerio je 3 nanosekunde	{0} nanosekundi	Izmjerio je 5 nanosekundi
duration	nanoseconds	feminine	Ova nanosekunda...	genitive	{0} nanosekunde	Mjerenje 21 nanosekunde	{0} nanosekunde	Mjerenje 3 nanosekunde	{0} nanosekundi	Mjerenje 5 nanosekundi
duration	nanoseconds	feminine	Ova nanosekunda...	instrumental	{0} nanosekundom	Razgovara s 21 nanosekundom	{0} nanosekunde	Razgovara s 3 nanosekunde	{0} nanosekundi	Razgovara s 5 nanosekundi
duration	microseconds	feminine	Ova mikrosekunda...	nominative	{0} mikrosekunda	21 mikrosekunda je...	{0} mikrosekunde	3 mikrosekunde je...	{0} mikrosekundi	5 mikrosekundi je...
duration	microseconds	feminine	Ova mikrosekunda...	accusative	{0} mikrosekundu	Izmjerio je 21 mikrosekundu	{0} mikrosekunde	Izmjerio je 3 mikrosekunde	{0} mikrosekundi	Izmjerio je 5 mikrosekundi
duration	microseconds	feminine	Ova mikrosekunda...	genitive	{0} mikrosekunde	Mjerenje 21 mikrosekunde	{0} mikrosekunde	Mjerenje 3 mikrosekunde	{0} mikrosekundi	Mjerenje 5 mikrosekundi
duration	microseconds	feminine	Ova mikrosekunda...	instrumental	{0} mikrosekundom	Razgovara s 21 mikrosekundom	{0} mikrosekunde	Razgovara s 3 mikrosekunde	{0} mikrosekundi	Razgovara s 5 mikrosekundi
duration	milliseconds	feminine	Ova milisekunda...	nominative	{0} milisekunda	21 milisekunda je...	{0} milisekunde	3 milisekunde je...	{0} milisekundi	5 milisekundi je...
duration	milliseconds	feminine	Ova milisekunda...	accusative	{0} milisekundu	Izmjerio je 21 milisekundu	{0} milisekunde	Izmjerio je 3 milisekunde	{0} milisekundi	Izmjerio je 5 milisekundi
duration	milliseconds	feminine	Ova milisekunda...	genitive	{0} milisekunde	Mjerenje 21 milisekunde	{0} milisekunde	Mjerenje 3 milisekunde	{0} milisekundi	Mjerenje 5 milisekundi
duration	milliseconds	feminine	Ova milisekunda...	instrumental	{0} milisekundom	Razgovara s 21 milisekundom	{0} milisekunde	Razgovara s 3 milisekunde	{0} milisekundi	Razgovara s 5 milisekundi
duration	seconds	feminine	Ova sekunda...	nominative	{0} sekunda	21 sekunda je...	{0} sekunde	3 sekunde je...	{0} sekundi	5 sekundi je...
duration	seconds	feminine	Ova sekunda...	accusative	{0} sekundu	Izmjerio je 21 sekundu	{0} sekunde	Izmjerio je 3 sekunde	{0} sekundi	Izmjerio je 5 sekundi
duration	seconds	feminine	Ova sekunda...	genitive	{0} sekunde	Mjerenje 21 sekunde	{0} sekunde	Mjerenje 3 sekunde	{0} sekundi	Mjerenje 5 sekundi
duration	seconds	feminine	Ova sekunda...	instrumental	{0} sekundom	Razgovara s 21 sekundom	{0} sekunde	Razgovara s 3 sekunde	{0} sekundi	Razgovara s 5 sekundi
duration	minute • ( = 60 sec)	feminine	Ova minuta...	nominative	{0} minuta	21 minuta je...	{0} minute	3 minute je...	{0} minuta	5 minuta je...
duration	minute • ( = 60 sec)	feminine	Ova minuta...	accusative	{0} minutu	Izmjerio je 21 minutu	{0} minute	Izmjerio je 3 minute	{0} minuta	Izmjerio je 5 minuta
duration	minute • ( = 60 sec)	feminine	Ova minuta...	genitive	{0} minute	Mjerenje 21 minute	{0} minute	Mjerenje 3 minute	{0} minuta	Mjerenje 5 minuta
duration	minute • ( = 60 sec)	feminine	Ova minuta...	instrumental	{0} minutom	Razgovara s 21 minutom	{0} minute	Razgovara s 3 minute	{0} minuta	Razgovara s 5 minuta
duration	hour • ( = 3600 sec)	inanimate	Ovaj sat...	nominative	{0} sat	21 sat je...	{0} sata	3 sata je...	{0} sati	5 sati je...
duration	hour • ( = 3600 sec)	inanimate	Ovaj sat...	accusative	{0} sat	Izmjerio je 21 sat	{0} sata	Izmjerio je 3 sata	{0} sati	Izmjerio je 5 sati
duration	hour • ( = 3600 sec)	inanimate	Ovaj sat...	genitive	{0} sata	Mjerenje 21 sata	{0} sata	Mjerenje 3 sata	{0} sati	Mjerenje 5 sati
duration	hour • ( = 3600 sec)	inanimate	Ovaj sat...	instrumental	{0} satom	Razgovara s 21 satom	{0} sata	Razgovara s 3 sata	{0} sati	Razgovara s 5 sati
duration	day • ( = 86400 sec)	inanimate	Ovaj dan...	nominative	{0} dan	21 dan je...	{0} dana	3 dana je...	{0} dana	5 dana je...
duration	day • ( = 86400 sec)	inanimate	Ovaj dan...	accusative	{0} dan	Izmjerio je 21 dan	{0} dana	Izmjerio je 3 dana	{0} dana	Izmjerio je 5 dana
duration	day • ( = 86400 sec)	inanimate	Ovaj dan...	genitive	{0} dana	Mjerenje 21 dana	{0} dana	Mjerenje 3 dana	{0} dana	Mjerenje 5 dana
duration	day • ( = 86400 sec)	inanimate	Ovaj dan...	instrumental	{0} danom	Razgovara s 21 danom	{0} dana	Razgovara s 3 dana	{0} dana	Razgovara s 5 dana
duration	day-person • ( = 86400 sec)	inanimate	Ovaj dan...	nominative	{0} dan	21 dan je...	{0} dana	3 dana je...	{0} dana	5 dana je...
duration	day-person • ( = 86400 sec)	inanimate	Ovaj dan...	accusative	{0} dan	Izmjerio je 21 dan	{0} dana	Izmjerio je 3 dana	{0} dana	Izmjerio je 5 dana
duration	day-person • ( = 86400 sec)	inanimate	Ovaj dan...	genitive	{0} dana	Mjerenje 21 dana	{0} dana	Mjerenje 3 dana	{0} dana	Mjerenje 5 dana
duration	day-person • ( = 86400 sec)	inanimate	Ovaj dan...	instrumental	{0} danom	Razgovara s 21 danom	{0} dana	Razgovara s 3 dana	{0} dana	Razgovara s 5 dana
duration	week • ( = 604800 sec)	inanimate	Ovaj tjedan...	nominative	{0} tjedan	21 tjedan je...	{0} tjedna	3 tjedna je...	{0} tjedana	5 tjedana je...
duration	week • ( = 604800 sec)	inanimate	Ovaj tjedan...	accusative	{0} tjedan	Izmjerio je 21 tjedan	{0} tjedna	Izmjerio je 3 tjedna	{0} tjedana	Izmjerio je 5 tjedana
duration	week • ( = 604800 sec)	inanimate	Ovaj tjedan...	genitive	{0} tjedna	Mjerenje 21 tjedna	{0} tjedna	Mjerenje 3 tjedna	{0} tjedana	Mjerenje 5 tjedana
duration	week • ( = 604800 sec)	inanimate	Ovaj tjedan...	instrumental	{0} tjednom	Razgovara s 21 tjednom	{0} tjedna	Razgovara s 3 tjedna	{0} tjedana	Razgovara s 5 tjedana
electric-current	milliamperes	inanimate	Ovaj miliamper...	nominative	{0} miliamper	21 miliamper je...	{0} miliampera	3 miliampera je...	{0} miliampera	5 miliampera je...
electric-current	milliamperes	inanimate	Ovaj miliamper...	accusative	{0} miliamper	Izmjerio je 21 miliamper	{0} miliampera	Izmjerio je 3 miliampera	{0} miliampera	Izmjerio je 5 miliampera
electric-current	milliamperes	inanimate	Ovaj miliamper...	genitive	{0} miliampera	Mjerenje 21 miliampera	{0} miliampera	Mjerenje 3 miliampera	{0} miliampera	Mjerenje 5 miliampera
electric-current	milliamperes	inanimate	Ovaj miliamper...	instrumental	{0} miliamperom	Razgovara s 21 miliamperom	{0} miliampera	Razgovara s 3 miliampera	{0} miliampera	Razgovara s 5 miliampera
electric-current	amperes	inanimate	Ovaj amper...	nominative	{0} amper	21 amper je...	{0} ampera	3 ampera je...	{0} ampera	5 ampera je...
electric-current	amperes	inanimate	Ovaj amper...	accusative	{0} amper	Izmjerio je 21 amper	{0} ampera	Izmjerio je 3 ampera	{0} ampera	Izmjerio je 5 ampera
electric-current	amperes	inanimate	Ovaj amper...	genitive	{0} ampera	Mjerenje 21 ampera	{0} ampera	Mjerenje 3 ampera	{0} ampera	Mjerenje 5 ampera
electric-current	amperes	inanimate	Ovaj amper...	instrumental	{0} amperom	Razgovara s 21 amperom	{0} ampera	Razgovara s 3 ampera	{0} ampera	Razgovara s 5 ampera
electric-resistance	ohms	inanimate	Ovaj om...	nominative	{0} om	21 om je...	{0} oma	3 oma je...	{0} oma	5 oma je...
electric-resistance	ohms	inanimate	Ovaj om...	accusative	{0} om	Izmjerio je 21 om	{0} oma	Izmjerio je 3 oma	{0} oma	Izmjerio je 5 oma
electric-resistance	ohms	inanimate	Ovaj om...	genitive	{0} oma	Mjerenje 21 oma	{0} oma	Mjerenje 3 oma	{0} oma	Mjerenje 5 oma
electric-resistance	ohms	inanimate	Ovaj om...	instrumental	{0} omom	Razgovara s 21 omom	{0} oma	Razgovara s 3 oma	{0} oma	Razgovara s 5 oma
energy	joules	inanimate	Ovaj džul...	nominative	{0} džul	21 džul je...	{0} džula	3 džula je...	{0} džula	5 džula je...
energy	joules	inanimate	Ovaj džul...	accusative	{0} džul	Izmjerio je 21 džul	{0} džula	Izmjerio je 3 džula	{0} džula	Izmjerio je 5 džula
energy	joules	inanimate	Ovaj džul...	genitive	{0} džula	Mjerenje 21 džula	{0} džula	Mjerenje 3 džula	{0} džula	Mjerenje 5 džula
energy	joules	inanimate	Ovaj džul...	instrumental	{0} džulom	Razgovara s 21 džulom	{0} džula	Razgovara s 3 džula	{0} džula	Razgovara s 5 džula
energy	newton-meter • ( = 1 J)	inanimate	Ovaj njutnmetar...	nominative	{0} njutnmetar	21 njutnmetar je...	{0} njutnmetra	3 njutnmetra je...	{0} njutnmetara	5 njutnmetara je...
energy	newton-meter • ( = 1 J)	inanimate	Ovaj njutnmetar...	accusative	{0} njutnmetar	Izmjerio je 21 njutnmetar	{0} njutnmetra	Izmjerio je 3 njutnmetra	{0} njutnmetara	Izmjerio je 5 njutnmetara
energy	newton-meter • ( = 1 J)	inanimate	Ovaj njutnmetar...	genitive	{0} njutnmetra	Mjerenje 21 njutnmetra	{0} njutnmetra	Mjerenje 3 njutnmetra	{0} njutnmetara	Mjerenje 5 njutnmetara
energy	newton-meter • ( = 1 J)	inanimate	Ovaj njutnmetar...	instrumental	{0} njutnmetrom	Razgovara s 21 njutnmetrom	{0} njutnmetra	Razgovara s 3 njutnmetra	{0} njutnmetara	Razgovara s 5 njutnmetara
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	nominative	{0} funta sile po stopi	21 funta sile po stopi je...	{0} funte sile po stopi	3 funte sile po stopi je...	{0} funti sile po stopi	5 funti sile po stopi je...
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	accusative	{0} funta sile po stopi	Izmjerio je 21 funta sile po stopi	{0} funte sile po stopi	Izmjerio je 3 funte sile po stopi	{0} funti sile po stopi	Izmjerio je 5 funti sile po stopi
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	genitive	{0} funta sile po stopi	Mjerenje 21 funta sile po stopi	{0} funte sile po stopi	Mjerenje 3 funte sile po stopi	{0} funti sile po stopi	Mjerenje 5 funti sile po stopi
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	instrumental	{0} funta sile po stopi	Razgovara s 21 funta sile po stopi	{0} funte sile po stopi	Razgovara s 3 funte sile po stopi	{0} funti sile po stopi	Razgovara s 5 funti sile po stopi
energy	calorie • ( = 4.184 J)	feminine	Ova kalorija...	nominative	{0} kalorija	21 kalorija je...	{0} kalorije	3 kalorije je...	{0} kalorija	5 kalorija je...
energy	calorie • ( = 4.184 J)	feminine	Ova kalorija...	accusative	{0} kaloriju	Izmjerio je 21 kaloriju	{0} kalorije	Izmjerio je 3 kalorije	{0} kalorija	Izmjerio je 5 kalorija
energy	calorie • ( = 4.184 J)	feminine	Ova kalorija...	genitive	{0} kalorije	Mjerenje 21 kalorije	{0} kalorije	Mjerenje 3 kalorije	{0} kalorija	Mjerenje 5 kalorija
energy	calorie • ( = 4.184 J)	feminine	Ova kalorija...	instrumental	{0} kalorijom	Razgovara s 21 kalorijom	{0} kalorije	Razgovara s 3 kalorije	{0} kalorija	Razgovara s 5 kalorija
energy	kilojoules	inanimate	Ovaj kilodžul...	nominative	{0} kilodžul	21 kilodžul je...	{0} kilodžula	3 kilodžula je...	{0} kilodžula	5 kilodžula je...
energy	kilojoules	inanimate	Ovaj kilodžul...	accusative	{0} kilodžul	Izmjerio je 21 kilodžul	{0} kilodžula	Izmjerio je 3 kilodžula	{0} kilodžula	Izmjerio je 5 kilodžula
energy	kilojoules	inanimate	Ovaj kilodžul...	genitive	{0} kilodžula	Mjerenje 21 kilodžula	{0} kilodžula	Mjerenje 3 kilodžula	{0} kilodžula	Mjerenje 5 kilodžula
energy	kilojoules	inanimate	Ovaj kilodžul...	instrumental	{0} kilodžulom	Razgovara s 21 kilodžulom	{0} kilodžula	Razgovara s 3 kilodžula	{0} kilodžula	Razgovara s 5 kilodžula
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	nominative	{0} britanska termalna jedinica	21 britanska termalna jedinica je...	{0} britanske termalne jedinice	3 britanske termalne jedinice je...	{0} britanskih termalnih jedinica	5 britanskih termalnih jedinica je...
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	accusative	{0} britanska termalna jedinica	Izmjerio je 21 britanska termalna jedinica	{0} britanske termalne jedinice	Izmjerio je 3 britanske termalne jedinice	{0} britanskih termalnih jedinica	Izmjerio je 5 britanskih termalnih jedinica
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	genitive	{0} britanska termalna jedinica	Mjerenje 21 britanska termalna jedinica	{0} britanske termalne jedinice	Mjerenje 3 britanske termalne jedinice	{0} britanskih termalnih jedinica	Mjerenje 5 britanskih termalnih jedinica
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	instrumental	{0} britanska termalna jedinica	Razgovara s 21 britanska termalna jedinica	{0} britanske termalne jedinice	Razgovara s 3 britanske termalne jedinice	{0} britanskih termalnih jedinica	Razgovara s 5 britanskih termalnih jedinica
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	nominative	{0} kilokalorija	21 kilokalorija je...	{0} kilokalorije	3 kilokalorije je...	{0} kilokalorija	5 kilokalorija je...
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	accusative	{0} kilokalorija	Izmjerio je 21 kilokalorija	{0} kilokalorije	Izmjerio je 3 kilokalorije	{0} kilokalorija	Izmjerio je 5 kilokalorija
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	genitive	{0} kilokalorija	Mjerenje 21 kilokalorija	{0} kilokalorije	Mjerenje 3 kilokalorije	{0} kilokalorija	Mjerenje 5 kilokalorija
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	instrumental	{0} kilokalorija	Razgovara s 21 kilokalorija	{0} kilokalorije	Razgovara s 3 kilokalorije	{0} kilokalorija	Razgovara s 5 kilokalorija
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	inanimate	Ovaj kilovatsat...	nominative	{0} kilovatsat	21 kilovatsat je...	{0} kilovatsata	3 kilovatsata je...	{0} kilovatsati	5 kilovatsati je...
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	inanimate	Ovaj kilovatsat...	accusative	{0} kilovatsat	Izmjerio je 21 kilovatsat	{0} kilovatsata	Izmjerio je 3 kilovatsata	{0} kilovatsati	Izmjerio je 5 kilovatsati
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	inanimate	Ovaj kilovatsat...	genitive	{0} kilovatsata	Mjerenje 21 kilovatsata	{0} kilovatsata	Mjerenje 3 kilovatsata	{0} kilovatsati	Mjerenje 5 kilovatsati
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	inanimate	Ovaj kilovatsat...	instrumental	{0} kilovatsatom	Razgovara s 21 kilovatsatom	{0} kilovatsata	Razgovara s 3 kilovatsata	{0} kilovatsati	Razgovara s 5 kilovatsati
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	nominative	{0} SAD therm	21 SAD therm je...	{0} SAD therma	3 SAD therma je...	{0} SAD therma	5 SAD therma je...
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	accusative	{0} SAD therm	Izmjerio je 21 SAD therm	{0} SAD therma	Izmjerio je 3 SAD therma	{0} SAD therma	Izmjerio je 5 SAD therma
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	genitive	{0} SAD therm	Mjerenje 21 SAD therm	{0} SAD therma	Mjerenje 3 SAD therma	{0} SAD therma	Mjerenje 5 SAD therma
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	instrumental	{0} SAD therm	Razgovara s 21 SAD therm	{0} SAD therma	Razgovara s 3 SAD therma	{0} SAD therma	Razgovara s 5 SAD therma
force	newtons	inanimate	Ovaj njutn...	nominative	{0} njutn	21 njutn je...	{0} njutna	3 njutna je...	{0} njutna	5 njutna je...
force	newtons	inanimate	Ovaj njutn...	accusative	{0} njutn	Izmjerio je 21 njutn	{0} njutna	Izmjerio je 3 njutna	{0} njutna	Izmjerio je 5 njutna
force	newtons	inanimate	Ovaj njutn...	genitive	{0} njutna	Mjerenje 21 njutna	{0} njutna	Mjerenje 3 njutna	{0} njutna	Mjerenje 5 njutna
force	newtons	inanimate	Ovaj njutn...	instrumental	{0} njutnom	Razgovara s 21 njutnom	{0} njutna	Razgovara s 3 njutna	{0} njutna	Razgovara s 5 njutna
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	nominative	{0} funta sile	21 funta sile je...	{0} funte sile	3 funte sile je...	{0} funti sile	5 funti sile je...
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	accusative	{0} funta sile	Izmjerio je 21 funta sile	{0} funte sile	Izmjerio je 3 funte sile	{0} funti sile	Izmjerio je 5 funti sile
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	genitive	{0} funta sile	Mjerenje 21 funta sile	{0} funte sile	Mjerenje 3 funte sile	{0} funti sile	Mjerenje 5 funti sile
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	instrumental	{0} funta sile	Razgovara s 21 funta sile	{0} funte sile	Razgovara s 3 funte sile	{0} funti sile	Razgovara s 5 funti sile
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	inanimate	Ovaj kilovatsat na 100 kilometara...	nominative	{0} kilovatsat na 100 kilometara	21 kilovatsat na 100 kilometara je...	{0} kilovatsata na 100 kilometara	3 kilovatsata na 100 kilometara je...	{0} kilovatsati na 100 kilometara	5 kilovatsati na 100 kilometara je...
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	inanimate	Ovaj kilovatsat na 100 kilometara...	accusative	{0} kilovatsat na 100 kilometara	Izmjerio je 21 kilovatsat na 100 kilometara	{0} kilovatsata na 100 kilometara	Izmjerio je 3 kilovatsata na 100 kilometara	{0} kilovatsati na 100 kilometara	Izmjerio je 5 kilovatsati na 100 kilometara
