# Grammatical Features
#Locale	ID	Feature	Usage	Values
Romanian	ro	grammaticalCase	general	nominative, genitive
Romanian	ro	grammaticalDefiniteness	general	indefinite, definite
Romanian	ro	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} zi	<div class='cldr_example'><span class='cldr_substituted'>1</span> zi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zi</div>
Plural	few	{0} zile	<div class='cldr_example'><span class='cldr_substituted'>2</span> zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zile</div>
Plural	other	{0} de zile	<div class='cldr_example'><span class='cldr_substituted'>20</span> de zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> de zile</div>
Case (for measurement units)	nominative	{0} este/sunt …	<div class='cldr_example'><span class='cldr_substituted'>20 de zile</span> este/sunt …</div><div class='cldr_example'>❌  <span class='cldr_substituted'>unei zile</span> este/sunt …</div>
Case (for measurement units)	genitive	… ale (celor) {0} …	<div class='cldr_example'>… ale (celor) <span class='cldr_substituted'>unei zile</span> …</div><div class='cldr_example'>❌  … ale (celor) <span class='cldr_substituted'>20 de zile</span> …</div>
Gender (for measurement units)	masculine	Un {0} costă 5 €, doi costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>an</span> costă 5 €, doi costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, doi costă 9 €.</div>
Gender (for measurement units)	feminine	O {0} costă 5 €.	<div class='cldr_example'>O <span class='cldr_substituted'>zi</span> costă 5 €.</div><div class='cldr_example'>❌  O <span class='cldr_substituted'>an</span> costă 5 €.</div>
Gender (for measurement units)	neuter	Un {0} costă 5 €, două costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>minut</span> costă 5 €, două costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, două costă 9 €.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 2.0	Pattern for other	Case MP + pattern with 21.0
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	masculine	Un kilowatt-oră costă 5 €, doi costă 9 €.	genitive	unui kilowatt-oră	… ale (celor) unui kilowatt-oră …	{0} kilowați-oră	… ale (celor) 2 kilowați-oră …	{0} de kilowați-oră	… ale (celor) 21 de kilowați-oră …
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	nominative	{0} therm S.U.A.	1 therm S.U.A. este/sunt …	{0} thermi S.U.A.	2 thermi S.U.A. este/sunt …	{0} de thermi S.U.A.	21 de thermi S.U.A. este/sunt …
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	genitive	{0} therm S.U.A.	… ale (celor) 1 therm S.U.A. …	{0} thermi S.U.A.	… ale (celor) 2 thermi S.U.A. …	{0} de thermi S.U.A.	… ale (celor) 21 de thermi S.U.A. …
force	newtons	masculine	Un newton costă 5 €, doi costă 9 €.	nominative	{0} newton	1 newton este/sunt …	{0} newtoni	2 newtoni este/sunt …	{0} de newtoni	21 de newtoni este/sunt …
force	newtons	masculine	Un newton costă 5 €, doi costă 9 €.	genitive	unui newton	… ale (celor) unui newton …	{0} newtoni	… ale (celor) 2 newtoni …	{0} de newtoni	… ale (celor) 21 de newtoni …
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	nominative	{0} livră-forță	1 livră-forță este/sunt …	{0} livre-forță	2 livre-forță este/sunt …	{0} de livre-forță	21 de livre-forță este/sunt …
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	genitive	{0} livră-forță	… ale (celor) 1 livră-forță …	{0} livre-forță	… ale (celor) 2 livre-forță …	{0} de livre-forță	… ale (celor) 21 de livre-forță …
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	Un kilowatt-oră per 100 kilometri costă 5 €, doi costă 9 €.	nominative	{0} kilowatt-oră per 100 kilometri	1 kilowatt-oră per 100 kilometri este/sunt …	{0} kilowați-oră per 100 kilometri	2 kilowați-oră per 100 kilometri este/sunt …	{0} kilowați-oră per 100 kilometri	21 kilowați-oră per 100 kilometri este/sunt …
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	Un kilowatt-oră per 100 kilometri costă 5 €, doi costă 9 €.	genitive	unui kilowatt-oră per 100 de kilometri	… ale (celor) unui kilowatt-oră per 100 de kilometri …	{0} kilowați-oră per 100 kilometri	… ale (celor) 2 kilowați-oră per 100 kilometri …	{0} kilowați-oră per 100 kilometri	… ale (celor) 21 kilowați-oră per 100 kilometri …
frequency	hertz	masculine	Un hertz costă 5 €, doi costă 9 €.	nominative	{0} hertz	1 hertz este/sunt …	{0} hertzi	2 hertzi este/sunt …	{0} de hertzi	21 de hertzi este/sunt …
frequency	hertz	masculine	Un hertz costă 5 €, doi costă 9 €.	genitive	unui hertz	… ale (celor) unui hertz …	{0} hertzi	… ale (celor) 2 hertzi …	{0} de hertzi	… ale (celor) 21 de hertzi …
frequency	kilohertz	masculine	Un kilohertz costă 5 €, doi costă 9 €.	nominative	{0} kilohertz	1 kilohertz este/sunt …	{0} kilohertzi	2 kilohertzi este/sunt …	{0} de kilohertzi	21 de kilohertzi este/sunt …
frequency	kilohertz	masculine	Un kilohertz costă 5 €, doi costă 9 €.	genitive	unui kilohertz	… ale (celor) unui kilohertz …	{0} kilohertzi	… ale (celor) 2 kilohertzi …	{0} de kilohertzi	… ale (celor) 21 de kilohertzi …
frequency	megahertz	masculine	Un megahertz costă 5 €, doi costă 9 €.	nominative	{0} megahertz	1 megahertz este/sunt …	{0} megahertzi	2 megahertzi este/sunt …	{0} de megahertzi	21 de megahertzi este/sunt …
frequency	megahertz	masculine	Un megahertz costă 5 €, doi costă 9 €.	genitive	unui megahertz	… ale (celor) unui megahertz …	{0} megahertzi	… ale (celor) 2 megahertzi …	{0} de megahertzi	… ale (celor) 21 de megahertzi …
frequency	gigahertz	masculine	Un gigahertz costă 5 €, doi costă 9 €.	nominative	{0} gigahertz	1 gigahertz este/sunt …	{0} gigahertzi	2 gigahertzi este/sunt …	{0} de gigahertzi	21 de gigahertzi este/sunt …
frequency	gigahertz	masculine	Un gigahertz costă 5 €, doi costă 9 €.	genitive	unui gigahertz	… ale (celor) unui gigahertz …	{0} gigahertzi	… ale (celor) 2 gigahertzi …	{0} de gigahertzi	… ale (celor) 21 de gigahertzi …
graphics	pixel • ( = 1 dot)	masculine	Un pixel costă 5 €, doi costă 9 €.	nominative	{0} pixel	1 pixel este/sunt …	{0} pixeli	2 pixeli este/sunt …	{0} de pixeli	21 de pixeli este/sunt …
graphics	pixel • ( = 1 dot)	masculine	Un pixel costă 5 €, doi costă 9 €.	genitive	unui pixel	… ale (celor) unui pixel …	{0} pixeli	… ale (celor) 2 pixeli …	{0} de pixeli	… ale (celor) 21 de pixeli …
graphics	megapixels	masculine	Un megapixel costă 5 €, doi costă 9 €.	nominative	{0} megapixel	1 megapixel este/sunt …	{0} megapixeli	2 megapixeli este/sunt …	{0} de megapixeli	21 de megapixeli este/sunt …
graphics	megapixels	masculine	Un megapixel costă 5 €, doi costă 9 €.	genitive	unui megapixel	… ale (celor) unui megapixel …	{0} megapixeli	… ale (celor) 2 megapixeli …	{0} de megapixeli	… ale (celor) 21 de megapixeli …
illuminance	lux	masculine	Un lux costă 5 €, doi costă 9 €.	nominative	{0} lux	1 lux este/sunt …	{0} lucși	2 lucși este/sunt …	{0} de lucși	21 de lucși este/sunt …
illuminance	lux	masculine	Un lux costă 5 €, doi costă 9 €.	genitive	unui lux	… ale (celor) unui lux …	{0} lucși	… ale (celor) 2 lucși …	{0} de lucși	… ale (celor) 21 de lucși …
length	picometers	masculine	Un picometru costă 5 €, doi costă 9 €.	nominative	{0} picometru	1 picometru este/sunt …	{0} picometri	2 picometri este/sunt …	{0} de picometri	21 de picometri este/sunt …
length	picometers	masculine	Un picometru costă 5 €, doi costă 9 €.	genitive	unui picometru	… ale (celor) unui picometru …	{0} picometri	… ale (celor) 2 picometri …	{0} de picometri	… ale (celor) 21 de picometri …
length	nanometers	masculine	Un nanometru costă 5 €, doi costă 9 €.	nominative	{0} nanometru	1 nanometru este/sunt …	{0} nanometri	2 nanometri este/sunt …	{0} de nanometri	21 de nanometri este/sunt …
length	nanometers	masculine	Un nanometru costă 5 €, doi costă 9 €.	genitive	unui nanometru	… ale (celor) unui nanometru …	{0} nanometri	… ale (celor) 2 nanometri …	{0} de nanometri	… ale (celor) 21 de nanometri …
length	micrometers	masculine	Un micrometru costă 5 €, doi costă 9 €.	nominative	{0} micrometru	1 micrometru este/sunt …	{0} micrometri	2 micrometri este/sunt …	{0} de micrometri	21 de micrometri este/sunt …
length	micrometers	masculine	Un micrometru costă 5 €, doi costă 9 €.	genitive	unui micrometru	… ale (celor) unui micrometru …	{0} micrometri	… ale (celor) 2 micrometri …	{0} de micrometri	… ale (celor) 21 de micrometri …
length	point • ( = 352.˙7 μm)	n/a	n/a	nominative	{0} punct tipografic	1 punct tipografic este/sunt …	{0} puncte tipografice	2 puncte tipografice este/sunt …	{0} de puncte tipografice	21 de puncte tipografice este/sunt …
length	point • ( = 352.˙7 μm)	n/a	n/a	genitive	{0} punct tipografic	… ale (celor) 1 punct tipografic …	{0} puncte tipografice	… ale (celor) 2 puncte tipografice …	{0} de puncte tipografice	… ale (celor) 21 de puncte tipografice …
length	millimeters	masculine	Un milimetru costă 5 €, doi costă 9 €.	nominative	{0} milimetru	1 milimetru este/sunt …	{0} milimetri	2 milimetri este/sunt …	{0} de milimetri	21 de milimetri este/sunt …
length	millimeters	masculine	Un milimetru costă 5 €, doi costă 9 €.	genitive	unui milimetru	… ale (celor) unui milimetru …	{0} milimetri	… ale (celor) 2 milimetri …	{0} de milimetri	… ale (celor) 21 de milimetri …
length	centimeters	masculine	Un centimetru costă 5 €, doi costă 9 €.	nominative	{0} centimetru	1 centimetru este/sunt …	{0} centimetri	2 centimetri este/sunt …	{0} de centimetri	21 de centimetri este/sunt …
length	centimeters	masculine	Un centimetru costă 5 €, doi costă 9 €.	genitive	unui centimetru	… ale (celor) unui centimetru …	{0} centimetri	… ale (celor) 2 centimetri …	{0} de centimetri	… ale (celor) 21 de centimetri …
length	inch • ( = 2.54 cm)	n/a	n/a	nominative	{0} inch	1 inch este/sunt …	{0} inchi	2 inchi este/sunt …	{0} de inchi	21 de inchi este/sunt …
length	inch • ( = 2.54 cm)	n/a	n/a	genitive	{0} inch	… ale (celor) 1 inch …	{0} inchi	… ale (celor) 2 inchi …	{0} de inchi	… ale (celor) 21 de inchi …
length	decimeters	masculine	Un decimetru costă 5 €, doi costă 9 €.	nominative	{0} decimetru	1 decimetru este/sunt …	{0} decimetri	2 decimetri este/sunt …	{0} de decimetri	21 de decimetri este/sunt …
length	decimeters	masculine	Un decimetru costă 5 €, doi costă 9 €.	genitive	unui decimetru	… ale (celor) unui decimetru …	{0} decimetri	… ale (celor) 2 decimetri …	{0} de decimetri	… ale (celor) 21 de decimetri …
length	foot • ( = 3.048 dm)	n/a	n/a	nominative	{0} picior	1 picior este/sunt …	{0} picioare	2 picioare este/sunt …	{0} de picioare	21 de picioare este/sunt …
length	foot • ( = 3.048 dm)	n/a	n/a	genitive	{0} picior	… ale (celor) 1 picior …	{0} picioare	… ale (celor) 2 picioare …	{0} de picioare	… ale (celor) 21 de picioare …
length	yard • ( = 0.9144 m)	n/a	n/a	nominative	{0} iard	1 iard este/sunt …	{0} iarzi	2 iarzi este/sunt …	{0} de iarzi	21 de iarzi este/sunt …
length	yard • ( = 0.9144 m)	n/a	n/a	genitive	{0} iard	… ale (celor) 1 iard …	{0} iarzi	… ale (celor) 2 iarzi …	{0} de iarzi	… ale (celor) 21 de iarzi …
length	meters	masculine	Un metru costă 5 €, doi costă 9 €.	nominative	{0} metru	1 metru este/sunt …	{0} metri	2 metri este/sunt …	{0} de metri	21 de metri este/sunt …
length	meters	masculine	Un metru costă 5 €, doi costă 9 €.	genitive	unui metru	… ale (celor) unui metru …	{0} metri	… ale (celor) 2 metri …	{0} de metri	… ale (celor) 21 de metri …
length	fathom • ( = 1.8288 m)	n/a	n/a	nominative	{0} fathom	1 fathom este/sunt …	{0} fathomi	2 fathomi este/sunt …	{0} de fathomi	21 de fathomi este/sunt …
length	fathom • ( = 1.8288 m)	n/a	n/a	genitive	{0} fathom	… ale (celor) 1 fathom …	{0} fathomi	… ale (celor) 2 fathomi …	{0} de fathomi	… ale (celor) 21 de fathomi …
length	furlong • ( = 201.168 m)	n/a	n/a	nominative	{0} furlong	1 furlong este/sunt …	{0} furlongi	2 furlongi este/sunt …	{0} de furlongi	21 de furlongi este/sunt …
length	furlong • ( = 201.168 m)	n/a	n/a	genitive	{0} furlong	… ale (celor) 1 furlong …	{0} furlongi	… ale (celor) 2 furlongi …	{0} de furlongi	… ale (celor) 21 de furlongi …
length	kilometers	masculine	Un kilometru costă 5 €, doi costă 9 €.	nominative	{0} kilometru	1 kilometru este/sunt …	{0} kilometri	2 kilometri este/sunt …	{0} de kilometri	21 de kilometri este/sunt …
length	kilometers	masculine	Un kilometru costă 5 €, doi costă 9 €.	genitive	unui kilometru	… ale (celor) unui kilometru …	{0} kilometri	… ale (celor) 2 kilometri …	{0} de kilometri	… ale (celor) 21 de kilometri …
length	mile • ( = 1.609344 km)	n/a	n/a	nominative	{0} milă	1 milă este/sunt …	{0} mile	2 mile este/sunt …	{0} de mile	21 de mile este/sunt …
length	mile • ( = 1.609344 km)	n/a	n/a	genitive	{0} milă	… ale (celor) 1 milă …	{0} mile	… ale (celor) 2 mile …	{0} de mile	… ale (celor) 21 de mile …
length	mile-scandinavian • ( = 10 km)	feminine	O milă scandinavă costă 5 €.	nominative	{0} milă scandinavă	1 milă scandinavă este/sunt …	{0} mile scandinave	2 mile scandinave este/sunt …	{0} de mile scandinave	21 de mile scandinave este/sunt …
length	mile-scandinavian • ( = 10 km)	feminine	O milă scandinavă costă 5 €.	genitive	unei mile scandinave	… ale (celor) unei mile scandinave …	{0} mile scandinave	… ale (celor) 2 mile scandinave …	{0} de mile scandinave	… ale (celor) 21 de mile scandinave …
length	earth-radius • ( = 6378.1 km)	n/a	n/a	nominative	{0} rază terestră	1 rază terestră este/sunt …	{0} raze terestre	2 raze terestre este/sunt …	{0} de raze terestre	21 de raze terestre este/sunt …
length	earth-radius • ( = 6378.1 km)	n/a	n/a	genitive	{0} rază terestră	… ale (celor) 1 rază terestră …	{0} raze terestre	… ale (celor) 2 raze terestre …	{0} de raze terestre	… ale (celor) 21 de raze terestre …
length	solar-radius • ( = 695700 km)	n/a	n/a	nominative	{0} rază solară	1 rază solară este/sunt …	{0} raze solare	2 raze solare este/sunt …	{0} de raze solare	21 de raze solare este/sunt …
length	solar-radius • ( = 695700 km)	n/a	n/a	genitive	{0} rază solară	… ale (celor) 1 rază solară …	{0} raze solare	… ale (celor) 2 raze solare …	{0} de raze solare	… ale (celor) 21 de raze solare …
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	nominative	{0} an lumină	1 an lumină este/sunt …	{0} ani lumină	2 ani lumină este/sunt …	{0} de ani lumină	21 de ani lumină este/sunt …
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	genitive	{0} an lumină	… ale (celor) 1 an lumină …	{0} ani lumină	… ale (celor) 2 ani lumină …	{0} de ani lumină	… ale (celor) 21 de ani lumină …
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	nominative	{0} parsec	1 parsec este/sunt …	{0} parseci	2 parseci este/sunt …	{0} de parseci	21 de parseci este/sunt …
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	genitive	{0} parsec	… ale (celor) 1 parsec …	{0} parseci	… ale (celor) 2 parseci …	{0} de parseci	… ale (celor) 21 de parseci …
luminous-flux	lumen	masculine	Un lumen costă 5 €, doi costă 9 €.	nominative	{0} lumen	1 lumen este/sunt …	{0} lumeni	2 lumeni este/sunt …	{0} de lumeni	21 de lumeni este/sunt …
luminous-flux	lumen	masculine	Un lumen costă 5 €, doi costă 9 €.	genitive	unui lumen	… ale (celor) unui lumen …	{0} lumeni	… ale (celor) 2 lumeni …	{0} de lumeni	… ale (celor) 21 de lumeni …
luminous-intensity	candela	feminine	O candelă costă 5 €.	nominative	{0} candelă	1 candelă este/sunt …	{0} candele	2 candele este/sunt …	{0} de candele	21 de candele este/sunt …
luminous-intensity	candela	feminine	O candelă costă 5 €.	genitive	unei candele	… ale (celor) unei candele …	{0} candele	… ale (celor) 2 candele …	{0} de candele	… ale (celor) 21 de candele …
mass	micrograms	neuter	Un microgram costă 5 €, două costă 9 €.	nominative	{0} microgram	1 microgram este/sunt …	{0} micrograme	2 micrograme este/sunt …	{0} de micrograme	21 de micrograme este/sunt …
mass	micrograms	neuter	Un microgram costă 5 €, două costă 9 €.	genitive	unui microgram	… ale (celor) unui microgram …	{0} micrograme	… ale (celor) 2 micrograme …	{0} de micrograme	… ale (celor) 21 de micrograme …
mass	milligrams	neuter	Un miligram costă 5 €, două costă 9 €.	nominative	{0} miligram	1 miligram este/sunt …	{0} miligrame	2 miligrame este/sunt …	{0} de miligrame	21 de miligrame este/sunt …
mass	milligrams	neuter	Un miligram costă 5 €, două costă 9 €.	genitive	unui miligram	… ale (celor) unui miligram …	{0} miligrame	… ale (celor) 2 miligrame …	{0} de miligrame	… ale (celor) 21 de miligrame …
mass	grain • ( = 64.79891 mg)	n/a	n/a	nominative	{0} boabă	1 boabă este/sunt …	{0} boabe	2 boabe este/sunt …	{0} de boabe	21 de boabe este/sunt …
mass	grain • ( = 64.79891 mg)	n/a	n/a	genitive	{0} boabă	… ale (celor) 1 boabă …	{0} boabe	… ale (celor) 2 boabe …	{0} de boabe	… ale (celor) 21 de boabe …
mass	carat • ( = 200 mg)	neuter	Un carat costă 5 €, două costă 9 €.	nominative	{0} carat	1 carat este/sunt …	{0} carate	2 carate este/sunt …	{0} de carate	21 de carate este/sunt …
mass	carat • ( = 200 mg)	neuter	Un carat costă 5 €, două costă 9 €.	genitive	unui carat	… ale (celor) unui carat …	{0} carate	… ale (celor) 2 carate …	{0} de carate	… ale (celor) 21 de carate …
mass	grams	neuter	Un gram costă 5 €, două costă 9 €.	nominative	{0} gram	1 gram este/sunt …	{0} grame	2 grame este/sunt …	{0} de grame	21 de grame este/sunt …
mass	grams	neuter	Un gram costă 5 €, două costă 9 €.	genitive	unui gram	… ale (celor) unui gram …	{0} grame	… ale (celor) 2 grame …	{0} de grame	… ale (celor) 21 de grame …
mass	ounce • ( = 28.349523125 g)	n/a	n/a	nominative	{0} uncie	1 uncie este/sunt …	{0} uncii	2 uncii este/sunt …	{0} de uncii	21 de uncii este/sunt …
mass	ounce • ( = 28.349523125 g)	n/a	n/a	genitive	{0} uncie	… ale (celor) 1 uncie …	{0} uncii	… ale (celor) 2 uncii …	{0} de uncii	… ale (celor) 21 de uncii …
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	nominative	{0} uncie monetară	1 uncie monetară este/sunt …	{0} uncii monetare	2 uncii monetare este/sunt …	{0} de uncii monetare	21 de uncii monetare este/sunt …
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	genitive	{0} uncie monetară	… ale (celor) 1 uncie monetară …	{0} uncii monetare	… ale (celor) 2 uncii monetare …	{0} de uncii monetare	… ale (celor) 21 de uncii monetare …
mass	pound • ( = 453.59237 g)	n/a	n/a	nominative	{0} livră	1 livră este/sunt …	{0} livre	2 livre este/sunt …	{0} de livre	21 de livre este/sunt …
mass	pound • ( = 453.59237 g)	n/a	n/a	genitive	{0} livră	… ale (celor) 1 livră …	{0} livre	… ale (celor) 2 livre …	{0} de livre	… ale (celor) 21 de livre …
mass	kilograms	neuter	Un kilogram costă 5 €, două costă 9 €.	nominative	{0} kilogram	1 kilogram este/sunt …	{0} kilograme	2 kilograme este/sunt …	{0} de kilograme	21 de kilograme este/sunt …
mass	kilograms	neuter	Un kilogram costă 5 €, două costă 9 €.	genitive	unui kilogram	… ale (celor) unui kilogram …	{0} kilograme	… ale (celor) 2 kilograme …	{0} de kilograme	… ale (celor) 21 de kilograme …
mass	stone • ( = 6.35029318 kg)	n/a	n/a	nominative	{0} stone	1 stone este/sunt …	{0} stone	2 stone este/sunt …	{0} de stone	21 de stone este/sunt …
mass	stone • ( = 6.35029318 kg)	n/a	n/a	genitive	{0} stone	… ale (celor) 1 stone …	{0} stone	… ale (celor) 2 stone …	{0} de stone	… ale (celor) 21 de stone …
mass	ton • ( = 0.90718474 t)	n/a	n/a	nominative	{0} tonă scurtă	1 tonă scurtă este/sunt …	{0} tone scurte	2 tone scurte este/sunt …	{0} de tone scurte	21 de tone scurte este/sunt …
mass	ton • ( = 0.90718474 t)	n/a	n/a	genitive	{0} tonă scurtă	… ale (celor) 1 tonă scurtă …	{0} tone scurte	… ale (celor) 2 tone scurte …	{0} de tone scurte	… ale (celor) 21 de tone scurte …
mass	metric tons	feminine	O tonă metrică costă 5 €.	nominative	{0} tonă metrică	1 tonă metrică este/sunt …	{0} tone metrice	2 tone metrice este/sunt …	{0} de tone metrice	21 de tone metrice este/sunt …
mass	metric tons	feminine	O tonă metrică costă 5 €.	genitive	unei tone metrice	… ale (celor) unei tone metrice …	{0} tone metrice	… ale (celor) 2 tone metrice …	{0} de tone metrice	… ale (celor) 21 de tone metrice …
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	nominative	{0} masă terestră	1 masă terestră este/sunt …	{0} mase terestre	2 mase terestre este/sunt …	{0} de mase terestre	21 de mase terestre este/sunt …
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	genitive	{0} masă terestră	… ale (celor) 1 masă terestră …	{0} mase terestre	… ale (celor) 2 mase terestre …	{0} de mase terestre	… ale (celor) 21 de mase terestre …
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	nominative	{0} masă solară	1 masă solară este/sunt …	{0} mase solare	2 mase solare este/sunt …	{0} de mase solare	21 de mase solare este/sunt …
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	genitive	{0} masă solară	… ale (celor) 1 masă solară …	{0} mase solare	… ale (celor) 2 mase solare …	{0} de mase solare	… ale (celor) 21 de mase solare …
night-duration	nights	n/a	n/a	nominative	{0} night	1 night este/sunt …	{0} night	2 night este/sunt …	{0} night	21 night este/sunt …
night-duration	nights	n/a	n/a	genitive	{0} night	… ale (celor) 1 night …	{0} night	… ale (celor) 2 night …	{0} night	… ale (celor) 21 night …
portion	parts per billion	n/a	n/a	nominative	{0} ppb	1 ppb este/sunt …	{0} ppb	2 ppb este/sunt …	{0} ppb	21 ppb este/sunt …
portion	parts per billion	n/a	n/a	genitive	{0} ppb	… ale (celor) 1 ppb …	{0} ppb	… ale (celor) 2 ppb …	{0} ppb	… ale (celor) 21 ppb …
portion	parts per million	feminine	O parte pe milion costă 5 €.	nominative	{0} parte pe milion	1 parte pe milion este/sunt …	{0} părți pe milion	2 părți pe milion este/sunt …	{0} de părți pe milion	21 de părți pe milion este/sunt …
portion	parts per million	feminine	O parte pe milion costă 5 €.	genitive	unei părți pe milion	… ale (celor) unei părți pe milion …	{0} părți pe milion	… ale (celor) 2 părți pe milion …	{0} de părți pe milion	… ale (celor) 21 de părți pe milion …
portion	permyriad	feminine	O la zece mii costă 5 €.	nominative	{0} la zece mii	1 la zece mii este/sunt …	{0} la zece mii	2 la zece mii este/sunt …	{0} la zece mii	21 la zece mii este/sunt …
portion	permyriad	feminine	O la zece mii costă 5 €.	genitive	unei părți la zece mii	… ale (celor) unei părți la zece mii …	{0} părți la zece mii	… ale (celor) 2 părți la zece mii …	{0} de părți la zece mii	… ale (celor) 21 de părți la zece mii …
portion	permille	feminine	O promilă costă 5 €.	nominative	{0} promilă	1 promilă este/sunt …	{0} promile	2 promile este/sunt …	{0} de promile	21 de promile este/sunt …
portion	permille	feminine	O promilă costă 5 €.	genitive	unei promile	… ale (celor) unei promile …	{0} promile	… ale (celor) 2 promile …	{0} de promile	… ale (celor) 21 de promile …
portion	percent	neuter	Un procent costă 5 €, două costă 9 €.	nominative	{0} procent	1 procent este/sunt …	{0} procente	2 procente este/sunt …	{0} de procente	21 de procente este/sunt …
portion	percent	neuter	Un procent costă 5 €, două costă 9 €.	genitive	unui procent	… ale (celor) unui procent …	{0} procente	… ale (celor) 2 procente …	{0} de procente	… ale (celor) 21 de procente …
portion	karat • ( = 4.1˙6%)	neuter	Un carat costă 5 €, două costă 9 €.	nominative	{0} carat	1 carat este/sunt …	{0} carate	2 carate este/sunt …	{0} de carate	21 de carate este/sunt …
portion	karat • ( = 4.1˙6%)	neuter	Un carat costă 5 €, două costă 9 €.	genitive	unui carat	… ale (celor) unui carat …	{0} carate	… ale (celor) 2 carate …	{0} de carate	… ale (celor) 21 de carate …
power	milliwatts	masculine	Un miliwatt costă 5 €, doi costă 9 €.	nominative	{0} miliwatt	1 miliwatt este/sunt …	{0} miliwați	2 miliwați este/sunt …	{0} de miliwați	21 de miliwați este/sunt …
power	milliwatts	masculine	Un miliwatt costă 5 €, doi costă 9 €.	genitive	unui miliwatt	… ale (celor) unui miliwatt …	{0} miliwați	… ale (celor) 2 miliwați …	{0} de miliwați	… ale (celor) 21 de miliwați …
power	watts	masculine	Un watt costă 5 €, doi costă 9 €.	nominative	{0} watt	1 watt este/sunt …	{0} wați	2 wați este/sunt …	{0} de wați	21 de wați este/sunt …
power	watts	masculine	Un watt costă 5 €, doi costă 9 €.	genitive	unui watt	… ale (celor) unui watt …	{0} wați	… ale (celor) 2 wați …	{0} de wați	… ale (celor) 21 de wați …
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	nominative	{0} cal putere	1 cal putere este/sunt …	{0} cai putere	2 cai putere este/sunt …	{0} de cai putere	21 de cai putere este/sunt …
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	genitive	{0} cal putere	… ale (celor) 1 cal putere …	{0} cai putere	… ale (celor) 2 cai putere …	{0} de cai putere	… ale (celor) 21 de cai putere …
power	kilowatts	masculine	Un kilowatt costă 5 €, doi costă 9 €.	nominative	{0} kilowatt	1 kilowatt este/sunt …	{0} kilowați	2 kilowați este/sunt …	{0} de kilowați	21 de kilowați este/sunt …
power	kilowatts	masculine	Un kilowatt costă 5 €, doi costă 9 €.	genitive	unui kilowatt	… ale (celor) unui kilowatt …	{0} kilowați	… ale (celor) 2 kilowați …	{0} de kilowați	… ale (celor) 21 de kilowați …
power	megawatts	masculine	Un megawatt costă 5 €, doi costă 9 €.	nominative	{0} megawatt	1 megawatt este/sunt …	{0} megawați	2 megawați este/sunt …	{0} de megawați	21 de megawați este/sunt …
power	megawatts	masculine	Un megawatt costă 5 €, doi costă 9 €.	genitive	unui megawatt	… ale (celor) unui megawatt …	{0} megawați	… ale (celor) 2 megawați …	{0} de megawați	… ale (celor) 21 de megawați …
power	gigawatts	masculine	Un gigawatt costă 5 €, doi costă 9 €.	nominative	{0} gigawatt	1 gigawatt este/sunt …	{0} gigawați	2 gigawați este/sunt …	{0} de gigawați	21 de gigawați este/sunt …
power	gigawatts	masculine	Un gigawatt costă 5 €, doi costă 9 €.	genitive	unui gigawatt	… ale (celor) unui gigawatt …	{0} gigawați	… ale (celor) 2 gigawați …	{0} de gigawați	… ale (celor) 21 de gigawați …
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	nominative	{0} luminozitate solară	1 luminozitate solară este/sunt …	{0} luminozități solare	2 luminozități solare este/sunt …	{0} de luminozități solare	21 de luminozități solare este/sunt …
