# Grammatical Features
#Locale	ID	Feature	Usage	Values
Czech	cs	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalGender	general	animate, inanimate, feminine, neuter
Czech	cs	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} den	<div class='cldr_example'><span class='cldr_substituted'>1</span> den</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> den</div>
Plural	few	{0} dny	<div class='cldr_example'><span class='cldr_substituted'>2</span> dny</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dny</div>
Plural	many	{0} dne	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> dne</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dne</div>
Plural	other	{0} dní	<div class='cldr_example'><span class='cldr_substituted'>5</span> dní</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dní</div>
Case (for measurement units)	nominative	Chybí ještě {0}.	<div class='cldr_example'>Chybí ještě <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Chybí ještě <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	accusative	Naměřili jsme {0}.	<div class='cldr_example'>Naměřili jsme <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Naměřili jsme <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	genitive	Bez {0} se obejdeme.	<div class='cldr_example'>Bez <span class='cldr_substituted'>10,0 metru čtverečního</span> se obejdeme.</div><div class='cldr_example'>❌  Bez <span class='cldr_substituted'>1 metr čtvereční</span> se obejdeme.</div>
Case (for measurement units)	locative	Po {0} se zastavil.	<div class='cldr_example'>Po <span class='cldr_substituted'>1 metru čtverečním</span> se zastavil.</div><div class='cldr_example'>❌  Po <span class='cldr_substituted'>1 metr čtvereční</span> se zastavil.</div>
Case (for measurement units)	dative	Díky {0} navíc to mohl stihnout.	<div class='cldr_example'>Díky <span class='cldr_substituted'>1 metru čtverečnímu</span> navíc to mohl stihnout.</div><div class='cldr_example'>❌  Díky <span class='cldr_substituted'>1 metr čtvereční</span> navíc to mohl stihnout.</div>
Case (for measurement units)	instrumental	Spokojíme se s {0}.	<div class='cldr_example'>Spokojíme se s <span class='cldr_substituted'>1 metrem čtverečním</span>.</div><div class='cldr_example'>❌  Spokojíme se s <span class='cldr_substituted'>1 metr čtvereční</span>.</div>
Gender (for measurement units)	inanimate	Jeden {0} stál 135 Kč.	<div class='cldr_example'>Jeden <span class='cldr_substituted'>den</span> stál 135 Kč.</div><div class='cldr_example'>❌  Jeden <span class='cldr_substituted'>hodina</span> stál 135 Kč.</div>
Gender (for measurement units)	feminine	Jedna {0} stála 135 Kč.	<div class='cldr_example'>Jedna <span class='cldr_substituted'>hodina</span> stála 135 Kč.</div><div class='cldr_example'>❌  Jedna <span class='cldr_substituted'>den</span> stála 135 Kč.</div>
Gender (for measurement units)	neuter	Jedno {0} stálo 135 Kč.	<div class='cldr_example'>Jedno <span class='cldr_substituted'>století</span> stálo 135 Kč.</div><div class='cldr_example'>❌  Jedno <span class='cldr_substituted'>hodina</span> stálo 135 Kč.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 0.1	Pattern for other	Case MP + pattern with 5.0
digital	megabyte • ( = 8 Mb)	inanimate	Jeden megabajt stál 135 Kč.	nominative	{0} megabajt	Chybí ještě 1 megabajt.	{0} megabajty	Chybí ještě 3 megabajty.	{0} megabajtu	Chybí ještě 0,1 megabajtu.	{0} megabajtů	Chybí ještě 5 megabajtů.
digital	megabyte • ( = 8 Mb)	inanimate	Jeden megabajt stál 135 Kč.	accusative	{0} megabajt	Naměřili jsme 1 megabajt.	{0} megabajty	Naměřili jsme 3 megabajty.	{0} megabajtu	Naměřili jsme 0,1 megabajtu.	{0} megabajtů	Naměřili jsme 5 megabajtů.
digital	megabyte • ( = 8 Mb)	inanimate	Jeden megabajt stál 135 Kč.	genitive	{0} megabajtu	Bez 1 megabajtu se obejdeme.	{0} megabajtů	Bez 3 megabajtů se obejdeme.	{0} megabajtu	Bez 0,1 megabajtu se obejdeme.	{0} megabajtů	Bez 5 megabajtů se obejdeme.
digital	megabyte • ( = 8 Mb)	inanimate	Jeden megabajt stál 135 Kč.	locative	{0} megabajtu	Po 1 megabajtu se zastavil.	{0} megabajtech	Po 3 megabajtech se zastavil.	{0} megabajtu	Po 0,1 megabajtu se zastavil.	{0} megabajtech	Po 5 megabajtech se zastavil.
digital	megabyte • ( = 8 Mb)	inanimate	Jeden megabajt stál 135 Kč.	dative	{0} megabajtu	Díky 1 megabajtu navíc to mohl stihnout.	{0} megabajtům	Díky 3 megabajtům navíc to mohl stihnout.	{0} megabajtu	Díky 0,1 megabajtu navíc to mohl stihnout.	{0} megabajtům	Díky 5 megabajtům navíc to mohl stihnout.
digital	megabyte • ( = 8 Mb)	inanimate	Jeden megabajt stál 135 Kč.	instrumental	{0} megabajtem	Spokojíme se s 1 megabajtem.	{0} megabajty	Spokojíme se s 3 megabajty.	{0} megabajtu	Spokojíme se s 0,1 megabajtu.	{0} megabajty	Spokojíme se s 5 megabajty.
digital	gigabits	inanimate	Jeden gigabit stál 135 Kč.	nominative	{0} gigabit	Chybí ještě 1 gigabit.	{0} gigabity	Chybí ještě 3 gigabity.	{0} gigabitu	Chybí ještě 0,1 gigabitu.	{0} gigabitů	Chybí ještě 5 gigabitů.
digital	gigabits	inanimate	Jeden gigabit stál 135 Kč.	accusative	{0} gigabit	Naměřili jsme 1 gigabit.	{0} gigabity	Naměřili jsme 3 gigabity.	{0} gigabitu	Naměřili jsme 0,1 gigabitu.	{0} gigabitů	Naměřili jsme 5 gigabitů.
digital	gigabits	inanimate	Jeden gigabit stál 135 Kč.	genitive	{0} gigabitu	Bez 1 gigabitu se obejdeme.	{0} gigabitů	Bez 3 gigabitů se obejdeme.	{0} gigabitu	Bez 0,1 gigabitu se obejdeme.	{0} gigabitů	Bez 5 gigabitů se obejdeme.
digital	gigabits	inanimate	Jeden gigabit stál 135 Kč.	locative	{0} gigabitu	Po 1 gigabitu se zastavil.	{0} gigabitech	Po 3 gigabitech se zastavil.	{0} gigabitu	Po 0,1 gigabitu se zastavil.	{0} gigabitech	Po 5 gigabitech se zastavil.
digital	gigabits	inanimate	Jeden gigabit stál 135 Kč.	dative	{0} gigabitu	Díky 1 gigabitu navíc to mohl stihnout.	{0} gigabitům	Díky 3 gigabitům navíc to mohl stihnout.	{0} gigabitu	Díky 0,1 gigabitu navíc to mohl stihnout.	{0} gigabitům	Díky 5 gigabitům navíc to mohl stihnout.
digital	gigabits	inanimate	Jeden gigabit stál 135 Kč.	instrumental	{0} gigabitem	Spokojíme se s 1 gigabitem.	{0} gigabity	Spokojíme se s 3 gigabity.	{0} gigabitu	Spokojíme se s 0,1 gigabitu.	{0} gigabity	Spokojíme se s 5 gigabity.
digital	gigabyte • ( = 8 Gb)	inanimate	Jeden gigabajt stál 135 Kč.	nominative	{0} gigabajt	Chybí ještě 1 gigabajt.	{0} gigabajty	Chybí ještě 3 gigabajty.	{0} gigabajtu	Chybí ještě 0,1 gigabajtu.	{0} gigabajtů	Chybí ještě 5 gigabajtů.
digital	gigabyte • ( = 8 Gb)	inanimate	Jeden gigabajt stál 135 Kč.	accusative	{0} gigabajt	Naměřili jsme 1 gigabajt.	{0} gigabajty	Naměřili jsme 3 gigabajty.	{0} gigabajtu	Naměřili jsme 0,1 gigabajtu.	{0} gigabajtů	Naměřili jsme 5 gigabajtů.
digital	gigabyte • ( = 8 Gb)	inanimate	Jeden gigabajt stál 135 Kč.	genitive	{0} gigabajtu	Bez 1 gigabajtu se obejdeme.	{0} gigabajtů	Bez 3 gigabajtů se obejdeme.	{0} gigabajtu	Bez 0,1 gigabajtu se obejdeme.	{0} gigabajtů	Bez 5 gigabajtů se obejdeme.
digital	gigabyte • ( = 8 Gb)	inanimate	Jeden gigabajt stál 135 Kč.	locative	{0} gigabajtu	Po 1 gigabajtu se zastavil.	{0} gigabajtech	Po 3 gigabajtech se zastavil.	{0} gigabajtu	Po 0,1 gigabajtu se zastavil.	{0} gigabajtech	Po 5 gigabajtech se zastavil.
digital	gigabyte • ( = 8 Gb)	inanimate	Jeden gigabajt stál 135 Kč.	dative	{0} gigabajtu	Díky 1 gigabajtu navíc to mohl stihnout.	{0} gigabajtům	Díky 3 gigabajtům navíc to mohl stihnout.	{0} gigabajtu	Díky 0,1 gigabajtu navíc to mohl stihnout.	{0} gigabajtům	Díky 5 gigabajtům navíc to mohl stihnout.
digital	gigabyte • ( = 8 Gb)	inanimate	Jeden gigabajt stál 135 Kč.	instrumental	{0} gigabajtem	Spokojíme se s 1 gigabajtem.	{0} gigabajty	Spokojíme se s 3 gigabajty.	{0} gigabajtu	Spokojíme se s 0,1 gigabajtu.	{0} gigabajty	Spokojíme se s 5 gigabajty.
digital	terabits	inanimate	Jeden terabit stál 135 Kč.	nominative	{0} terabit	Chybí ještě 1 terabit.	{0} terabity	Chybí ještě 3 terabity.	{0} terabitu	Chybí ještě 0,1 terabitu.	{0} terabitů	Chybí ještě 5 terabitů.
digital	terabits	inanimate	Jeden terabit stál 135 Kč.	accusative	{0} terabit	Naměřili jsme 1 terabit.	{0} terabity	Naměřili jsme 3 terabity.	{0} terabitu	Naměřili jsme 0,1 terabitu.	{0} terabitů	Naměřili jsme 5 terabitů.
digital	terabits	inanimate	Jeden terabit stál 135 Kč.	genitive	{0} terabitu	Bez 1 terabitu se obejdeme.	{0} terabitů	Bez 3 terabitů se obejdeme.	{0} terabitu	Bez 0,1 terabitu se obejdeme.	{0} terabitů	Bez 5 terabitů se obejdeme.
digital	terabits	inanimate	Jeden terabit stál 135 Kč.	locative	{0} terabitu	Po 1 terabitu se zastavil.	{0} terabitech	Po 3 terabitech se zastavil.	{0} terabitu	Po 0,1 terabitu se zastavil.	{0} terabitech	Po 5 terabitech se zastavil.
digital	terabits	inanimate	Jeden terabit stál 135 Kč.	dative	{0} terabitu	Díky 1 terabitu navíc to mohl stihnout.	{0} terabitům	Díky 3 terabitům navíc to mohl stihnout.	{0} terabitu	Díky 0,1 terabitu navíc to mohl stihnout.	{0} terabitům	Díky 5 terabitům navíc to mohl stihnout.
digital	terabits	inanimate	Jeden terabit stál 135 Kč.	instrumental	{0} terabitem	Spokojíme se s 1 terabitem.	{0} terabity	Spokojíme se s 3 terabity.	{0} terabitu	Spokojíme se s 0,1 terabitu.	{0} terabity	Spokojíme se s 5 terabity.
digital	terabyte • ( = 8 Tb)	inanimate	Jeden terabajt stál 135 Kč.	nominative	{0} terabajt	Chybí ještě 1 terabajt.	{0} terabajty	Chybí ještě 3 terabajty.	{0} terabajtu	Chybí ještě 0,1 terabajtu.	{0} terabajtů	Chybí ještě 5 terabajtů.
digital	terabyte • ( = 8 Tb)	inanimate	Jeden terabajt stál 135 Kč.	accusative	{0} terabajt	Naměřili jsme 1 terabajt.	{0} terabajty	Naměřili jsme 3 terabajty.	{0} terabajtu	Naměřili jsme 0,1 terabajtu.	{0} terabajtů	Naměřili jsme 5 terabajtů.
digital	terabyte • ( = 8 Tb)	inanimate	Jeden terabajt stál 135 Kč.	genitive	{0} terabajtu	Bez 1 terabajtu se obejdeme.	{0} terabajtů	Bez 3 terabajtů se obejdeme.	{0} terabajtu	Bez 0,1 terabajtu se obejdeme.	{0} terabajtů	Bez 5 terabajtů se obejdeme.
digital	terabyte • ( = 8 Tb)	inanimate	Jeden terabajt stál 135 Kč.	locative	{0} terabajtu	Po 1 terabajtu se zastavil.	{0} terabajtech	Po 3 terabajtech se zastavil.	{0} terabajtu	Po 0,1 terabajtu se zastavil.	{0} terabajtech	Po 5 terabajtech se zastavil.
digital	terabyte • ( = 8 Tb)	inanimate	Jeden terabajt stál 135 Kč.	dative	{0} terabajtu	Díky 1 terabajtu navíc to mohl stihnout.	{0} terabajtům	Díky 3 terabajtům navíc to mohl stihnout.	{0} terabajtu	Díky 0,1 terabajtu navíc to mohl stihnout.	{0} terabajtům	Díky 5 terabajtům navíc to mohl stihnout.
digital	terabyte • ( = 8 Tb)	inanimate	Jeden terabajt stál 135 Kč.	instrumental	{0} terabajtem	Spokojíme se s 1 terabajtem.	{0} terabajty	Spokojíme se s 3 terabajty.	{0} terabajtu	Spokojíme se s 0,1 terabajtu.	{0} terabajty	Spokojíme se s 5 terabajty.
digital	petabyte • ( = 8000 Tb)	inanimate	Jeden petabajt stál 135 Kč.	nominative	{0} petabajt	Chybí ještě 1 petabajt.	{0} petabajty	Chybí ještě 3 petabajty.	{0} petabajtu	Chybí ještě 0,1 petabajtu.	{0} petabajtů	Chybí ještě 5 petabajtů.
digital	petabyte • ( = 8000 Tb)	inanimate	Jeden petabajt stál 135 Kč.	accusative	{0} petabajt	Naměřili jsme 1 petabajt.	{0} petabajty	Naměřili jsme 3 petabajty.	{0} petabajtu	Naměřili jsme 0,1 petabajtu.	{0} petabajtů	Naměřili jsme 5 petabajtů.
digital	petabyte • ( = 8000 Tb)	inanimate	Jeden petabajt stál 135 Kč.	genitive	{0} petabajtu	Bez 1 petabajtu se obejdeme.	{0} petabajtů	Bez 3 petabajtů se obejdeme.	{0} petabajtu	Bez 0,1 petabajtu se obejdeme.	{0} petabajtů	Bez 5 petabajtů se obejdeme.
digital	petabyte • ( = 8000 Tb)	inanimate	Jeden petabajt stál 135 Kč.	locative	{0} petabajtu	Po 1 petabajtu se zastavil.	{0} petabajtech	Po 3 petabajtech se zastavil.	{0} petabajtu	Po 0,1 petabajtu se zastavil.	{0} petabajtech	Po 5 petabajtech se zastavil.
digital	petabyte • ( = 8000 Tb)	inanimate	Jeden petabajt stál 135 Kč.	dative	{0} petabajtu	Díky 1 petabajtu navíc to mohl stihnout.	{0} petabajtům	Díky 3 petabajtům navíc to mohl stihnout.	{0} petabajtu	Díky 0,1 petabajtu navíc to mohl stihnout.	{0} petabajtům	Díky 5 petabajtům navíc to mohl stihnout.
digital	petabyte • ( = 8000 Tb)	inanimate	Jeden petabajt stál 135 Kč.	instrumental	{0} petabajtem	Spokojíme se s 1 petabajtem.	{0} petabajty	Spokojíme se s 3 petabajty.	{0} petabajtu	Spokojíme se s 0,1 petabajtu.	{0} petabajty	Spokojíme se s 5 petabajty.
duration	nanoseconds	feminine	Jedna nanosekunda stála 135 Kč.	nominative	{0} nanosekunda	Chybí ještě 1 nanosekunda.	{0} nanosekundy	Chybí ještě 3 nanosekundy.	{0} nanosekundy	Chybí ještě 0,1 nanosekundy.	{0} nanosekund	Chybí ještě 5 nanosekund.
duration	nanoseconds	feminine	Jedna nanosekunda stála 135 Kč.	accusative	{0} nanosekundu	Naměřili jsme 1 nanosekundu.	{0} nanosekundy	Naměřili jsme 3 nanosekundy.	{0} nanosekundy	Naměřili jsme 0,1 nanosekundy.	{0} nanosekund	Naměřili jsme 5 nanosekund.
duration	nanoseconds	feminine	Jedna nanosekunda stála 135 Kč.	genitive	{0} nanosekundy	Bez 1 nanosekundy se obejdeme.	{0} nanosekund	Bez 3 nanosekund se obejdeme.	{0} nanosekundy	Bez 0,1 nanosekundy se obejdeme.	{0} nanosekund	Bez 5 nanosekund se obejdeme.
duration	nanoseconds	feminine	Jedna nanosekunda stála 135 Kč.	locative	{0} nanosekundě	Po 1 nanosekundě se zastavil.	{0} nanosekundách	Po 3 nanosekundách se zastavil.	{0} nanosekundy	Po 0,1 nanosekundy se zastavil.	{0} nanosekundách	Po 5 nanosekundách se zastavil.
duration	nanoseconds	feminine	Jedna nanosekunda stála 135 Kč.	dative	{0} nanosekundě	Díky 1 nanosekundě navíc to mohl stihnout.	{0} nanosekundám	Díky 3 nanosekundám navíc to mohl stihnout.	{0} nanosekundy	Díky 0,1 nanosekundy navíc to mohl stihnout.	{0} nanosekundám	Díky 5 nanosekundám navíc to mohl stihnout.
duration	nanoseconds	feminine	Jedna nanosekunda stála 135 Kč.	instrumental	{0} nanosekundou	Spokojíme se s 1 nanosekundou.	{0} nanosekundami	Spokojíme se s 3 nanosekundami.	{0} nanosekundy	Spokojíme se s 0,1 nanosekundy.	{0} nanosekundami	Spokojíme se s 5 nanosekundami.
duration	microseconds	feminine	Jedna mikrosekunda stála 135 Kč.	nominative	{0} mikrosekunda	Chybí ještě 1 mikrosekunda.	{0} mikrosekundy	Chybí ještě 3 mikrosekundy.	{0} mikrosekundy	Chybí ještě 0,1 mikrosekundy.	{0} mikrosekund	Chybí ještě 5 mikrosekund.
duration	microseconds	feminine	Jedna mikrosekunda stála 135 Kč.	accusative	{0} mikrosekundu	Naměřili jsme 1 mikrosekundu.	{0} mikrosekundy	Naměřili jsme 3 mikrosekundy.	{0} mikrosekundy	Naměřili jsme 0,1 mikrosekundy.	{0} mikrosekund	Naměřili jsme 5 mikrosekund.
duration	microseconds	feminine	Jedna mikrosekunda stála 135 Kč.	genitive	{0} mikrosekundy	Bez 1 mikrosekundy se obejdeme.	{0} mikrosekund	Bez 3 mikrosekund se obejdeme.	{0} mikrosekundy	Bez 0,1 mikrosekundy se obejdeme.	{0} mikrosekund	Bez 5 mikrosekund se obejdeme.
duration	microseconds	feminine	Jedna mikrosekunda stála 135 Kč.	locative	{0} mikrosekundě	Po 1 mikrosekundě se zastavil.	{0} mikrosekundách	Po 3 mikrosekundách se zastavil.	{0} mikrosekundy	Po 0,1 mikrosekundy se zastavil.	{0} mikrosekundách	Po 5 mikrosekundách se zastavil.
duration	microseconds	feminine	Jedna mikrosekunda stála 135 Kč.	dative	{0} mikrosekundě	Díky 1 mikrosekundě navíc to mohl stihnout.	{0} mikrosekundám	Díky 3 mikrosekundám navíc to mohl stihnout.	{0} mikrosekundy	Díky 0,1 mikrosekundy navíc to mohl stihnout.	{0} mikrosekundám	Díky 5 mikrosekundám navíc to mohl stihnout.
duration	microseconds	feminine	Jedna mikrosekunda stála 135 Kč.	instrumental	{0} mikrosekundou	Spokojíme se s 1 mikrosekundou.	{0} mikrosekundami	Spokojíme se s 3 mikrosekundami.	{0} mikrosekundy	Spokojíme se s 0,1 mikrosekundy.	{0} mikrosekundami	Spokojíme se s 5 mikrosekundami.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	nominative	{0} milisekunda	Chybí ještě 1 milisekunda.	{0} milisekundy	Chybí ještě 3 milisekundy.	{0} milisekundy	Chybí ještě 0,1 milisekundy.	{0} milisekund	Chybí ještě 5 milisekund.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	accusative	{0} milisekundu	Naměřili jsme 1 milisekundu.	{0} milisekundy	Naměřili jsme 3 milisekundy.	{0} milisekundy	Naměřili jsme 0,1 milisekundy.	{0} milisekund	Naměřili jsme 5 milisekund.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	genitive	{0} milisekundy	Bez 1 milisekundy se obejdeme.	{0} milisekund	Bez 3 milisekund se obejdeme.	{0} milisekundy	Bez 0,1 milisekundy se obejdeme.	{0} milisekund	Bez 5 milisekund se obejdeme.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	locative	{0} milisekundě	Po 1 milisekundě se zastavil.	{0} milisekundách	Po 3 milisekundách se zastavil.	{0} milisekundy	Po 0,1 milisekundy se zastavil.	{0} milisekundách	Po 5 milisekundách se zastavil.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	dative	{0} milisekundě	Díky 1 milisekundě navíc to mohl stihnout.	{0} milisekundám	Díky 3 milisekundám navíc to mohl stihnout.	{0} milisekundy	Díky 0,1 milisekundy navíc to mohl stihnout.	{0} milisekundám	Díky 5 milisekundám navíc to mohl stihnout.
duration	milliseconds	feminine	Jedna milisekunda stála 135 Kč.	instrumental	{0} milisekundou	Spokojíme se s 1 milisekundou.	{0} milisekundami	Spokojíme se s 3 milisekundami.	{0} milisekundy	Spokojíme se s 0,1 milisekundy.	{0} milisekundami	Spokojíme se s 5 milisekundami.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	nominative	{0} sekunda	Chybí ještě 1 sekunda.	{0} sekundy	Chybí ještě 3 sekundy.	{0} sekundy	Chybí ještě 0,1 sekundy.	{0} sekund	Chybí ještě 5 sekund.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	accusative	{0} sekundu	Naměřili jsme 1 sekundu.	{0} sekundy	Naměřili jsme 3 sekundy.	{0} sekundy	Naměřili jsme 0,1 sekundy.	{0} sekund	Naměřili jsme 5 sekund.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	genitive	{0} sekundy	Bez 1 sekundy se obejdeme.	{0} sekund	Bez 3 sekund se obejdeme.	{0} sekundy	Bez 0,1 sekundy se obejdeme.	{0} sekund	Bez 5 sekund se obejdeme.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	locative	{0} sekundě	Po 1 sekundě se zastavil.	{0} sekundách	Po 3 sekundách se zastavil.	{0} sekundy	Po 0,1 sekundy se zastavil.	{0} sekundách	Po 5 sekundách se zastavil.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	dative	{0} sekundě	Díky 1 sekundě navíc to mohl stihnout.	{0} sekundám	Díky 3 sekundám navíc to mohl stihnout.	{0} sekundy	Díky 0,1 sekundy navíc to mohl stihnout.	{0} sekundám	Díky 5 sekundám navíc to mohl stihnout.
duration	seconds	feminine	Jedna sekunda stála 135 Kč.	instrumental	{0} sekundou	Spokojíme se s 1 sekundou.	{0} sekundami	Spokojíme se s 3 sekundami.	{0} sekundy	Spokojíme se s 0,1 sekundy.	{0} sekundami	Spokojíme se s 5 sekundami.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	nominative	{0} minuta	Chybí ještě 1 minuta.	{0} minuty	Chybí ještě 3 minuty.	{0} minuty	Chybí ještě 0,1 minuty.	{0} minut	Chybí ještě 5 minut.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	accusative	{0} minutu	Naměřili jsme 1 minutu.	{0} minuty	Naměřili jsme 3 minuty.	{0} minuty	Naměřili jsme 0,1 minuty.	{0} minut	Naměřili jsme 5 minut.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	genitive	{0} minuty	Bez 1 minuty se obejdeme.	{0} minut	Bez 3 minut se obejdeme.	{0} minuty	Bez 0,1 minuty se obejdeme.	{0} minut	Bez 5 minut se obejdeme.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	locative	{0} minutě	Po 1 minutě se zastavil.	{0} minutách	Po 3 minutách se zastavil.	{0} minuty	Po 0,1 minuty se zastavil.	{0} minutách	Po 5 minutách se zastavil.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	dative	{0} minutě	Díky 1 minutě navíc to mohl stihnout.	{0} minutám	Díky 3 minutám navíc to mohl stihnout.	{0} minuty	Díky 0,1 minuty navíc to mohl stihnout.	{0} minutám	Díky 5 minutám navíc to mohl stihnout.
duration	minute • ( = 60 sec)	feminine	Jedna minuta stála 135 Kč.	instrumental	{0} minutou	Spokojíme se s 1 minutou.	{0} minutami	Spokojíme se s 3 minutami.	{0} minuty	Spokojíme se s 0,1 minuty.	{0} minutami	Spokojíme se s 5 minutami.
duration	hour • ( = 3600 sec)	feminine	Jedna hodina stála 135 Kč.	nominative	{0} hodina	Chybí ještě 1 hodina.	{0} hodiny	Chybí ještě 3 hodiny.	{0} hodiny	Chybí ještě 0,1 hodiny.	{0} hodin	Chybí ještě 5 hodin.
duration	hour • ( = 3600 sec)	feminine	Jedna hodina stála 135 Kč.	accusative	{0} hodinu	Naměřili jsme 1 hodinu.	{0} hodiny	Naměřili jsme 3 hodiny.	{0} hodiny	Naměřili jsme 0,1 hodiny.	{0} hodin	Naměřili jsme 5 hodin.
duration	hour • ( = 3600 sec)	feminine	Jedna hodina stála 135 Kč.	genitive	{0} hodiny	Bez 1 hodiny se obejdeme.	{0} hodin	Bez 3 hodin se obejdeme.	{0} hodiny	Bez 0,1 hodiny se obejdeme.	{0} hodin	Bez 5 hodin se obejdeme.
duration	hour • ( = 3600 sec)	feminine	Jedna hodina stála 135 Kč.	locative	{0} hodině	Po 1 hodině se zastavil.	{0} hodinách	Po 3 hodinách se zastavil.	{0} hodiny	Po 0,1 hodiny se zastavil.	{0} hodinách	Po 5 hodinách se zastavil.
duration	hour • ( = 3600 sec)	feminine	Jedna hodina stála 135 Kč.	dative	{0} hodině	Díky 1 hodině navíc to mohl stihnout.	{0} hodinám	Díky 3 hodinám navíc to mohl stihnout.	{0} hodiny	Díky 0,1 hodiny navíc to mohl stihnout.	{0} hodinám	Díky 5 hodinám navíc to mohl stihnout.
duration	hour • ( = 3600 sec)	feminine	Jedna hodina stála 135 Kč.	instrumental	{0} hodinou	Spokojíme se s 1 hodinou.	{0} hodinami	Spokojíme se s 3 hodinami.	{0} hodiny	Spokojíme se s 0,1 hodiny.	{0} hodinami	Spokojíme se s 5 hodinami.
duration	day • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	nominative	{0} den	Chybí ještě 1 den.	{0} dny	Chybí ještě 3 dny.	{0} dne	Chybí ještě 0,1 dne.	{0} dnů	Chybí ještě 5 dnů.
duration	day • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	accusative	{0} den	Naměřili jsme 1 den.	{0} dny	Naměřili jsme 3 dny.	{0} dne	Naměřili jsme 0,1 dne.	{0} dnů	Naměřili jsme 5 dnů.
duration	day • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	genitive	{0} dne	Bez 1 dne se obejdeme.	{0} dnů	Bez 3 dnů se obejdeme.	{0} dne	Bez 0,1 dne se obejdeme.	{0} dnů	Bez 5 dnů se obejdeme.
duration	day • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	locative	{0} dnu	Po 1 dnu se zastavil.	{0} dnech	Po 3 dnech se zastavil.	{0} dne	Po 0,1 dne se zastavil.	{0} dnech	Po 5 dnech se zastavil.
duration	day • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	dative	{0} dni	Díky 1 dni navíc to mohl stihnout.	{0} dnům	Díky 3 dnům navíc to mohl stihnout.	{0} dne	Díky 0,1 dne navíc to mohl stihnout.	{0} dnům	Díky 5 dnům navíc to mohl stihnout.
duration	day • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	instrumental	{0} dnem	Spokojíme se s 1 dnem.	{0} dny	Spokojíme se s 3 dny.	{0} dne	Spokojíme se s 0,1 dne.	{0} dny	Spokojíme se s 5 dny.
duration	day-person • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	nominative	{0} den	Chybí ještě 1 den.	{0} dny	Chybí ještě 3 dny.	{0} dne	Chybí ještě 0,1 dne.	{0} dnů	Chybí ještě 5 dnů.
duration	day-person • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	accusative	{0} den	Naměřili jsme 1 den.	{0} dny	Naměřili jsme 3 dny.	{0} dne	Naměřili jsme 0,1 dne.	{0} dnů	Naměřili jsme 5 dnů.
duration	day-person • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	genitive	{0} dne	Bez 1 dne se obejdeme.	{0} dnů	Bez 3 dnů se obejdeme.	{0} dne	Bez 0,1 dne se obejdeme.	{0} dnů	Bez 5 dnů se obejdeme.
duration	day-person • ( = 86400 sec)	inanimate	Jeden den stál 135 Kč.	locative	{0} den	Po 1 den se zastavil.	{0} dny	Po 3 dny se zastavil.	{0} dne	Po 0,1 dne se zastavil.	{0} dnů	Po 5 dnů se zastavil.
