# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
energy	joules	masculine	On džul	accusative	{0} džul	čez 101 džul	{0} džula	čez 102 džula	{0} džule	čez 4 džule	{0} džulov	čez 5 džulov
energy	joules	masculine	On džul	genitive	{0} džula	brez 101 džula	{0} džulov	brez 102 džulov	{0} džulov	brez 4 džulov	{0} džulov	brez 5 džulov
energy	joules	masculine	On džul	locative	{0} džulu	po 101 džulu	{0} džulih	po 102 džulih	{0} džulih	po 4 džulih	{0} džulih	po 5 džulih
energy	joules	masculine	On džul	dative	{0} džulu	kljub 101 džulu	{0} džuloma	kljub 102 džuloma	{0} džulom	kljub 4 džulom	{0} džulom	kljub 5 džulom
energy	joules	masculine	On džul	instrumental	{0} džulom	s/z 101 džulom	{0} džuloma	s/z 102 džuloma	{0} džuli	s/z 4 džuli	{0} džuli	s/z 5 džuli
energy	newton-meter • ( = 1 J)	masculine	On newton meter	nominative	{0} newton meter	101 newton meter je	{0} newton metra	102 newton metra je	{0} newton metri	4 newton metri je	{0} newton metrov	5 newton metrov je
energy	newton-meter • ( = 1 J)	masculine	On newton meter	accusative	{0} newton meter	čez 101 newton meter	{0} newton metra	čez 102 newton metra	{0} newton metre	čez 4 newton metre	{0} newton metrov	čez 5 newton metrov
energy	newton-meter • ( = 1 J)	masculine	On newton meter	genitive	{0} newton metra	brez 101 newton metra	{0} newton metrov	brez 102 newton metrov	{0} newton metrov	brez 4 newton metrov	{0} newton metrov	brez 5 newton metrov
energy	newton-meter • ( = 1 J)	masculine	On newton meter	locative	{0} newton metru	po 101 newton metru	{0} newton metrih	po 102 newton metrih	{0} newton metrih	po 4 newton metrih	{0} newton metrih	po 5 newton metrih
energy	newton-meter • ( = 1 J)	masculine	On newton meter	dative	{0} newton metru	kljub 101 newton metru	{0} newton metroma	kljub 102 newton metroma	{0} newton metrom	kljub 4 newton metrom	{0} newton metrom	kljub 5 newton metrom
energy	newton-meter • ( = 1 J)	masculine	On newton meter	instrumental	{0} newton metrom	s/z 101 newton metrom	{0} newton metroma	s/z 102 newton metroma	{0} newton metri	s/z 4 newton metri	{0} newton metri	s/z 5 newton metri
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	nominative	{0} funt-čevelj	101 funt-čevelj je	{0} funt-čevlja	102 funt-čevlja je	{0} funt-čevlji	4 funt-čevlji je	{0} funt-čevljev	5 funt-čevljev je
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	accusative	{0} funt-čevelj	čez 101 funt-čevelj	{0} funt-čevlja	čez 102 funt-čevlja	{0} funt-čevlji	čez 4 funt-čevlji	{0} funt-čevljev	čez 5 funt-čevljev
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	genitive	{0} funt-čevelj	brez 101 funt-čevelj	{0} funt-čevlja	brez 102 funt-čevlja	{0} funt-čevlji	brez 4 funt-čevlji	{0} funt-čevljev	brez 5 funt-čevljev
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	locative	{0} funt-čevelj	po 101 funt-čevelj	{0} funt-čevlja	po 102 funt-čevlja	{0} funt-čevlji	po 4 funt-čevlji	{0} funt-čevljev	po 5 funt-čevljev
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	dative	{0} funt-čevelj	kljub 101 funt-čevelj	{0} funt-čevlja	kljub 102 funt-čevlja	{0} funt-čevlji	kljub 4 funt-čevlji	{0} funt-čevljev	kljub 5 funt-čevljev
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	instrumental	{0} funt-čevelj	s/z 101 funt-čevelj	{0} funt-čevlja	s/z 102 funt-čevlja	{0} funt-čevlji	s/z 4 funt-čevlji	{0} funt-čevljev	s/z 5 funt-čevljev
energy	calorie • ( = 4.184 J)	feminine	Ona kalorija	nominative	{0} kalorija	101 kalorija je	{0} kaloriji	102 kaloriji je	{0} kalorije	4 kalorije je	{0} kalorij	5 kalorij je
energy	calorie • ( = 4.184 J)	feminine	Ona kalorija	accusative	{0} kalorijo	čez 101 kalorijo	{0} kaloriji	čez 102 kaloriji	{0} kalorije	čez 4 kalorije	{0} kalorij	čez 5 kalorij
energy	calorie • ( = 4.184 J)	feminine	Ona kalorija	genitive	{0} kalorije	brez 101 kalorije	{0} kalorij	brez 102 kalorij	{0} kalorij	brez 4 kalorij	{0} kalorij	brez 5 kalorij
energy	calorie • ( = 4.184 J)	feminine	Ona kalorija	locative	{0} kaloriji	po 101 kaloriji	{0} kalorijah	po 102 kalorijah	{0} kalorijah	po 4 kalorijah	{0} kalorijah	po 5 kalorijah
energy	calorie • ( = 4.184 J)	feminine	Ona kalorija	dative	{0} kaloriji	kljub 101 kaloriji	{0} kalorijama	kljub 102 kalorijama	{0} kalorijam	kljub 4 kalorijam	{0} kalorijam	kljub 5 kalorijam
energy	calorie • ( = 4.184 J)	feminine	Ona kalorija	instrumental	{0} kalorijo	s/z 101 kalorijo	{0} kalorijama	s/z 102 kalorijama	{0} kalorijami	s/z 4 kalorijami	{0} kalorijami	s/z 5 kalorijami
energy	kilojoules	masculine	On kilodžul	nominative	{0} kilodžul	101 kilodžul je	{0} kilodžula	102 kilodžula je	{0} kilodžuli	4 kilodžuli je	{0} kilodžulov	5 kilodžulov je
energy	kilojoules	masculine	On kilodžul	accusative	{0} kilodžul	čez 101 kilodžul	{0} kilodžula	čez 102 kilodžula	{0} kilodžule	čez 4 kilodžule	{0} kilodžulov	čez 5 kilodžulov
energy	kilojoules	masculine	On kilodžul	genitive	{0} kilodžula	brez 101 kilodžula	{0} kilodžulov	brez 102 kilodžulov	{0} kilodžulov	brez 4 kilodžulov	{0} kilodžulov	brez 5 kilodžulov
energy	kilojoules	masculine	On kilodžul	locative	{0} kilodžulu	po 101 kilodžulu	{0} kilodžulih	po 102 kilodžulih	{0} kilodžulih	po 4 kilodžulih	{0} kilodžulih	po 5 kilodžulih
energy	kilojoules	masculine	On kilodžul	dative	{0} kilodžulu	kljub 101 kilodžulu	{0} kilodžuloma	kljub 102 kilodžuloma	{0} kilodžulom	kljub 4 kilodžulom	{0} kilodžulom	kljub 5 kilodžulom
energy	kilojoules	masculine	On kilodžul	instrumental	{0} kilodžulom	s/z 101 kilodžulom	{0} kilodžuloma	s/z 102 kilodžuloma	{0} kilodžuli	s/z 4 kilodžuli	{0} kilodžuli	s/z 5 kilodžuli
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	nominative	{0} britanska toplotna enota	101 britanska toplotna enota je	{0} britanski toplotni enoti	102 britanski toplotni enoti je	{0} britanske toplotne enote	4 britanske toplotne enote je	{0} britanskih toplotnih enot	5 britanskih toplotnih enot je
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	accusative	{0} britanska toplotna enota	čez 101 britanska toplotna enota	{0} britanski toplotni enoti	čez 102 britanski toplotni enoti	{0} britanske toplotne enote	čez 4 britanske toplotne enote	{0} britanskih toplotnih enot	čez 5 britanskih toplotnih enot
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	genitive	{0} britanska toplotna enota	brez 101 britanska toplotna enota	{0} britanski toplotni enoti	brez 102 britanski toplotni enoti	{0} britanske toplotne enote	brez 4 britanske toplotne enote	{0} britanskih toplotnih enot	brez 5 britanskih toplotnih enot
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	locative	{0} britanska toplotna enota	po 101 britanska toplotna enota	{0} britanski toplotni enoti	po 102 britanski toplotni enoti	{0} britanske toplotne enote	po 4 britanske toplotne enote	{0} britanskih toplotnih enot	po 5 britanskih toplotnih enot
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	dative	{0} britanska toplotna enota	kljub 101 britanska toplotna enota	{0} britanski toplotni enoti	kljub 102 britanski toplotni enoti	{0} britanske toplotne enote	kljub 4 britanske toplotne enote	{0} britanskih toplotnih enot	kljub 5 britanskih toplotnih enot
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	instrumental	{0} britanska toplotna enota	s/z 101 britanska toplotna enota	{0} britanski toplotni enoti	s/z 102 britanski toplotni enoti	{0} britanske toplotne enote	s/z 4 britanske toplotne enote	{0} britanskih toplotnih enot	s/z 5 britanskih toplotnih enot
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	nominative	{0} kalorija	101 kalorija je	{0} kaloriji	102 kaloriji je	{0} kalorije	4 kalorije je	{0} kalorij	5 kalorij je
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	accusative	{0} kalorija	čez 101 kalorija	{0} kaloriji	čez 102 kaloriji	{0} kalorije	čez 4 kalorije	{0} kalorij	čez 5 kalorij
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	genitive	{0} kalorija	brez 101 kalorija	{0} kaloriji	brez 102 kaloriji	{0} kalorije	brez 4 kalorije	{0} kalorij	brez 5 kalorij
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	locative	{0} kalorija	po 101 kalorija	{0} kaloriji	po 102 kaloriji	{0} kalorije	po 4 kalorije	{0} kalorij	po 5 kalorij
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	dative	{0} kalorija	kljub 101 kalorija	{0} kaloriji	kljub 102 kaloriji	{0} kalorije	kljub 4 kalorije	{0} kalorij	kljub 5 kalorij
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	instrumental	{0} kalorija	s/z 101 kalorija	{0} kaloriji	s/z 102 kaloriji	{0} kalorije	s/z 4 kalorije	{0} kalorij	s/z 5 kalorij
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ona kilovatna ura	nominative	{0} kilovatna ura	101 kilovatna ura je	{0} kilovatni uri	102 kilovatni uri je	{0} kilovatne ure	4 kilovatne ure je	{0} kilovatnih ur	5 kilovatnih ur je
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ona kilovatna ura	accusative	{0} kilovatno uro	čez 101 kilovatno uro	{0} kilovatni uri	čez 102 kilovatni uri	{0} kilovatne ure	čez 4 kilovatne ure	{0} kilovatnih ur	čez 5 kilovatnih ur
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ona kilovatna ura	genitive	{0} kilovatne ure	brez 101 kilovatne ure	{0} kilovatnih ur	brez 102 kilovatnih ur	{0} kilovatnih ur	brez 4 kilovatnih ur	{0} kilovatnih ur	brez 5 kilovatnih ur
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ona kilovatna ura	locative	{0} kilovatni uri	po 101 kilovatni uri	{0} kilovatnih urah	po 102 kilovatnih urah	{0} kilovatnih urah	po 4 kilovatnih urah	{0} kilovatnih urah	po 5 kilovatnih urah
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ona kilovatna ura	dative	{0} kilovatni uri	kljub 101 kilovatni uri	{0} kilovatnima urama	kljub 102 kilovatnima urama	{0} kilovatnim uram	kljub 4 kilovatnim uram	{0} kilovatnim uram	kljub 5 kilovatnim uram
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ona kilovatna ura	instrumental	{0} kilovatno uro	s/z 101 kilovatno uro	{0} kilovatnima urama	s/z 102 kilovatnima urama	{0} kilovatnimi urami	s/z 4 kilovatnimi urami	{0} kilovatnimi urami	s/z 5 kilovatnimi urami
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	nominative	{0} US therm	101 US therm je	{0} US therm	102 US therm je	{0} US therm	4 US therm je	{0} US therm	5 US therm je
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	accusative	{0} US therm	čez 101 US therm	{0} US therm	čez 102 US therm	{0} US therm	čez 4 US therm	{0} US therm	čez 5 US therm
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	genitive	{0} US therm	brez 101 US therm	{0} US therm	brez 102 US therm	{0} US therm	brez 4 US therm	{0} US therm	brez 5 US therm
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	locative	{0} US therm	po 101 US therm	{0} US therm	po 102 US therm	{0} US therm	po 4 US therm	{0} US therm	po 5 US therm
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	dative	{0} US therm	kljub 101 US therm	{0} US therm	kljub 102 US therm	{0} US therm	kljub 4 US therm	{0} US therm	kljub 5 US therm
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	instrumental	{0} US therm	s/z 101 US therm	{0} US therm	s/z 102 US therm	{0} US therm	s/z 4 US therm	{0} US therm	s/z 5 US therm
force	newtons	masculine	On newton	nominative	{0} newton	101 newton je	{0} newtona	102 newtona je	{0} newtoni	4 newtoni je	{0} newtonov	5 newtonov je
force	newtons	masculine	On newton	accusative	{0} newtona	čez 101 newtona	{0} newtona	čez 102 newtona	{0} newtone	čez 4 newtone	{0} newtonov	čez 5 newtonov
force	newtons	masculine	On newton	genitive	{0} newtona	brez 101 newtona	{0} newtonov	brez 102 newtonov	{0} newtonov	brez 4 newtonov	{0} newtonov	brez 5 newtonov
force	newtons	masculine	On newton	locative	{0} newtonu	po 101 newtonu	{0} newtonih	po 102 newtonih	{0} newtonih	po 4 newtonih	{0} newtonih	po 5 newtonih
force	newtons	masculine	On newton	dative	{0} newtonu	kljub 101 newtonu	{0} newtonoma	kljub 102 newtonoma	{0} newtonom	kljub 4 newtonom	{0} newtonom	kljub 5 newtonom
force	newtons	masculine	On newton	instrumental	{0} newtonom	s/z 101 newtonom	{0} newtonoma	s/z 102 newtonoma	{0} newtoni	s/z 4 newtoni	{0} newtoni	s/z 5 newtoni
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	nominative	{0} funt sile	101 funt sile je	{0} funta sile	102 funta sile je	{0} funti sile	4 funti sile je	{0} funtov sile	5 funtov sile je
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	accusative	{0} funt sile	čez 101 funt sile	{0} funta sile	čez 102 funta sile	{0} funti sile	čez 4 funti sile	{0} funtov sile	čez 5 funtov sile
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	genitive	{0} funt sile	brez 101 funt sile	{0} funta sile	brez 102 funta sile	{0} funti sile	brez 4 funti sile	{0} funtov sile	brez 5 funtov sile
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	locative	{0} funt sile	po 101 funt sile	{0} funta sile	po 102 funta sile	{0} funti sile	po 4 funti sile	{0} funtov sile	po 5 funtov sile
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	dative	{0} funt sile	kljub 101 funt sile	{0} funta sile	kljub 102 funta sile	{0} funti sile	kljub 4 funti sile	{0} funtov sile	kljub 5 funtov sile
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	instrumental	{0} funt sile	s/z 101 funt sile	{0} funta sile	s/z 102 funta sile	{0} funti sile	s/z 4 funti sile	{0} funtov sile	s/z 5 funtov sile
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ona kilovatna ura na 100 kilometrov	nominative	{0} kilovatna ura na 100 kilometrov	101 kilovatna ura na 100 kilometrov je	{0} kilovatni uri na 100 kilometrov	102 kilovatni uri na 100 kilometrov je	{0} kilovatne ure na 100 kilometrov	4 kilovatne ure na 100 kilometrov je	{0} kilovatnih ur na 100 kilometrov	5 kilovatnih ur na 100 kilometrov je
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ona kilovatna ura na 100 kilometrov	accusative	{0} kilovatno uro na 100 kilometrov	čez 101 kilovatno uro na 100 kilometrov	{0} kilovatni uri na 100 kilometrov	čez 102 kilovatni uri na 100 kilometrov	{0} kilovatne ure na 100 kilometrov	čez 4 kilovatne ure na 100 kilometrov	{0} kilovatnih ur na 100 kilometrov	čez 5 kilovatnih ur na 100 kilometrov
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ona kilovatna ura na 100 kilometrov	genitive	{0} kilovatne ure na 100 kilometrov	brez 101 kilovatne ure na 100 kilometrov	{0} kilovatnih ur na 100 kilometrov	brez 102 kilovatnih ur na 100 kilometrov	{0} kilovatnih ur na 100 kilometrov	brez 4 kilovatnih ur na 100 kilometrov	{0} kilovatnih ur na 100 kilometrov	brez 5 kilovatnih ur na 100 kilometrov
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ona kilovatna ura na 100 kilometrov	locative	{0} kilovatni uri na 100 kilometrov	po 101 kilovatni uri na 100 kilometrov	{0} kilovatnih urah na 100 kilometrov	po 102 kilovatnih urah na 100 kilometrov	{0} kilovatnih urah na 100 kilometrov	po 4 kilovatnih urah na 100 kilometrov	{0} kilovatnih urah na 100 kilometrov	po 5 kilovatnih urah na 100 kilometrov
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ona kilovatna ura na 100 kilometrov	dative	{0} kilovatni uri na 100 kilometrov	kljub 101 kilovatni uri na 100 kilometrov	{0} kilovatnima urama na 100 kilometrov	kljub 102 kilovatnima urama na 100 kilometrov	{0} kilovatnim uram na 100 kilometrov	kljub 4 kilovatnim uram na 100 kilometrov	{0} kilovatnim uram na 100 kilometrov	kljub 5 kilovatnim uram na 100 kilometrov
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ona kilovatna ura na 100 kilometrov	instrumental	{0} kilovatno uro na 100 kilometrov	s/z 101 kilovatno uro na 100 kilometrov	{0} kilovatnima urama na 100 kilometrov	s/z 102 kilovatnima urama na 100 kilometrov	{0} kilovatnimi urami na 100 kilometrov	s/z 4 kilovatnimi urami na 100 kilometrov	{0} kilovatnimi urami na 100 kilometrov	s/z 5 kilovatnimi urami na 100 kilometrov
frequency	hertz	masculine	On herc	nominative	{0} herc	101 herc je	{0} herca	102 herca je	{0} herci	4 herci je	{0} hercev	5 hercev je
frequency	hertz	masculine	On herc	accusative	{0} herc	čez 101 herc	{0} herca	čez 102 herca	{0} herce	čez 4 herce	{0} hercev	čez 5 hercev
frequency	hertz	masculine	On herc	genitive	{0} herca	brez 101 herca	{0} hercev	brez 102 hercev	{0} hercev	brez 4 hercev	{0} hercev	brez 5 hercev
frequency	hertz	masculine	On herc	locative	{0} hercu	po 101 hercu	{0} hercih	po 102 hercih	{0} hercih	po 4 hercih	{0} hercih	po 5 hercih
frequency	hertz	masculine	On herc	dative	{0} hercu	kljub 101 hercu	{0} hercema	kljub 102 hercema	{0} hercem	kljub 4 hercem	{0} hercem	kljub 5 hercem
frequency	hertz	masculine	On herc	instrumental	{0} hercem	s/z 101 hercem	{0} hercema	s/z 102 hercema	{0} herci	s/z 4 herci	{0} herci	s/z 5 herci
frequency	kilohertz	masculine	On kiloherc	nominative	{0} kiloherc	101 kiloherc je	{0} kiloherca	102 kiloherca je	{0} kiloherci	4 kiloherci je	{0} kilohercev	5 kilohercev je
frequency	kilohertz	masculine	On kiloherc	accusative	{0} kiloherc	čez 101 kiloherc	{0} kiloherca	čez 102 kiloherca	{0} kiloherce	čez 4 kiloherce	{0} kilohercev	čez 5 kilohercev
frequency	kilohertz	masculine	On kiloherc	genitive	{0} kiloherca	brez 101 kiloherca	{0} kilohercev	brez 102 kilohercev	{0} kilohercev	brez 4 kilohercev	{0} kilohercev	brez 5 kilohercev
frequency	kilohertz	masculine	On kiloherc	locative	{0} kilohercu	po 101 kilohercu	{0} kilohercih	po 102 kilohercih	{0} kilohercih	po 4 kilohercih	{0} kilohercih	po 5 kilohercih
frequency	kilohertz	masculine	On kiloherc	dative	{0} kilohercu	kljub 101 kilohercu	{0} kilohercema	kljub 102 kilohercema	{0} kilohercem	kljub 4 kilohercem	{0} kilohercem	kljub 5 kilohercem
frequency	kilohertz	masculine	On kiloherc	instrumental	{0} kilohercem	s/z 101 kilohercem	{0} kilohercema	s/z 102 kilohercema	{0} kiloherci	s/z 4 kiloherci	{0} kiloherci	s/z 5 kiloherci
frequency	megahertz	masculine	On megaherc	nominative	{0} megaherc	101 megaherc je	{0} megaherca	102 megaherca je	{0} megaherci	4 megaherci je	{0} megahercev	5 megahercev je
frequency	megahertz	masculine	On megaherc	accusative	{0} megaherc	čez 101 megaherc	{0} megaherca	čez 102 megaherca	{0} megaherce	čez 4 megaherce	{0} megahercev	čez 5 megahercev
frequency	megahertz	masculine	On megaherc	genitive	{0} megaherca	brez 101 megaherca	{0} megahercev	brez 102 megahercev	{0} megahercev	brez 4 megahercev	{0} megahercev	brez 5 megahercev
frequency	megahertz	masculine	On megaherc	locative	{0} megahercu	po 101 megahercu	{0} megahercih	po 102 megahercih	{0} megahercih	po 4 megahercih	{0} megahercih	po 5 megahercih
frequency	megahertz	masculine	On megaherc	dative	{0} megahercu	kljub 101 megahercu	{0} megahercema	kljub 102 megahercema	{0} megahercem	kljub 4 megahercem	{0} megahercem	kljub 5 megahercem
frequency	megahertz	masculine	On megaherc	instrumental	{0} megahercem	s/z 101 megahercem	{0} megahercema	s/z 102 megahercema	{0} megaherci	s/z 4 megaherci	{0} megaherci	s/z 5 megaherci
frequency	gigahertz	masculine	On gigaherc	nominative	{0} gigaherc	101 gigaherc je	{0} gigaherca	102 gigaherca je	{0} gigaherci	4 gigaherci je	{0} gigahercev	5 gigahercev je
frequency	gigahertz	masculine	On gigaherc	accusative	{0} gigaherc	čez 101 gigaherc	{0} gigaherca	čez 102 gigaherca	{0} gigaherce	čez 4 gigaherce	{0} gigahercev	čez 5 gigahercev
frequency	gigahertz	masculine	On gigaherc	genitive	{0} gigaherca	brez 101 gigaherca	{0} gigahercev	brez 102 gigahercev	{0} gigahercev	brez 4 gigahercev	{0} gigahercev	brez 5 gigahercev
frequency	gigahertz	masculine	On gigaherc	locative	{0} gigahercu	po 101 gigahercu	{0} gigahercih	po 102 gigahercih	{0} gigahercih	po 4 gigahercih	{0} gigahercih	po 5 gigahercih
frequency	gigahertz	masculine	On gigaherc	dative	{0} gigahercu	kljub 101 gigahercu	{0} gigahercema	kljub 102 gigahercema	{0} gigahercem	kljub 4 gigahercem	{0} gigahercem	kljub 5 gigahercem
frequency	gigahertz	masculine	On gigaherc	instrumental	{0} gigahercem	s/z 101 gigahercem	{0} gigahercema	s/z 102 gigahercema	{0} gigaherci	s/z 4 gigaherci	{0} gigaherci	s/z 5 gigaherci
graphics	pixel • ( = 1 dot)	masculine	On piksel	nominative	{0} piksel	101 piksel je	{0} piksla	102 piksla je	{0} piksli	4 piksli je	{0} pikslov	5 pikslov je
graphics	pixel • ( = 1 dot)	masculine	On piksel	accusative	{0} piksel	čez 101 piksel	{0} piksla	čez 102 piksla	{0} piksle	čez 4 piksle	{0} pikslov	čez 5 pikslov
graphics	pixel • ( = 1 dot)	masculine	On piksel	genitive	{0} piksla	brez 101 piksla	{0} pikslov	brez 102 pikslov	{0} pikslov	brez 4 pikslov	{0} pikslov	brez 5 pikslov
graphics	pixel • ( = 1 dot)	masculine	On piksel	locative	{0} pikslu	po 101 pikslu	{0} pikslih	po 102 pikslih	{0} pikslih	po 4 pikslih	{0} pikslih	po 5 pikslih
graphics	pixel • ( = 1 dot)	masculine	On piksel	dative	{0} pikslu	kljub 101 pikslu	{0} piksloma	kljub 102 piksloma	{0} pikslom	kljub 4 pikslom	{0} pikslom	kljub 5 pikslom
graphics	pixel • ( = 1 dot)	masculine	On piksel	instrumental	{0} pikslom	s/z 101 pikslom	{0} piksloma	s/z 102 piksloma	{0} piksli	s/z 4 piksli	{0} piksli	s/z 5 piksli
graphics	megapixels	masculine	On megapiksel	nominative	{0} megapiksel	101 megapiksel je	{0} megapiksla	102 megapiksla je	{0} megapiksli	4 megapiksli je	{0} megapikslov	5 megapikslov je
graphics	megapixels	masculine	On megapiksel	accusative	{0} megapiksel	čez 101 megapiksel	{0} megapiksla	čez 102 megapiksla	{0} megapiksle	čez 4 megapiksle	{0} megapikslov	čez 5 megapikslov
graphics	megapixels	masculine	On megapiksel	genitive	{0} megapiksla	brez 101 megapiksla	{0} megapikslov	brez 102 megapikslov	{0} megapikslov	brez 4 megapikslov	{0} megapikslov	brez 5 megapikslov
graphics	megapixels	masculine	On megapiksel	locative	{0} megapikslu	po 101 megapikslu	{0} megapikslih	po 102 megapikslih	{0} megapikslih	po 4 megapikslih	{0} megapikslih	po 5 megapikslih
graphics	megapixels	masculine	On megapiksel	dative	{0} megapikslu	kljub 101 megapikslu	{0} megapiksloma	kljub 102 megapiksloma	{0} megapikslom	kljub 4 megapikslom	{0} megapikslom	kljub 5 megapikslom
graphics	megapixels	masculine	On megapiksel	instrumental	{0} megapikslom	s/z 101 megapikslom	{0} megapiksloma	s/z 102 megapiksloma	{0} megapiksli	s/z 4 megapiksli	{0} megapiksli	s/z 5 megapiksli
