# Grammatical Features
#Locale	ID	Feature	Usage	Values
Ukrainian	uk	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} день	<div class='cldr_example'><span class='cldr_substituted'>1</span> день</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> день</div>
Plural	few	{0} дні	<div class='cldr_example'><span class='cldr_substituted'>2</span> дні</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> дні</div>
Plural	many	{0} днів	<div class='cldr_example'><span class='cldr_substituted'>5</span> днів</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> днів</div>
Plural	other	{0} дня	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> дня</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> дня</div>
Case (for measurement units)	nominative	Є {0}	<div class='cldr_example'>Є <span class='cldr_substituted'>1 метр</span></div><div class='cldr_example'>❌  Є <span class='cldr_substituted'>1 метру</span></div>
Case (for measurement units)	accusative	Знайшли {0}	<div class='cldr_example'>Знайшли <span class='cldr_substituted'>1 метр</span></div><div class='cldr_example'>❌  Знайшли <span class='cldr_substituted'>1 метру</span></div>
Case (for measurement units)	genitive	Немає {0}	<div class='cldr_example'>Немає <span class='cldr_substituted'>1 метра</span></div><div class='cldr_example'>❌  Немає <span class='cldr_substituted'>1 метр</span></div>
Case (for measurement units)	locative	Міститься в {0}	<div class='cldr_example'>Міститься в <span class='cldr_substituted'>1 метрі</span></div><div class='cldr_example'>❌  Міститься в <span class='cldr_substituted'>1 метр</span></div>
Case (for measurement units)	dative	Це відповідає {0}	<div class='cldr_example'>Це відповідає <span class='cldr_substituted'>1 метру</span></div><div class='cldr_example'>❌  Це відповідає <span class='cldr_substituted'>1 метр</span></div>
Case (for measurement units)	instrumental	Вимірюється не {0}	<div class='cldr_example'>Вимірюється не <span class='cldr_substituted'>1 метром</span></div><div class='cldr_example'>❌  Вимірюється не <span class='cldr_substituted'>1 метр</span></div>
Gender (for measurement units)	masculine	Цей {0}	<div class='cldr_example'>Цей <span class='cldr_substituted'>день</span></div><div class='cldr_example'>❌  Цей <span class='cldr_substituted'>година</span></div>
Gender (for measurement units)	feminine	Ця {0}	<div class='cldr_example'>Ця <span class='cldr_substituted'>година</span></div><div class='cldr_example'>❌  Ця <span class='cldr_substituted'>день</span></div>
Gender (for measurement units)	neuter	Це {0}	<div class='cldr_example'>Це <span class='cldr_substituted'>століття</span></div><div class='cldr_example'>❌  Це <span class='cldr_substituted'>година</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 5.0	Pattern for other	Case MP + pattern with 0.1
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	nominative	{0} ньютон-метр	Є 21 ньютон-метр	{0} ньютон-метри	Є 3 ньютон-метри	{0} ньютон-метрів	Є 5 ньютон-метрів	{0} ньютон-метра	Є 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	accusative	{0} ньютон-метр	Знайшли 21 ньютон-метр	{0} ньютон-метри	Знайшли 3 ньютон-метри	{0} ньютон-метрів	Знайшли 5 ньютон-метрів	{0} ньютон-метра	Знайшли 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	genitive	{0} ньютон-метра	Немає 21 ньютон-метра	{0} ньютон-метрів	Немає 3 ньютон-метрів	{0} ньютон-метрів	Немає 5 ньютон-метрів	{0} ньютон-метра	Немає 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	locative	{0} ньютон-метрі	Міститься в 21 ньютон-метрі	{0} ньютон-метрах	Міститься в 3 ньютон-метрах	{0} ньютон-метрах	Міститься в 5 ньютон-метрах	{0} ньютон-метра	Міститься в 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	dative	{0} ньютон-метру	Це відповідає 21 ньютон-метру	{0} ньютон-метрам	Це відповідає 3 ньютон-метрам	{0} ньютон-метрам	Це відповідає 5 ньютон-метрам	{0} ньютон-метра	Це відповідає 0,1 ньютон-метра
energy	newton-meter • ( = 1 J)	masculine	Цей ньютон-метр	instrumental	{0} ньютон-метром	Вимірюється не 21 ньютон-метром	{0} ньютон-метрами	Вимірюється не 3 ньютон-метрами	{0} ньютон-метрами	Вимірюється не 5 ньютон-метрами	{0} ньютон-метра	Вимірюється не 0,1 ньютон-метра
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	nominative	{0} фунт-фут	Є 21 фунт-фут	{0} фунт-фути	Є 3 фунт-фути	{0} фунт-футів	Є 5 фунт-футів	{0} фунт-фута	Є 0,1 фунт-фута
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	accusative	{0} фунт-фут	Знайшли 21 фунт-фут	{0} фунт-фути	Знайшли 3 фунт-фути	{0} фунт-футів	Знайшли 5 фунт-футів	{0} фунт-фута	Знайшли 0,1 фунт-фута
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	genitive	{0} фунт-фут	Немає 21 фунт-фут	{0} фунт-фути	Немає 3 фунт-фути	{0} фунт-футів	Немає 5 фунт-футів	{0} фунт-фута	Немає 0,1 фунт-фута
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	locative	{0} фунт-фут	Міститься в 21 фунт-фут	{0} фунт-фути	Міститься в 3 фунт-фути	{0} фунт-футів	Міститься в 5 фунт-футів	{0} фунт-фута	Міститься в 0,1 фунт-фута
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	dative	{0} фунт-фут	Це відповідає 21 фунт-фут	{0} фунт-фути	Це відповідає 3 фунт-фути	{0} фунт-футів	Це відповідає 5 фунт-футів	{0} фунт-фута	Це відповідає 0,1 фунт-фута
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	instrumental	{0} фунт-фут	Вимірюється не 21 фунт-фут	{0} фунт-фути	Вимірюється не 3 фунт-фути	{0} фунт-футів	Вимірюється не 5 фунт-футів	{0} фунт-фута	Вимірюється не 0,1 фунт-фута
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	nominative	{0} калорія	Є 21 калорія	{0} калорії	Є 3 калорії	{0} калорій	Є 5 калорій	{0} калорії	Є 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	accusative	{0} калорію	Знайшли 21 калорію	{0} калорії	Знайшли 3 калорії	{0} калорій	Знайшли 5 калорій	{0} калорії	Знайшли 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	genitive	{0} калорії	Немає 21 калорії	{0} калорій	Немає 3 калорій	{0} калорій	Немає 5 калорій	{0} калорії	Немає 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	locative	{0} калорії	Міститься в 21 калорії	{0} калоріях	Міститься в 3 калоріях	{0} калоріях	Міститься в 5 калоріях	{0} калорії	Міститься в 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	dative	{0} калорії	Це відповідає 21 калорії	{0} калоріям	Це відповідає 3 калоріям	{0} калоріям	Це відповідає 5 калоріям	{0} калорії	Це відповідає 0,1 калорії
energy	calorie • ( = 4.184 J)	feminine	Ця калорія	instrumental	{0} калорією	Вимірюється не 21 калорією	{0} калоріями	Вимірюється не 3 калоріями	{0} калоріями	Вимірюється не 5 калоріями	{0} калорії	Вимірюється не 0,1 калорії
energy	kilojoules	masculine	Цей кілоджоуль	nominative	{0} кілоджоуль	Є 21 кілоджоуль	{0} кілоджоулі	Є 3 кілоджоулі	{0} кілоджоулів	Є 5 кілоджоулів	{0} кілоджоуля	Є 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	accusative	{0} кілоджоуль	Знайшли 21 кілоджоуль	{0} кілоджоулі	Знайшли 3 кілоджоулі	{0} кілоджоулів	Знайшли 5 кілоджоулів	{0} кілоджоуля	Знайшли 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	genitive	{0} кілоджоуля	Немає 21 кілоджоуля	{0} кілоджоулі	Немає 3 кілоджоулі	{0} кілоджоулів	Немає 5 кілоджоулів	{0} кілоджоуля	Немає 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	locative	{0} кілоджоулі	Міститься в 21 кілоджоулі	{0} кілоджоулів	Міститься в 3 кілоджоулів	{0} кілоджоулях	Міститься в 5 кілоджоулях	{0} кілоджоуля	Міститься в 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	dative	{0} кілоджоулю	Це відповідає 21 кілоджоулю	{0} кілоджоулям	Це відповідає 3 кілоджоулям	{0} кілоджоулям	Це відповідає 5 кілоджоулям	{0} кілоджоуля	Це відповідає 0,1 кілоджоуля
energy	kilojoules	masculine	Цей кілоджоуль	instrumental	{0} кілоджоулем	Вимірюється не 21 кілоджоулем	{0} кілоджоулями	Вимірюється не 3 кілоджоулями	{0} кілоджоулями	Вимірюється не 5 кілоджоулями	{0} кілоджоуля	Вимірюється не 0,1 кілоджоуля
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	nominative	{0} британська теплова одиниця	Є 21 британська теплова одиниця	{0} британські теплові одиниці	Є 3 британські теплові одиниці	{0} британських теплових одиниць	Є 5 британських теплових одиниць	{0} британської теплової одиниці	Є 0,1 британської теплової одиниці
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	accusative	{0} британська теплова одиниця	Знайшли 21 британська теплова одиниця	{0} британські теплові одиниці	Знайшли 3 британські теплові одиниці	{0} британських теплових одиниць	Знайшли 5 британських теплових одиниць	{0} британської теплової одиниці	Знайшли 0,1 британської теплової одиниці
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	genitive	{0} британська теплова одиниця	Немає 21 британська теплова одиниця	{0} британські теплові одиниці	Немає 3 британські теплові одиниці	{0} британських теплових одиниць	Немає 5 британських теплових одиниць	{0} британської теплової одиниці	Немає 0,1 британської теплової одиниці
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	locative	{0} британська теплова одиниця	Міститься в 21 британська теплова одиниця	{0} британські теплові одиниці	Міститься в 3 британські теплові одиниці	{0} британських теплових одиниць	Міститься в 5 британських теплових одиниць	{0} британської теплової одиниці	Міститься в 0,1 британської теплової одиниці
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	dative	{0} британська теплова одиниця	Це відповідає 21 британська теплова одиниця	{0} британські теплові одиниці	Це відповідає 3 британські теплові одиниці	{0} британських теплових одиниць	Це відповідає 5 британських теплових одиниць	{0} британської теплової одиниці	Це відповідає 0,1 британської теплової одиниці
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	instrumental	{0} британська теплова одиниця	Вимірюється не 21 британська теплова одиниця	{0} британські теплові одиниці	Вимірюється не 3 британські теплові одиниці	{0} британських теплових одиниць	Вимірюється не 5 британських теплових одиниць	{0} британської теплової одиниці	Вимірюється не 0,1 британської теплової одиниці
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	nominative	{0} кілокалорія	Є 21 кілокалорія	{0} кілокалорії	Є 3 кілокалорії	{0} кілокалорій	Є 5 кілокалорій	{0} кілокалорії	Є 0,1 кілокалорії
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	accusative	{0} кілокалорія	Знайшли 21 кілокалорія	{0} кілокалорії	Знайшли 3 кілокалорії	{0} кілокалорій	Знайшли 5 кілокалорій	{0} кілокалорії	Знайшли 0,1 кілокалорії
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	genitive	{0} кілокалорія	Немає 21 кілокалорія	{0} кілокалорії	Немає 3 кілокалорії	{0} кілокалорій	Немає 5 кілокалорій	{0} кілокалорії	Немає 0,1 кілокалорії
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	locative	{0} кілокалорія	Міститься в 21 кілокалорія	{0} кілокалорії	Міститься в 3 кілокалорії	{0} кілокалорій	Міститься в 5 кілокалорій	{0} кілокалорії	Міститься в 0,1 кілокалорії
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	dative	{0} кілокалорія	Це відповідає 21 кілокалорія	{0} кілокалорії	Це відповідає 3 кілокалорії	{0} кілокалорій	Це відповідає 5 кілокалорій	{0} кілокалорії	Це відповідає 0,1 кілокалорії
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	instrumental	{0} кілокалорія	Вимірюється не 21 кілокалорія	{0} кілокалорії	Вимірюється не 3 кілокалорії	{0} кілокалорій	Вимірюється не 5 кілокалорій	{0} кілокалорії	Вимірюється не 0,1 кілокалорії
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	nominative	{0} кіловат-година	Є 21 кіловат-година	{0} кіловат-години	Є 3 кіловат-години	{0} кіловат-годин	Є 5 кіловат-годин	{0} кіловат-години	Є 0,1 кіловат-години
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	accusative	{0} кіловат-годину	Знайшли 21 кіловат-годину	{0} кіловат-години	Знайшли 3 кіловат-години	{0} кіловат-годин	Знайшли 5 кіловат-годин	{0} кіловат-години	Знайшли 0,1 кіловат-години
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	genitive	{0} кіловат-години	Немає 21 кіловат-години	{0} кіловат-годин	Немає 3 кіловат-годин	{0} кіловат-годин	Немає 5 кіловат-годин	{0} кіловат-години	Немає 0,1 кіловат-години
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	locative	{0} кіловат-годині	Міститься в 21 кіловат-годині	{0} кіловат-годинах	Міститься в 3 кіловат-годинах	{0} кіловат-годинах	Міститься в 5 кіловат-годинах	{0} кіловат-години	Міститься в 0,1 кіловат-години
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	dative	{0} кіловат-годині	Це відповідає 21 кіловат-годині	{0} кіловат-годинам	Це відповідає 3 кіловат-годинам	{0} кіловат-годинам	Це відповідає 5 кіловат-годинам	{0} кіловат-години	Це відповідає 0,1 кіловат-години
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	feminine	Ця кіловат-година	instrumental	{0} кіловат-годиною	Вимірюється не 21 кіловат-годиною	{0} кіловат-годинами	Вимірюється не 3 кіловат-годинами	{0} кіловат-годинами	Вимірюється не 5 кіловат-годинами	{0} кіловат-години	Вимірюється не 0,1 кіловат-години
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	nominative	{0} американський терм	Є 21 американський терм	{0} американських терми	Є 3 американських терми	{0} американських термів	Є 5 американських термів	{0} американського терма	Є 0,1 американського терма
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	accusative	{0} американський терм	Знайшли 21 американський терм	{0} американських терми	Знайшли 3 американських терми	{0} американських термів	Знайшли 5 американських термів	{0} американського терма	Знайшли 0,1 американського терма
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	genitive	{0} американський терм	Немає 21 американський терм	{0} американських терми	Немає 3 американських терми	{0} американських термів	Немає 5 американських термів	{0} американського терма	Немає 0,1 американського терма
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	locative	{0} американський терм	Міститься в 21 американський терм	{0} американських терми	Міститься в 3 американських терми	{0} американських термів	Міститься в 5 американських термів	{0} американського терма	Міститься в 0,1 американського терма
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	dative	{0} американський терм	Це відповідає 21 американський терм	{0} американських терми	Це відповідає 3 американських терми	{0} американських термів	Це відповідає 5 американських термів	{0} американського терма	Це відповідає 0,1 американського терма
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a	instrumental	{0} американський терм	Вимірюється не 21 американський терм	{0} американських терми	Вимірюється не 3 американських терми	{0} американських термів	Вимірюється не 5 американських термів	{0} американського терма	Вимірюється не 0,1 американського терма
force	newtons	masculine	Цей ньютон	nominative	{0} ньютон	Є 21 ньютон	{0} ньютони	Є 3 ньютони	{0} ньютонів	Є 5 ньютонів	{0} ньютона	Є 0,1 ньютона
force	newtons	masculine	Цей ньютон	accusative	{0} ньютон	Знайшли 21 ньютон	{0} ньютони	Знайшли 3 ньютони	{0} ньютонів	Знайшли 5 ньютонів	{0} ньютона	Знайшли 0,1 ньютона
force	newtons	masculine	Цей ньютон	genitive	{0} ньютона	Немає 21 ньютона	{0} ньютонів	Немає 3 ньютонів	{0} ньютонів	Немає 5 ньютонів	{0} ньютона	Немає 0,1 ньютона
force	newtons	masculine	Цей ньютон	locative	{0} ньютоні	Міститься в 21 ньютоні	{0} ньютонах	Міститься в 3 ньютонах	{0} ньютонах	Міститься в 5 ньютонах	{0} ньютона	Міститься в 0,1 ньютона
force	newtons	masculine	Цей ньютон	dative	{0} ньютону	Це відповідає 21 ньютону	{0} ньютонам	Це відповідає 3 ньютонам	{0} ньютонам	Це відповідає 5 ньютонам	{0} ньютона	Це відповідає 0,1 ньютона
force	newtons	masculine	Цей ньютон	instrumental	{0} ньютоном	Вимірюється не 21 ньютоном	{0} ньютонами	Вимірюється не 3 ньютонами	{0} ньютонами	Вимірюється не 5 ньютонами	{0} ньютона	Вимірюється не 0,1 ньютона
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	nominative	{0} фунт-сила	Є 21 фунт-сила	{0} фунт-сили	Є 3 фунт-сили	{0} фунт-сил	Є 5 фунт-сил	{0} фунт-сили	Є 0,1 фунт-сили
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	accusative	{0} фунт-сила	Знайшли 21 фунт-сила	{0} фунт-сили	Знайшли 3 фунт-сили	{0} фунт-сил	Знайшли 5 фунт-сил	{0} фунт-сили	Знайшли 0,1 фунт-сили
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	genitive	{0} фунт-сила	Немає 21 фунт-сила	{0} фунт-сили	Немає 3 фунт-сили	{0} фунт-сил	Немає 5 фунт-сил	{0} фунт-сили	Немає 0,1 фунт-сили
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	locative	{0} фунт-сила	Міститься в 21 фунт-сила	{0} фунт-сили	Міститься в 3 фунт-сили	{0} фунт-сил	Міститься в 5 фунт-сил	{0} фунт-сили	Міститься в 0,1 фунт-сили
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	dative	{0} фунт-сила	Це відповідає 21 фунт-сила	{0} фунт-сили	Це відповідає 3 фунт-сили	{0} фунт-сил	Це відповідає 5 фунт-сил	{0} фунт-сили	Це відповідає 0,1 фунт-сили
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a	instrumental	{0} фунт-сила	Вимірюється не 21 фунт-сила	{0} фунт-сили	Вимірюється не 3 фунт-сили	{0} фунт-сил	Вимірюється не 5 фунт-сил	{0} фунт-сили	Вимірюється не 0,1 фунт-сили
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ця кіловат-година на 100 кілометрів	nominative	{0} кіловат-година на 100 кілометрів	Є 21 кіловат-година на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Є 3 кіловат-години на 100 кілометрів	{0} кіловат-годин на 100 кілометрів	Є 5 кіловат-годин на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Є 0,1 кіловат-години на 100 кілометрів
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ця кіловат-година на 100 кілометрів	accusative	{0} кіловат-годину на 100 кілометрів	Знайшли 21 кіловат-годину на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Знайшли 3 кіловат-години на 100 кілометрів	{0} кіловат-годин на 100 кілометрів	Знайшли 5 кіловат-годин на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Знайшли 0,1 кіловат-години на 100 кілометрів
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ця кіловат-година на 100 кілометрів	genitive	{0} кіловат-години на 100 кілометрів	Немає 21 кіловат-години на 100 кілометрів	{0} кіловат-годин на 100 кілометрів	Немає 3 кіловат-годин на 100 кілометрів	{0} кіловат-годин на 100 кілометрів	Немає 5 кіловат-годин на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Немає 0,1 кіловат-години на 100 кілометрів
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ця кіловат-година на 100 кілометрів	locative	{0} кіловат-годині на 100 кілометрів	Міститься в 21 кіловат-годині на 100 кілометрів	{0} кіловат-годинах на 100 кілометрів	Міститься в 3 кіловат-годинах на 100 кілометрів	{0} кіловат-годинах на 100 кілометрів	Міститься в 5 кіловат-годинах на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Міститься в 0,1 кіловат-години на 100 кілометрів
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ця кіловат-година на 100 кілометрів	dative	{0} кіловат-годині на 100 кілометрів	Це відповідає 21 кіловат-годині на 100 кілометрів	{0} кіловат-годинам на 100 кілометрів	Це відповідає 3 кіловат-годинам на 100 кілометрів	{0} кіловат-годинам на 100 кілометрів	Це відповідає 5 кіловат-годинам на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Це відповідає 0,1 кіловат-години на 100 кілометрів
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	feminine	Ця кіловат-година на 100 кілометрів	instrumental	{0} кіловат-годиною на 100 кілометрів	Вимірюється не 21 кіловат-годиною на 100 кілометрів	{0} кіловат-годинами на 100 кілометрів	Вимірюється не 3 кіловат-годинами на 100 кілометрів	{0} кіловат-годинами на 100 кілометрів	Вимірюється не 5 кіловат-годинами на 100 кілометрів	{0} кіловат-години на 100 кілометрів	Вимірюється не 0,1 кіловат-години на 100 кілометрів
frequency	hertz	masculine	Цей герц	nominative	{0} герц	Є 21 герц	{0} герци	Є 3 герци	{0} герців	Є 5 герців	{0} герца	Є 0,1 герца
frequency	hertz	masculine	Цей герц	accusative	{0} герц	Знайшли 21 герц	{0} герци	Знайшли 3 герци	{0} герців	Знайшли 5 герців	{0} герца	Знайшли 0,1 герца
frequency	hertz	masculine	Цей герц	genitive	{0} герца	Немає 21 герца	{0} герців	Немає 3 герців	{0} герців	Немає 5 герців	{0} герца	Немає 0,1 герца
frequency	hertz	masculine	Цей герц	locative	{0} герці	Міститься в 21 герці	{0} герцах	Міститься в 3 герцах	{0} герцах	Міститься в 5 герцах	{0} герца	Міститься в 0,1 герца
frequency	hertz	masculine	Цей герц	dative	{0} герцу	Це відповідає 21 герцу	{0} герцам	Це відповідає 3 герцам	{0} герцам	Це відповідає 5 герцам	{0} герца	Це відповідає 0,1 герца
frequency	hertz	masculine	Цей герц	instrumental	{0} герцом	Вимірюється не 21 герцом	{0} герцами	Вимірюється не 3 герцами	{0} герцами	Вимірюється не 5 герцами	{0} герца	Вимірюється не 0,1 герца
frequency	kilohertz	masculine	Цей кілогерц	nominative	{0} кілогерц	Є 21 кілогерц	{0} кілогерци	Є 3 кілогерци	{0} кілогерців	Є 5 кілогерців	{0} кілогерца	Є 0,1 кілогерца
frequency	kilohertz	masculine	Цей кілогерц	accusative	{0} кілогерц	Знайшли 21 кілогерц	{0} кілогерци	Знайшли 3 кілогерци	{0} кілогерців	Знайшли 5 кілогерців	{0} кілогерца	Знайшли 0,1 кілогерца
frequency	kilohertz	masculine	Цей кілогерц	genitive	{0} кілогерца	Немає 21 кілогерца	{0} кілогерців	Немає 3 кілогерців	{0} кілогерців	Немає 5 кілогерців	{0} кілогерца	Немає 0,1 кілогерца
frequency	kilohertz	masculine	Цей кілогерц	locative	{0} кілогерці	Міститься в 21 кілогерці	{0} кілогерцах	Міститься в 3 кілогерцах	{0} кілогерцах	Міститься в 5 кілогерцах	{0} кілогерца	Міститься в 0,1 кілогерца
frequency	kilohertz	masculine	Цей кілогерц	dative	{0} кілогерцу	Це відповідає 21 кілогерцу	{0} кілогерцам	Це відповідає 3 кілогерцам	{0} кілогерцам	Це відповідає 5 кілогерцам	{0} кілогерца	Це відповідає 0,1 кілогерца
frequency	kilohertz	masculine	Цей кілогерц	instrumental	{0} кілогерцом	Вимірюється не 21 кілогерцом	{0} кілогерцами	Вимірюється не 3 кілогерцами	{0} кілогерцами	Вимірюється не 5 кілогерцами	{0} кілогерца	Вимірюється не 0,1 кілогерца
frequency	megahertz	masculine	Цей мегагерц	nominative	{0} мегагерц	Є 21 мегагерц	{0} мегагерци	Є 3 мегагерци	{0} мегагерців	Є 5 мегагерців	{0} мегагерца	Є 0,1 мегагерца
frequency	megahertz	masculine	Цей мегагерц	accusative	{0} мегагерц	Знайшли 21 мегагерц	{0} мегагерци	Знайшли 3 мегагерци	{0} мегагерців	Знайшли 5 мегагерців	{0} мегагерца	Знайшли 0,1 мегагерца
frequency	megahertz	masculine	Цей мегагерц	genitive	{0} мегагерца	Немає 21 мегагерца	{0} мегагерців	Немає 3 мегагерців	{0} мегагерців	Немає 5 мегагерців	{0} мегагерца	Немає 0,1 мегагерца
frequency	megahertz	masculine	Цей мегагерц	locative	{0} мегагерці	Міститься в 21 мегагерці	{0} мегагерцах	Міститься в 3 мегагерцах	{0} мегагерцах	Міститься в 5 мегагерцах	{0} мегагерца	Міститься в 0,1 мегагерца
frequency	megahertz	masculine	Цей мегагерц	dative	{0} мегагерцу	Це відповідає 21 мегагерцу	{0} мегагерцам	Це відповідає 3 мегагерцам	{0} мегагерцам	Це відповідає 5 мегагерцам	{0} мегагерца	Це відповідає 0,1 мегагерца
frequency	megahertz	masculine	Цей мегагерц	instrumental	{0} мегагерцом	Вимірюється не 21 мегагерцом	{0} мегагерцами	Вимірюється не 3 мегагерцами	{0} мегагерцами	Вимірюється не 5 мегагерцами	{0} мегагерца	Вимірюється не 0,1 мегагерца
frequency	gigahertz	masculine	Цей гігагерц	nominative	{0} гігагерц	Є 21 гігагерц	{0} гігагерци	Є 3 гігагерци	{0} гігагерців	Є 5 гігагерців	{0} гігагерца	Є 0,1 гігагерца
frequency	gigahertz	masculine	Цей гігагерц	accusative	{0} гігагерц	Знайшли 21 гігагерц	{0} гігагерци	Знайшли 3 гігагерци	{0} гігагерців	Знайшли 5 гігагерців	{0} гігагерца	Знайшли 0,1 гігагерца
frequency	gigahertz	masculine	Цей гігагерц	genitive	{0} гігагерца	Немає 21 гігагерца	{0} гігагерців	Немає 3 гігагерців	{0} гігагерців	Немає 5 гігагерців	{0} гігагерца	Немає 0,1 гігагерца
frequency	gigahertz	masculine	Цей гігагерц	locative	{0} гігагерці	Міститься в 21 гігагерці	{0} гігагерцах	Міститься в 3 гігагерцах	{0} гігагерцах	Міститься в 5 гігагерцах	{0} гігагерца	Міститься в 0,1 гігагерца
frequency	gigahertz	masculine	Цей гігагерц	dative	{0} гігагерцу	Це відповідає 21 гігагерцу	{0} гігагерцам	Це відповідає 3 гігагерцам	{0} гігагерцам	Це відповідає 5 гігагерцам	{0} гігагерца	Це відповідає 0,1 гігагерца
frequency	gigahertz	masculine	Цей гігагерц	instrumental	{0} гігагерцом	Вимірюється не 21 гігагерцом	{0} гігагерцами	Вимірюється не 3 гігагерцами	{0} гігагерцами	Вимірюється не 5 гігагерцами	{0} гігагерца	Вимірюється не 0,1 гігагерца
